Useq	Freezer_Id	Mothur_Classification	taxon_oid	Genome_Name	Genome_Classification
Sequence_23	MF88_3	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;	2642422555	Mycobacterium sp. 88MF	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
Sequence_24	CL18	Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;	2563366515	Streptomyces sp. UNC401CLCol	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
Sequence_25	MF453	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;	2636416067	Paenibacillus sp. 453MF	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
Sequence_26	CL13	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2639762621	Bacillus sp. UNCCL13	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_27	MF491	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2636416083	Bacillus sp. 491MF	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_28	CL123	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;	2636416068	Paenibacillus sp. CL123	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
Sequence_29	MF17	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_unclassified;Rhizobiales_unclassified;	NA	NA	NA
Sequence_3	MF312A	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;	2643221533	Chryseobacterium sp. 312AMFChir4.1	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium
Sequence_3	MF8	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;	2529292577	Chryseobacterium sp. UNC8MFCol	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium
Sequence_30	CL11	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825541	Burkholderia CL11	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_30	CL11_27f	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825541	Burkholderia CL11	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_30	MF376	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2521172625	Burkholderia bryophila 376MFSha3.1	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_30	MF384	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825545	Burkholderia MF384	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_30	MF384_2	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825545	Burkholderia MF384	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_30	MF384_3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825545	Burkholderia MF384	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_30	MF384_4	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825545	Burkholderia MF384	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_30	MF384_5	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825545	Burkholderia MF384	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_31	MF259	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;	2643221491	Rhodococcus maanshanensis 259MFSha1.1	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus
Sequence_32	CL20	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium;	2595698215	Curtobacterium sp. UNCCL20	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium
Sequence_33	MF103	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2636416172	Bacillus sp. 103MF	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
