Plot	Fert	Level	Strip	Class	Parameter	Value
23	T45	P2	2	Sl4	Mg.a	4.8
23	T45	P2	2	Sl4	P.t	39.7
23	T45	P2	2	Sl4	K.t	149.6
23	T45	P2	2	Sl4	Ca.t	2069
23	T45	P2	2	Sl4	Mg.t	47.8
23	T45	P2	2	Sl4	B	0.6
23	T45	P2	2	Sl4	Mn	163
23	T45	P2	2	Sl4	Cu	12.2
23	T45	P2	2	Sl4	Fe	170
24	T135	P3	2	Sl4	Humus	4.5
24	T135	P3	2	Sl4	Clay	11
24	T135	P3	2	Sl4	Silt	31
24	T135	P3	2	Sl4	pH	6.5
24	T135	P3	2	Sl4	Na.a	6.3
24	T135	P3	2	Sl4	P.a	24.6
24	T135	P3	2	Sl4	K.a	24.8
24	T135	P3	2	Sl4	Ca.a	61.4
24	T135	P3	2	Sl4	Mg.a	5.1
24	T135	P3	2	Sl4	P.t	82
24	T135	P3	2	Sl4	K.t	142.7
24	T135	P3	2	Sl4	Ca.t	1954
24	T135	P3	2	Sl4	Mg.t	44.7
24	T135	P3	2	Sl4	B	0.4
24	T135	P3	2	Sl4	Mn	134
24	T135	P3	2	Sl4	Cu	11.4
24	T135	P3	2	Sl4	Fe	171
