SampleId,SampleId_BioRep,Treatment,Bacteria,TechRep,BioRep,Experiment,treatment,TotalShootLength_cm,TotalRootLength_cm,MainRootLength_cm,Boxlab,MainOverTotal,Boxlab2
lowP_SC_7,lowP_SC_7_1,0,SC,7,1,Pi,stress,11.9416,63.3794,6.4657,Pi0000uM,0.102015797,Pi0000uM
lowP_SC_8,lowP_SC_8_1,0,SC,8,1,Pi,stress,12.5614,76.4447,7.7241,Pi0000uM,0.101041668,Pi0000uM
lowP_SC_1,lowP_SC_1_2,0,SC,1,2,Pi,stress,10.1539,67.8984,6.6061,Pi0000uM,0.097293898,Pi0000uM
lowP_SC_2,lowP_SC_2_2,0,SC,2,2,Pi,stress,13.3198,71.6066,6.7627,Pi0000uM,0.094442412,Pi0000uM
lowP_SC_3,lowP_SC_3_2,0,SC,3,2,Pi,stress,5.4191,66.4503,6.5666,Pi0000uM,0.098819719,Pi0000uM
lowP_SC_4,lowP_SC_4_2,0,SC,4,2,Pi,stress,9.6893,72.7215,7.1763,Pi0000uM,0.098681958,Pi0000uM
lowP_SC_6,lowP_SC_6_2,0,SC,5,2,Pi,stress,6.6532,58.4249,5.7139,Pi0000uM,0.097799055,Pi0000uM
lowP_SC_7,lowP_SC_7_2,0,SC,6,2,Pi,stress,9.6638,77.9702,7.0544,Pi0000uM,0.090475592,Pi0000uM
lowP_SC_8,lowP_SC_8_2,0,SC,7,2,Pi,stress,11.536,79.555,7.1086,Pi0000uM,0.089354535,Pi0000uM
lowP_SC_9,lowP_SC_9_2,0,SC,8,2,Pi,stress,4.1809,64.7481,6.648333333,Pi0000uM,0.102679976,Pi0000uM
10_NB_1,10_NB_1_1,10,NB,1,1,Pi,stress,13.0764,71.2943,8.6035,Pi0010uM,0.120675846,Pi0010uM
10_NB_2,10_NB_2_1,10,NB,2,1,Pi,stress,11.207,44.4178,7.9716,Pi0010uM,0.179468591,Pi0010uM
10_NB_1,10_NB_1_2,10,NB,1,2,Pi,stress,11.3197,73.6447,7.988,Pi0010uM,0.108466733,Pi0010uM
10_NB_2,10_NB_2_2,10,NB,2,2,Pi,stress,12.8014,81.1139,8.3651,Pi0010uM,0.103127824,Pi0010uM
10_SC_1,10_SC_1_1,10,SC,1,1,Pi,stress,10.1735,48.7704,5.3542,Pi0010uM,0.109783803,Pi0010uM
10_SC_2,10_SC_2_1,10,SC,2,1,Pi,stress,12.1921,58.6571,7.4343,Pi0010uM,0.12674169,Pi0010uM
10_SC_3,10_SC_3_1,10,SC,3,1,Pi,stress,7.7773,57.5008,6.179,Pi0010uM,0.107459374,Pi0010uM
10_SC_5,10_SC_5_1,10,SC,5,1,Pi,stress,7.1912,59.2763,6.5826,Pi0010uM,0.111049441,Pi0010uM
10_SC_6,10_SC_6_1,10,SC,6,1,Pi,stress,7.5125,57.6011,6.5415,Pi0010uM,0.11356554,Pi0010uM
10_SC_7,10_SC_7_1,10,SC,7,1,Pi,stress,8.6701,53.4042,6.4961,Pi0010uM,0.121640246,Pi0010uM
10_SC_8,10_SC_8_1,10,SC,8,1,Pi,stress,12.779,69.6745,6.5332,Pi0010uM,0.093767447,Pi0010uM
10_SC_9,10_SC_9_1,10,SC,9,1,Pi,stress,6.6394,49.1727,6.4176,Pi0010uM,0.130511442,Pi0010uM
10_SC_2,10_SC_2_2,10,SC,2,2,Pi,stress,7.4982,27.8604,7.04805,Pi0010uM,0.252977344,Pi0010uM
10_SC_3,10_SC_3_2,10,SC,3,2,Pi,stress,8.5268,65.8793,6.2777,Pi0010uM,0.095290934,Pi0010uM
10_SC_4,10_SC_4_2,10,SC,4,2,Pi,stress,6.9345,53.1625,6.2354,Pi0010uM,0.117289443,Pi0010uM
10_SC_5,10_SC_5_2,10,SC,5,2,Pi,stress,8.1485,78.1527,6.7628,Pi0010uM,0.086533159,Pi0010uM
10_SC_6,10_SC_6_2,10,SC,6,2,Pi,stress,8.1029,66.91,6.7486,Pi0010uM,0.100860858,Pi0010uM
10_SC_7,10_SC_7_2,10,SC,7,2,Pi,stress,9.054,71.8185,6.8581,Pi0010uM,0.095492109,Pi0010uM
10_SC_8,10_SC_8_2,10,SC,8,2,Pi,stress,8.0753,58.9486,7.0911,Pi0010uM,0.120292933,Pi0010uM
10_SC_9,10_SC_9_2,10,SC,9,2,Pi,stress,8.1695,66.9467,6.7598,Pi0010uM,0.100972863,Pi0010uM
30_NB_1,30_NB_1_1,30,NB,1,1,Pi,stress,21.7339,87.3668,9.0711,Pi0030uM,0.10382777,Pi0030uM
30_NB_3,30_NB_3_1,30,NB,3,1,Pi,stress,12.6613,73.529,8.3138,Pi0030uM,0.113068313,Pi0030uM
30_NB_1,30_NB_1_2,30,NB,1,2,Pi,stress,11.4395,69.3044,7.5408,Pi0030uM,0.108806944,Pi0030uM
30_NB_2,30_NB_2_2,30,NB,2,2,Pi,stress,11.8342,81.1431,8.4194,Pi0030uM,0.103759901,Pi0030uM
