Plate,Well,row,column,Sample,Soil,Genotype,Plot,Fraction,OTU_Header,DADA2_Header,Phosphate,Pot,Depth,LDepth
Plate2,B5,b,5,R69,low+Pi-3,phf1,Plot7,Root,P40Plate2,Plate2_B5,low+Pi,Pot69,55583,10.9256326780903
Plate2,B6,b,6,S24,medium-6,Col-0,Plot17,Soil,P5Plate2,Plate2_B6,medium,Pot24,20533,9.9297886269555
Plate2,B7,b,7,R39,high-3,Col-0,Plot9,Root,P92Plate2,Plate2_B7,high,Pot39,43406,10.6783529593809
Plate2,B9,b,9,S35,medium-5,phf1,Plot14,Soil,P7Plate2,Plate2_B9,medium,Pot35,34391,10.445550181224
Plate2,C1,c,1,R40,high-4,Col-0,Plot12,Root,P38Plate2,Plate2_C1,high,Pot40,59720,10.9974222516531
Plate2,C11,c,11,R35,medium-5,phf1,Plot14,Root,P43Plate2,Plate2_C11,medium,Pot35,42556,10.6585761346363
Plate2,C12,c,12,L34,medium-4,phf1,Plot11,Shoot,P14Plate2,Plate2_C12,medium,Pot34,45363,10.7224520737808
Plate2,C2,c,2,R51,high-3,phf1,Plot9,Root,P23Plate2,Plate2_C2,high,Pot51,53950,10.8958129706863
Plate2,C3,c,3,S28,medium-4,phr1/phl1,Plot11,Soil,P32Plate2,Plate2_C3,medium,Pot28,37366,10.5285164790198
Plate2,C4,c,4,R50,high-2,phf1,Plot6,Root,P30Plate2,Plate2_C4,high,Pot50,57269,10.9555147440865
Plate2,C6,c,6,L10,low-4,phr1/phl1,Plot10,Shoot,P41Plate2,Plate2_C6,low,Pot10,50736,10.8343909967781
Plate2,C7,c,7,L69,low+Pi-3,phf1,Plot7,Shoot,P27Plate2,Plate2_C7,low+Pi,Pot69,39716,10.5895094081535
Plate2,C8,c,8,L60,low+Pi-6,Col-0,Plot16,Shoot,P57Plate2,Plate2_C8,low+Pi,Pot60,52892,10.8760073776767
Plate2,C9,c,9,L52,high-4,phf1,Plot12,Shoot,P39Plate2,Plate2_C9,high,Pot52,47233,10.7628480798227
Plate2,D1,d,1,L7,low-1,phr1/phl1,Plot1,Shoot,P61Plate2,Plate2_D1,low,Pot7,52101,10.8609394214152
Plate2,D10,d,10,R45,high-3,phr1/phl1,Plot9,Root,P18Plate2,Plate2_D10,high,Pot45,52228,10.8633740285279
Plate2,D2,d,2,R27,medium-3,phr1/phl1,Plot8,Root,P25Plate2,Plate2_D2,medium,Pot27,54601,10.9078074765836
Plate2,D3,d,3,S52,high-4,phf1,Plot12,Soil,P85Plate2,Plate2_D3,high,Pot52,61428,11.0256210362456
Plate2,D4,d,4,L3,low-3,Col-0,Plot7,Shoot,P12Plate2,Plate2_D4,low,Pot3,44307,10.6988979570944
Plate2,D5,d,5,L4,low-4,Col-0,Plot10,Shoot,P66Plate2,Plate2_D5,low,Pot4,25400,10.1425044530066
Plate2,D6,d,6,L31,medium-1,phf1,Plot2,Shoot,P78Plate2,Plate2_D6,medium,Pot31,33262,10.4121708832301
