Tissue,type,OTU_Header,experiment,Rep,condition,position,ID_Matrix,typebyTissue,TTC,Depth,LDepth,Pi,CAP1,CAP2,CAP3,CAP4,CAP5,CAP6
Agar,NP,P23Plate1Phosphate,Pi,Rep1,50 micromolar Pi,c2,Plate1PhosphateC2,AgarNoPlant,Agar_NP_50P,16653,9.72034565935827,50,-0.708702809652576,0.604435605368651,-0.639132424403221,1.11882078449665,1.94441326995274,-1.32592912604681
Agar,NP,P86Plate2Phosphate,Pi,Rep2,50 micromolar Pi,a11,Plate2PhosphateA11,AgarNoPlant,Agar_NP_50P,4285,8.36287583103188,50,-0.713261135138562,0.415259764827028,-0.553829086988817,-1.30867368026554,-0.866872943490216,-0.309269108844651
Agar,NP,P44Plate2Phosphate,Pi,Rep1,50 micromolar Pi,d9,Plate2PhosphateD9,AgarNoPlant,Agar_NP_50P,3314,8.10591119798651,50,-0.885051610829003,-0.0232312254848958,-0.298163177026739,1.08842662781325,-0.777727350298327,-0.482326951327543
Agar,NP,P1Plate2Phosphate,Pi,Rep2,50 micromolar Pi,g3,Plate2PhosphateG3,AgarNoPlant,Agar_NP_50P,4787,8.47365918939251,50,-0.843790067792269,-0.650307665030441,-0.144184722628362,1.60551188216116,-0.447246925608561,2.06255741545491
Agar,NP,P52Plate2Phosphate,Pi,Rep2,50 micromolar Pi,g6,Plate2PhosphateG6,AgarNoPlant,Agar_NP_50P,4951,8.50734485536142,50,-0.92155596246235,0.42304765385958,-0.473103856773209,0.0555797292877912,0.692143252311807,-0.163230444162588
Agar,NP,P37Plate2Phosphate,Pi,Rep1,50 micromolar Pi,h7,Plate2PhosphateH7,AgarNoPlant,Agar_NP_50P,4114,8.3221510702129,50,-0.898267896635747,-0.0914987862422857,-0.251320254744138,1.67997273426504,-0.627820056939636,-0.312482721024265
Agar,NP,P38Plate3Phosphate,Pi,Rep1,50 micromolar Pi,c1,Plate3PhosphateC1,AgarNoPlant,Agar_NP_50P,7680,8.94637482614172,50,-0.162105935016993,-0.201972980120603,0.217900566497138,2.32544258654004,3.77826678826157,-0.580256022902877
Agar,SC,P8Plate1Phosphate,Pi,Rep2,50 micromolar Pi,b3,Plate1PhosphateB3,AgarPlant,Agar_SC_50P,18960,9.85008677580901,50,-0.495963120158095,0.758091159426435,-0.501718685509772,-1.74450638686311,-1.1110427878877,-0.308502272969982
Agar,SC,P32Plate1Phosphate,Pi,Rep1,50 micromolar Pi,c3,Plate1PhosphateC3,AgarPlant,Agar_SC_50P,20134,9.91016520728937,50,-0.83160751133928,0.0184222953768525,-0.261541373024666,0.378453695560176,-1.34365133641969,-0.233397101538188
Agar,SC,P6Plate2Phosphate,Pi,Rep2,50 micromolar Pi,f1,Plate2PhosphateF1,AgarPlant,Agar_SC_50P,3819,8.24774388722552,50,-0.258953151777206,1.64020383835267,-0.467463871451394,-0.921726291118398,-0.706592951255944,-1.48191693542804
Agar,SC,P11Plate2Phosphate,Pi,Rep2,50 micromolar Pi,g4,Plate2PhosphateG4,AgarPlant,Agar_SC_50P,3236,8.08209327817838,50,-0.889606802464447,-0.126870087113633,-0.397062241953806,-0.15657332511907,-0.581045619548192,0.542891251115537
Agar,SC,P2Plate2Phosphate,Pi,Rep1,50 micromolar Pi,h8,Plate2PhosphateH8,AgarPlant,Agar_SC_50P,5927,8.68727346178784,50,-0.896689962845113,0.0476907318798793,-0.21923415664007,1.10276845386658,-1.65925257525676,-0.296476613227523
Agar,SC,P35Plate3Phosphate,Pi,Rep1,50 micromolar Pi,h1,Plate3PhosphateH1,AgarPlant,Agar_SC_50P,5074,8.53188474015923,50,-0.587036538634905,0.0752157684889714,-0.18657314269305,-0.682157016092668,-1.84184650230639,-0.483852091563068
Root,SC,P51Plate1Phosphate,Pi,Rep2,50 micromolar Pi,b12,Plate1PhosphateB12,Root,Root_SC_50P,18787,9.8409204202673,50,0.463224541877692,-1.47183193105994,-0.438813279309061,-0.440061382749649,-0.707573914800458,-0.190411119437185
Root,SC,P40Plate1Phosphate,Pi,Rep1,50 micromolar Pi,b5,Plate1PhosphateB5,Root,Root_SC_50P,23344,10.0580952707626,50,0.491346235553753,-1.29459098793154,-0.444136971070478,0.136809004299953,-0.887444374942576,-0.40482871356464
Root,SC,P38Plate1Phosphate,Pi,Rep1,50 micromolar Pi,c1,Plate1PhosphateC1,Root,Root_SC_50P,23515,10.0653937943791,50,0.366521199666035,-1.28443354537252,-0.420884530420019,0.553762936971145,-0.83247993107373,-0.406290133364818
Root,SC,P82Plate1Phosphate,Pi,Rep2,50 micromolar Pi,d11,Plate1PhosphateD11,Root,Root_SC_50P,18754,9.83916234197957,50,0.309909419994103,-1.68884398870416,0.00348641124543016,1.14593307840907,-0.159710613541597,-0.713125240207489
Root,SC,P51Plate2Phosphate,Pi,Rep2,50 micromolar Pi,b12,Plate2PhosphateB12,Root,Root_SC_50P,5261,8.56807640173081,50,0.669978930184788,-1.12945032713155,-0.666311562348179,-0.989415925203756,0.165613338485524,0.0536209330043932
Root,SC,P72Plate2Phosphate,Pi,Rep1,50 micromolar Pi,g11,Plate2PhosphateG11,Root,Root_SC_50P,4936,8.50431056558522,50,0.768718721935912,-1.11948994441717,-0.515473067466616,-0.399685534292502,-0.702996498683264,-0.454793917953337
Shoot,SC,P31Plate1Phosphate,Pi,Rep1,50 micromolar Pi,b2,Plate1PhosphateB2,Shoot,Shoot_SC_50P,21554,9.97831669315678,50,0.873163739748454,0.995583966820392,-0.249101571188469,-0.00994963741744988,0.0634472346486682,-0.640842127258021
Shoot,SC,P36Plate1Phosphate,Pi,Rep1,50 micromolar Pi,b8,Plate1PhosphateB8,Shoot,Shoot_SC_50P,19741,9.89045297026567,50,0.999155478855464,0.800611386642056,-0.0679279294818281,0.0569000191573426,-0.704879798976732,0.785644925683093
Shoot,SC,P67Plate1Phosphate,Pi,Rep2,50 micromolar Pi,e7,Plate1PhosphateE7,Shoot,Shoot_SC_50P,28214,10.2475735876344,50,0.920494999291283,1.05336252607395,-0.149341785145286,0.257995982289871,0.0286316554207042,-0.445962288820418
Shoot,SC,P84Plate2Phosphate,Pi,Rep1,50 micromolar Pi,a7,Plate2PhosphateA7,Shoot,Shoot_SC_50P,6431,8.76888532613486,50,0.789511912503738,1.00183224306354,-0.292576907949234,0.145946757108674,-0.842641067047971,-0.0395321692694731
Shoot,SC,P36Plate2Phosphate,Pi,Rep2,50 micromolar Pi,b8,Plate2PhosphateB8,Shoot,Shoot_SC_50P,8305,9.0246130220474,50,1.00905745316061,1.04395361851897,0.118308608250863,0.52827488751686,-0.445080414971719,-0.0759360629782395
Shoot,SC,P90Plate2Phosphate,Pi,Rep2,50 micromolar Pi,h11,Plate2PhosphateH11,Shoot,Shoot_SC_50P,5531,8.61812390999468,50,0.76911216159305,0.797277171313657,-0.0562347807298361,1.08261988963602,-0.331153966397256,-0.895865278930532
Agar,NP,P58Plate1Phosphate,Pi,Rep2,100 micromolar Pi,d8,Plate1PhosphateD8,AgarNoPlant,Agar_NP_100P,19246,9.86505852591635,100,-0.84369497442113,0.22798757478608,-0.445558569731402,0.0423358944750461,0.548472970097279,-1.02260844086529
