Gene,group,value
AT5G19890,Full_1000Pi,0.448368654627468
AT5G22790,Full_1000Pi,-0.342999551284646
AT5G23010,Full_1000Pi,-0.57153023264109
AT5G23810,Full_1000Pi,-0.829193548852891
AT5G24280,Full_1000Pi,0.0902565921078507
AT5G24930,Full_1000Pi,0.851149242162293
AT5G25250,Full_1000Pi,-0.0894658652970962
AT5G38200,Full_1000Pi,-0.330958107182434
AT5G38540,Full_1000Pi,-0.60712118080799
AT5G38550,Full_1000Pi,-0.625809346206929
AT5G40010,Full_1000Pi,-0.637360279563249
AT5G41610,Full_1000Pi,-0.920559247146908
AT5G42980,Full_1000Pi,-0.623429577581846
AT5G43330,Full_1000Pi,-0.211582976702335
AT5G43450,Full_1000Pi,-0.438051935731303
AT5G45380,Full_1000Pi,0.0204167123138411
AT5G47110,Full_1000Pi,1.09769859963169
AT5G47220,Full_1000Pi,-0.901956325549502
AT5G47740,Full_1000Pi,-0.86432858705626
AT5G51440,Full_1000Pi,-0.364835827274835
AT5G51870,Full_1000Pi,-0.66994534577614
AT5G52640,Full_1000Pi,-0.103150758143508
AT5G53120,Full_1000Pi,-0.762131150431221
AT5G58940,Full_1000Pi,-0.757758428784683
AT5G62480,Full_1000Pi,-0.791402460397722
AT5G64810,Full_1000Pi,-0.834121666319671
AT5G65140,Full_1000Pi,0.536337128876441
AT5G65380,Full_1000Pi,0.248270623989951
AT1G01480,Full_50Pi,0.628387177396227
AT1G01720,Full_50Pi,0.391906906150746
AT1G08630,Full_50Pi,-0.8301120211785
AT1G12010,Full_50Pi,-1.01203627044786
AT1G12110,Full_50Pi,-0.891874502335061
AT1G14870,Full_50Pi,0.947412865026589
AT1G15520,Full_50Pi,1.18283978305985
AT1G17170,Full_50Pi,0.554614980025052
AT1G17180,Full_50Pi,0.350778373558311
AT1G18970,Full_50Pi,0.952937264237683
AT1G19020,Full_50Pi,0.765043355557323
AT1G19250,Full_50Pi,1.26281337476746
AT1G23190,Full_50Pi,1.04529471679065
AT1G31290,Full_50Pi,-0.701154936971209
AT1G52880,Full_50Pi,0.699146813696728
AT1G61560,Full_50Pi,0.770116525326039
AT1G62380,Full_50Pi,-0.606138690919069
AT1G62480,Full_50Pi,-1.42578842571091
AT1G63570,Full_50Pi,-0.406331181023136
AT1G64950,Full_50Pi,1.09047361082006
AT1G66200,Full_50Pi,-0.45072664376846
AT1G69490,Full_50Pi,-0.468148174340186
AT1G71695,Full_50Pi,1.07799171169403
AT1G72520,Full_50Pi,0.818717661294283
AT1G74250,Full_50Pi,0.0632198525926423
AT2G04050,Full_50Pi,1.27904573538619
AT2G04070,Full_50Pi,1.20048404502376
AT2G18193,Full_50Pi,0.731484104930174
AT2G21640,Full_50Pi,0.818923865337235
AT2G21900,Full_50Pi,0.907132398163735
AT2G23150,Full_50Pi,0.156083960029831
AT2G26480,Full_50Pi,1.28795404402745
AT2G26560,Full_50Pi,0.776414913859801
AT2G27880,Full_50Pi,-0.238052053435483
AT2G28570,Full_50Pi,-0.679369622212091
AT2G31060,Full_50Pi,1.20788235161253
AT2G33750,Full_50Pi,-0.222429907308667
AT2G34500,Full_50Pi,-0.0321005804891523
AT2G41380,Full_50Pi,1.07345078546138
AT2G43590,Full_50Pi,0.737429890405628
AT3G01420,Full_50Pi,0.585173523269455
AT3G04070,Full_50Pi,1.11194163796874
AT3G04530,Full_50Pi,1.45077926696835
AT3G05690,Full_50Pi,1.30624294763049
AT3G07720,Full_50Pi,-0.623093556677358
AT3G08040,Full_50Pi,0.906963041752944
AT3G09940,Full_50Pi,0.877947150961148
AT3G12580,Full_50Pi,1.32953073417308
AT3G13100,Full_50Pi,1.09802928754154
AT3G13610,Full_50Pi,-0.110749674344676
AT3G14680,Full_50Pi,1.06236142844299
AT3G14940,Full_50Pi,1.14280306286501
AT3G16150,Full_50Pi,0.274880560321435
AT3G19450,Full_50Pi,0.750063689385689
AT3G19710,Full_50Pi,0.886486120403284
AT3G21720,Full_50Pi,0.723564500022952
AT3G22240,Full_50Pi,0.900852430838731
AT3G25250,Full_50Pi,0.964716396789252
AT3G25730,Full_50Pi,0.173643435606003
AT3G26210,Full_50Pi,1.19582132034557
AT3G26570,Full_50Pi,-0.581381832887268
AT3G28510,Full_50Pi,1.23799500457401
AT3G44300,Full_50Pi,-0.0988765926389918
AT3G47290,Full_50Pi,-1.12910390722986
AT3G47780,Full_50Pi,0.849112986521579
AT3G53150,Full_50Pi,0.850871961927101
AT3G53990,Full_50Pi,0.577477492947037
AT3G60160,Full_50Pi,-1.16277460871392
AT3G61400,Full_50Pi,0.638653846176678
AT3G63380,Full_50Pi,1.01814646225509
AT4G00755,Full_50Pi,-0.92563614606469
AT4G01870,Full_50Pi,0.09147972638024
AT4G08780,Full_50Pi,-0.356877340285733
AT4G11290,Full_50Pi,0.747518706353438
AT4G12030,Full_50Pi,0.968323114481421
AT4G12400,Full_50Pi,-0.0367963143408319
AT4G13180,Full_50Pi,0.3651014913073
AT4G13310,Full_50Pi,-0.266418158744677
AT4G15330,Full_50Pi,-0.179165990368039
AT4G19760,Full_50Pi,-0.204124145231933
AT4G21680,Full_50Pi,-0.0302984488736307
AT4G28040,Full_50Pi,1.04540497095416
AT4G29690,Full_50Pi,1.05080242831667
AT4G33720,Full_50Pi,0.892498073855932
AT4G34870,Full_50Pi,0.76077420900941
AT4G36870,Full_50Pi,-0.68988769444047
AT4G36880,Full_50Pi,0.0230482361968005
AT4G37520,Full_50Pi,0.898637318792066
AT5G06740,Full_50Pi,0.874045300537785
AT5G06860,Full_50Pi,0.464230404376922
AT5G08610,Full_50Pi,0.0599095933794297
AT5G10740,Full_50Pi,1.4017066473095
AT5G13210,Full_50Pi,1.01960736857604
AT5G14730,Full_50Pi,0.121690460316373
AT5G17860,Full_50Pi,1.1671596442535
AT5G19890,Full_50Pi,0.41059971105966
AT5G22790,Full_50Pi,0.458778437405049
AT5G23010,Full_50Pi,0.249563864732861
AT5G23810,Full_50Pi,-0.211647813763671
AT5G24280,Full_50Pi,0.015371211106806
AT5G24930,Full_50Pi,-0.960964748795456
AT5G25250,Full_50Pi,1.15808485706918
AT5G38200,Full_50Pi,-0.861048364246969
AT5G38540,Full_50Pi,0.751256279358304
AT5G38550,Full_50Pi,1.16284940223331
AT5G40010,Full_50Pi,0.781642788056849
AT5G41610,Full_50Pi,0.345574211934253
AT5G42980,Full_50Pi,1.17047217612093
AT5G43330,Full_50Pi,0.948851647708215
AT5G43450,Full_50Pi,-0.657786457160905
AT5G45380,Full_50Pi,1.12928734791579
AT5G47110,Full_50Pi,-1.03718159112686
AT5G47220,Full_50Pi,0.595351383807718
AT5G47740,Full_50Pi,1.23616398716449
AT5G51440,Full_50Pi,0.743585109545952
AT5G51870,Full_50Pi,0.427883916400461
AT5G52640,Full_50Pi,0.603980433951362
AT5G53120,Full_50Pi,1.46840312122121
AT5G58940,Full_50Pi,1.23500345816305
AT5G62480,Full_50Pi,1.27192560641586
AT5G64810,Full_50Pi,1.40666647242465
AT5G65140,Full_50Pi,0.276560585759837
AT5G65380,Full_50Pi,-0.56492471659379
AT1G01480,NB_50Pi,-0.271863059485579
AT1G01720,NB_50Pi,0.72222559898497
AT1G08630,NB_50Pi,0.438706912698039
AT1G12010,NB_50Pi,-0.0870374067916088
AT1G12110,NB_50Pi,-0.494324390200729
AT1G14870,NB_50Pi,0.850928489081908
AT1G15520,NB_50Pi,-0.210229398073609
AT1G17170,NB_50Pi,1.1290095890513
AT1G17180,NB_50Pi,1.19166874338408
AT1G18970,NB_50Pi,0.825950840488358
AT1G19020,NB_50Pi,0.509171764897592
AT1G19250,NB_50Pi,-0.34841238088095
AT1G23190,NB_50Pi,0.474868307707446
AT1G31290,NB_50Pi,-0.242633747343895
AT1G52880,NB_50Pi,-0.0794516962750111
AT1G61560,NB_50Pi,0.720023029450705
AT1G62380,NB_50Pi,-0.0764951190528557
AT1G62480,NB_50Pi,0.177174833268863
AT1G63570,NB_50Pi,0.246729293341765
AT1G64950,NB_50Pi,0.673113845718473
AT1G66200,NB_50Pi,0.577851543393633
AT1G69490,NB_50Pi,0.757046269373664
AT1G71695,NB_50Pi,-0.395419752274134
AT1G72520,NB_50Pi,-0.11144853331463
AT1G74250,NB_50Pi,0.0558743147068033
AT2G04050,NB_50Pi,0.0400317055063627
AT2G04070,NB_50Pi,-0.13861092559247
AT2G18193,NB_50Pi,0.565225215808683
AT2G21640,NB_50Pi,0.345015710812667
AT2G21900,NB_50Pi,0.371680983756028
AT2G23150,NB_50Pi,-0.378993826996761
AT2G26480,NB_50Pi,0.316675784327571
AT2G26560,NB_50Pi,0.505095830410744
AT2G27880,NB_50Pi,-0.0942324133621763
AT2G28570,NB_50Pi,0.443797048538295
AT2G31060,NB_50Pi,0.077736249187361
AT2G33750,NB_50Pi,-0.454405349534735
AT2G34500,NB_50Pi,0.0997171100017287
AT2G41380,NB_50Pi,0.673675585426371
AT2G43590,NB_50Pi,0.90553729275373
AT3G01420,NB_50Pi,0.932504037296518
AT3G04070,NB_50Pi,0.496028546380433
AT3G04530,NB_50Pi,0.226267258842701
AT3G05690,NB_50Pi,0.458678344638509
AT3G07720,NB_50Pi,-0.592528120070859
AT3G08040,NB_50Pi,0.231044330787982
AT3G09940,NB_50Pi,-0.100865589342093
AT3G12580,NB_50Pi,-0.350621726981674
AT3G13100,NB_50Pi,0.545593184652477
AT3G13610,NB_50Pi,-0.0940076198946075
AT3G14680,NB_50Pi,0.630548197310151
AT3G14940,NB_50Pi,0.621249326516428
AT3G16150,NB_50Pi,-0.226910365359751
AT3G19450,NB_50Pi,-0.0200176565235222
AT3G19710,NB_50Pi,-0.216955308838761
AT3G21720,NB_50Pi,0.601362839090808
AT3G22240,NB_50Pi,0.824230456507756
AT3G25250,NB_50Pi,0.611680744720081
AT3G25730,NB_50Pi,1.23312335641069
AT3G26210,NB_50Pi,0.158848922721697
AT3G26570,NB_50Pi,-0.845381567415706
AT3G28510,NB_50Pi,0.29225141559234
AT3G44300,NB_50Pi,0.607520823618053
AT3G47290,NB_50Pi,-0.555073170774024
AT3G47780,NB_50Pi,0.877369766584374
AT3G53150,NB_50Pi,0.443212431576416
AT3G53990,NB_50Pi,0.831149074836658
AT3G60160,NB_50Pi,-0.26915669712193
AT3G61400,NB_50Pi,0.524736169095496
AT3G63380,NB_50Pi,0.737443878743974
AT4G00755,NB_50Pi,-0.0322389471709264
AT4G01870,NB_50Pi,1.1452831911506
AT4G08780,NB_50Pi,0.624889353378049
AT4G11290,NB_50Pi,0.187452895671782
AT4G12030,NB_50Pi,-0.492231271618436
AT4G12400,NB_50Pi,0.105623424538238
AT4G13180,NB_50Pi,1.05941439272236
AT4G13310,NB_50Pi,-0.766161202886463
AT4G15330,NB_50Pi,-0.350778877797797
AT4G19760,NB_50Pi,-0.204124145231933
AT4G21680,NB_50Pi,-0.743870694890975
AT4G28040,NB_50Pi,0.519833587174186
AT4G29690,NB_50Pi,0.391899712821202
AT4G33720,NB_50Pi,0.348057887318852
AT4G34870,NB_50Pi,0.66643274927878
