Plate1PhosphateE4,Plate1PhosphateE5,Plate1PhosphateG8,Plate2PhosphateC6,Plate2PhosphateG5,Plate1PhosphateA1,Plate1PhosphateA5,Plate1PhosphateD2,Plate1PhosphateG2,Plate2PhosphateD8,Plate2PhosphateF10,Plate1PhosphateC10,Plate1PhosphateC4,Plate1PhosphateF6,Plate1PhosphateG1,Plate2PhosphateD10,Plate2PhosphateF2,Plate1PhosphateB12,Plate1PhosphateB5,Plate1PhosphateC1,Plate1PhosphateD11,Plate2PhosphateB12,Plate2PhosphateG11,Plate1PhosphateA11,Plate1PhosphateA7,Plate1PhosphateC5,Plate1PhosphateG12,Plate2PhosphateE4,Plate2PhosphateG10,Plate1PhosphateC6,Plate1PhosphateD3,Plate1PhosphateD9,Plate2PhosphateB2,Plate2PhosphateH9
Plate2PhosphateF10,0.160408122850618,0.213609729848304,0.194407999193655,0.228610752781509,0.208340459546477,0.214483251010825,0.153636075005773,0.192024623850117,0.0485341055706119,0.0666306287695385,0,0.192277991765777,0.351896270309888,0.17899056875544,0.211235420053766,0.268154936669627,0.169017426599179,0.214135997260893,0.165743940947089,0.159400246398644,0.141892216010857,0.290738952375486,0.24486219351788,0.314208242975599,0.249537558511824,0.28708653775197,0.282793215413046,0.238597250769966,0.320439949225707,0.332720506722824,0.280483634464311,0.289717563220086,0.304742204540087,0.298670295485778
Plate1PhosphateC10,0.210382902384996,0.211419214758503,0.192644278856522,0.302126879351949,0.191809051862478,0.222901293609579,0.210566134970584,0.235157224469298,0.189885970669355,0.181852319395134,0.192277991765777,0,0.324034572565536,0.136575104632887,0.239121860570952,0.289791546729254,0.0717641215992343,0.101535529626147,0.153286940973789,0.172366871541319,0.0825360748520705,0.141686570479595,0.181868497624201,0.178305035866292,0.0982225665662837,0.139841586460962,0.175091293012364,0.0953649668133041,0.194415932036943,0.217448455103053,0.118697709026551,0.175302816112769,0.162146250309707,0.153137348442705
Plate1PhosphateC4,0.288350318436094,0.236170570209698,0.228535256246996,0.337091302977148,0.260195352495477,0.297959592347577,0.318139826839827,0.302353182674592,0.355847204066812,0.340998788458473,0.351896270309888,0.324034572565536,0,0.373773549597473,0.296221967038122,0.392072515088608,0.348570648900052,0.321521437539726,0.318449574648228,0.340578504333905,0.331334386389727,0.347761932980757,0.334268433597102,0.343322577498212,0.383530671291014,0.318180861443207,0.330135688038173,0.368539467014497,0.381905038558633,0.365417023656493,0.33607611429252,0.357272337649839,0.359600895403164,0.364252066972885
Plate1PhosphateF6,0.259901772632174,0.26927698049842,0.248974068831313,0.334092277508805,0.21559556057161,0.274061433126837,0.256125637976163,0.282104181688666,0.171300412388224,0.171756480761215,0.17899056875544,0.136575104632887,0.373773549597473,0,0.258111374716127,0.337506465670295,0.110728431988625,0.197631910279742,0.21366112442836,0.225835981482542,0.115774146354632,0.222081921977191,0.236124010262323,0.244634722470589,0.117079160863341,0.204863060948216,0.253482892166424,0.143785250844637,0.21720914126602,0.283755403110981,0.185104489905068,0.232904132305522,0.218547207815774,0.231342850445764
Plate1PhosphateG1,0.190802299560892,0.200371171000131,0.217986892390214,0.196892155800727,0.204539880012158,0.141368705854627,0.12036332629885,0.124535268794781,0.220799455333412,0.20505332129208,0.211235420053766,0.239121860570952,0.296221967038122,0.258111374716127,0,0.166819043484396,0.251580863886182,0.197806303415719,0.140071843664508,0.163187900760786,0.229608139467136,0.262151982175216,0.192484110053836,0.211168414861479,0.273226288386344,0.224013603705693,0.198826291890445,0.25277736843141,0.243212212260268,0.252527087564545,0.241774677789747,0.25209525730743,0.239075347192419,0.249445464644443
Plate2PhosphateD10,0.281740180699509,0.300044294400979,0.308911710835135,0.164496684945108,0.326654697282276,0.202170981835055,0.214684080699546,0.207948753937802,0.265010014543129,0.272352992384672,0.268154936669627,0.289791546729254,0.392072515088608,0.337506465670295,0.166819043484396,0,0.307295531187272,0.251114282051208,0.186010438986287,0.196311938841529,0.294714385171523,0.282644486228725,0.22072540785303,0.257267741993197,0.352407956641727,0.298786543293032,0.242199572150438,0.33090831798124,0.31848944446407,0.292285255127559,0.314665959113346,0.285916923427739,0.29441648240162,0.293336524993453
Plate2PhosphateF2,0.232390493154946,0.232761069116916,0.213455796883553,0.32889482612609,0.21392743129936,0.252922538385834,0.225627191295728,0.25522108500549,0.165990614728894,0.157820894519783,0.169017426599179,0.0717641215992343,0.348570648900052,0.110728431988625,0.251580863886182,0.307295531187272,0,0.144538977611651,0.181555244160606,0.193418419025909,0.0755428299775874,0.179161742907681,0.212723292374344,0.219400597946109,0.115105175902822,0.171456422083627,0.22090652518967,0.106264707899849,0.220622332120432,0.251462644930079,0.153547874509261,0.219434287438305,0.198406307711071,0.176215546397146
Plate1PhosphateB12,0.201607581664065,0.248382324660746,0.259399573316319,0.252947131969506,0.233881345437036,0.20440633362097,0.215800452475081,0.196201786652832,0.214730285696129,0.19965971756114,0.214135997260893,0.101535529626147,0.321521437539726,0.197631910279742,0.197806303415719,0.251114282051208,0.144538977611651,0,0.126465789254692,0.158372701768149,0.124423129045116,0.107250079414979,0.171161592825274,0.173122440496989,0.1787080683154,0.14669415346703,0.15024230610494,0.161000031388094,0.194747526550546,0.215253109980913,0.107975756365602,0.171507124323447,0.166611484228888,0.143378259177289
Plate1PhosphateB5,0.17300925948909,0.210147609742915,0.224519580337258,0.21318813121383,0.228478609706259,0.156225042698164,0.136484051322982,0.129148660387403,0.17440545253209,0.167073507395458,0.165743940947089,0.153286940973789,0.318449574648228,0.21366112442836,0.140071843664508,0.186010438986287,0.181555244160606,0.126465789254692,0,0.0609374956734338,0.16032762450933,0.197630891585358,0.118539026752855,0.199513848938354,0.22197205914335,0.197902868413819,0.170838627901935,0.204054434885241,0.203927889452602,0.240157238431543,0.188477176275251,0.174878657802762,0.190544415941087,0.213617315783386
Plate1PhosphateC1,0.184120109542073,0.218647791154104,0.231699938029746,0.232320088069884,0.235530793587153,0.175084619648684,0.149196655430708,0.149635343472333,0.161832133645703,0.165407639245434,0.159400246398644,0.172366871541319,0.340578504333905,0.225835981482542,0.163187900760786,0.196311938841529,0.193418419025909,0.158372701768149,0.0609374956734338,0,0.175772318618098,0.235097067662934,0.15344285226403,0.2324623144898,0.23863715730695,0.230708484685144,0.205518300981674,0.217047655047289,0.232747543908269,0.271367566360315,0.227796700166721,0.20719501717798,0.223809973234376,0.251168000113546
