Plate1PhosphateB6,Plate1PhosphateE11,Plate1PhosphateF3,Plate2PhosphateA3,Plate2PhosphateD1,Plate3PhosphateA1,Plate1PhosphateD4,Plate1PhosphateF1,Plate1PhosphateF10,Plate2PhosphateC3,Plate2PhosphateD7,Plate2PhosphateH4,Plate1PhosphateA6,Plate1PhosphateC8,Plate1PhosphateD10,Plate2PhosphateB1,Plate2PhosphateB10,Plate2PhosphateD6,Plate1PhosphateB2,Plate1PhosphateB8,Plate1PhosphateE7,Plate2PhosphateA7,Plate2PhosphateB8,Plate2PhosphateH11,Plate1PhosphateH3,Plate2PhosphateC5,Plate2PhosphateF3,Plate2PhosphateG8,Plate3PhosphateE1,Plate3PhosphateF1,Plate1PhosphateB7,Plate1PhosphateC9,Plate1PhosphateE3,Plate2PhosphateB4,Plate2PhosphateD11,Plate2PhosphateE9,Plate2PhosphateG9
Plate1PhosphateE7,0.269292242591583,0.224214128984855,0.256421255270801,0.241260617565316,0.273890893640098,0.237081497448802,0.224444529909469,0.211659072329112,0.228315539055441,0.226909541859421,0.234425128773042,0.275530324425622,0.131014213034216,0.211405598239318,0.163108588768805,0.245352351303233,0.194777522997057,0.243023322473847,0.197149378062609,0.183554669964773,0,0.198508755037098,0.0935101155796156,0.14553618836186,0.163934261351286,0.206662783006062,0.191669888697589,0.150097536101284,0.223600917347816,0.267520050091158,0.142954328559174,0.256560395788549,0.217768532677677,0.201298388709859,0.137169464175236,0.171192987915182,0.249147906491546
Plate2PhosphateA7,0.248689985101257,0.186283771839066,0.238435364537002,0.211890961739252,0.29896441688441,0.237417731028769,0.190914633021126,0.182688209311041,0.161592889179077,0.19510628405541,0.224231480896164,0.191568110406126,0.161045238576974,0.123088435070645,0.158397322219056,0.197380765429846,0.173852920700073,0.132458217523067,0.120018498305948,0.116561673957646,0.198508755037098,0,0.158227021788558,0.170969321471343,0.209111803590595,0.145421829642259,0.185698493628108,0.2179761104709,0.158992174400563,0.167915653341795,0.134907171322101,0.266532014601382,0.144631427959693,0.12649640479777,0.16370327565003,0.152723767635912,0.159989033924341
Plate2PhosphateB8,0.221181068411347,0.175306708541346,0.209766415402469,0.191205316716038,0.260767696785484,0.197029673098101,0.168704305785846,0.151329013651966,0.160285789882852,0.188456168985698,0.174155591151652,0.199471329090576,0.109879062404493,0.180003119708879,0.13289921502679,0.212887088829293,0.162456787148651,0.203673381691058,0.158358751945536,0.153301936782111,0.0935101155796156,0.158227021788558,0,0.124099000423534,0.149682294040549,0.164765452817667,0.169902390848025,0.119221637815147,0.193680406874498,0.232658313784904,0.114604666448422,0.238080708026812,0.181245503805038,0.163675296656932,0.110036740612247,0.146471749120756,0.204001480613172
Plate2PhosphateH11,0.283365379556458,0.217222221729505,0.281972219763559,0.240896604965923,0.284593699915252,0.266928631498833,0.197673561614329,0.135914876536047,0.209161570188442,0.228585976298607,0.184400574566391,0.218378981956914,0.0996526068180765,0.145130064396386,0.158045569352267,0.213852530664878,0.15096687979305,0.235572348401089,0.190840647516901,0.196974715166725,0.14553618836186,0.170969321471343,0.124099000423534,0,0.12027362557934,0.190305063843814,0.135208771248345,0.128427521219131,0.187252493298486,0.229354776508176,0.14866451964855,0.234866324245801,0.209904315916074,0.161549533541169,0.155754228458398,0.178595718100329,0.165624066314872
Plate1PhosphateH3,0.28879899771927,0.246680178367556,0.265873720686933,0.252226439080296,0.316144481079751,0.258830765871342,0.217099539348067,0.183816844627598,0.221933980109786,0.230753079719385,0.203856522957985,0.235838175469232,0.107738141487951,0.181176373562455,0.149585390076779,0.260649244938269,0.13262643412831,0.248341425017366,0.213611679961802,0.227948273514373,0.163934261351286,0.209111803590595,0.149682294040549,0.12027362557934,0,0.174876153796275,0.0999367032531795,0.0815709798924934,0.174637181395223,0.212008834316112,0.154861856019898,0.236695001839501,0.1940578200151,0.154278748952087,0.12941491048994,0.14270612545611,0.150748305758191
Plate2PhosphateC5,0.309574612895752,0.204706207603299,0.275210948775544,0.289554661162336,0.349064725119283,0.275779529773654,0.2513255709319,0.218605645865556,0.213272532203023,0.212919605924382,0.250288428275662,0.195451777937114,0.148220948733473,0.130439163645539,0.190667978190718,0.209603140312009,0.192478385811799,0.165475175939922,0.154539706413454,0.175657264354255,0.206662783006062,0.145421829642259,0.164765452817667,0.190305063843814,0.174876153796275,0,0.196181804071708,0.177172981394853,0.109327671772054,0.134553272716253,0.178363943946389,0.243185014528871,0.1338276976482,0.131590656284761,0.171632489287474,0.179457187132382,0.152106355395987
Plate2PhosphateF3,0.24899514655414,0.257964989872879,0.261281032079068,0.20097630382998,0.309358529527681,0.267272698562761,0.192931663201282,0.15064034125542,0.210320175495867,0.236454276824842,0.165353839419611,0.234853430941074,0.121275677009438,0.205738202529489,0.108930294951744,0.271198273185588,0.101278276552353,0.233239605557406,0.232124615082508,0.198095941729838,0.191669888697589,0.185698493628108,0.169902390848025,0.135208771248345,0.0999367032531795,0.196181804071708,0,0.114576696400127,0.178568070272006,0.186660021756133,0.136271421593958,0.247890514418378,0.175923707624332,0.128065572059391,0.0955230488476476,0.124205147460961,0.112488382748337
Plate2PhosphateG8,0.260289101531806,0.225627193908733,0.231105231188663,0.221487543335823,0.276401547549697,0.233182903235872,0.192646104698107,0.154295101402482,0.184011831375002,0.213144747786882,0.166867695805637,0.199391427160721,0.122179029914555,0.181623481714517,0.154070207324815,0.222295794180913,0.150470141142245,0.255674439948705,0.220371206882745,0.206142403717179,0.150097536101284,0.2179761104709,0.119221637815147,0.128427521219131,0.0815709798924934,0.177172981394853,0.114576696400127,0,0.175419976493475,0.211016485490105,0.159617616675344,0.248341060606999,0.192364974280459,0.157985502098088,0.104988664865908,0.152698826072114,0.17594115753878
Plate3PhosphateE1,0.330126180002165,0.238669333604243,0.293667979302907,0.29711855648475,0.372578787460547,0.294237452431337,0.259691713731194,0.196825700907704,0.21977261472972,0.225071064353958,0.240306411086089,0.226173863480427,0.141338125690357,0.151865296339493,0.195884200984396,0.245808760004564,0.18041641062465,0.199017156230482,0.164964769463934,0.179402496801029,0.223600917347816,0.158992174400563,0.193680406874498,0.187252493298486,0.174637181395223,0.109327671772054,0.178568070272006,0.175419976493475,0,0.100442235411832,0.180530251095866,0.214529238648082,0.137148585809807,0.120868377560187,0.185147208034532,0.187485374985375,0.113238535421374
Plate3PhosphateF1,0.305864362040213,0.265954099778367,0.306298511555522,0.285489720622466,0.384778639376494,0.3189360703732,0.230239238748242,0.218279590375318,0.244892536750716,0.267258519406855,0.261916992442169,0.251124396019502,0.18845745288464,0.182227193671087,0.173107014801288,0.264361454494714,0.153783918151959,0.16088240489037,0.209701926492168,0.186262586553685,0.267520050091158,0.167915653341795,0.232658313784904,0.229354776508176,0.212008834316112,0.134553272716253,0.186660021756133,0.211016485490105,0.100442235411832,0,0.198474812427184,0.268222876472279,0.103987939655347,0.0977508994121947,0.189970126892505,0.17852763209632,0.134477699903107
