Tissue,type,OTU_Header,experiment,Rep,condition,position,ID_Matrix,typebyTissue,TTC,Depth,LDepth,Pi,Shannon,Richness
Root,SC,P4Plate1Phosphate,Pi,Rep1,10 micromolar Pi,a1,Plate1PhosphateA1,Root,Root_SC_10P,22372,10.0155654559415,10,2.78888152502322,91
Root,SC,P42Plate1Phosphate,Pi,Rep1,10 micromolar Pi,a5,Plate1PhosphateA5,Root,Root_SC_10P,22176,10.0067659019896,10,2.54816773206219,77
Root,SC,P25Plate1Phosphate,Pi,Rep1,10 micromolar Pi,d2,Plate1PhosphateD2,Root,Root_SC_10P,28255,10.2490257120639,10,2.62168315638161,91
Root,SC,P33Plate1Phosphate,Pi,Rep2,10 micromolar Pi,g2,Plate1PhosphateG2,Root,Root_SC_10P,9639,9.17357264778397,10,2.35228841580597,71
Root,SC,P58Plate2Phosphate,Pi,Rep2,10 micromolar Pi,d8,Plate2PhosphateD8,Root,Root_SC_10P,11808,9.37653254684025,10,2.42691667709067,69
Root,SC,P19Plate2Phosphate,Pi,Rep2,10 micromolar Pi,f10,Plate2PhosphateF10,Root,Root_SC_10P,7143,8.87388813515497,10,2.41966142556111,70
Shoot,SC,P12Plate1Phosphate,Pi,Rep2,10 micromolar Pi,d4,Plate1PhosphateD4,Shoot,Shoot_SC_10P,8873,9.09076823683534,10,2.55291320775437,71
Shoot,SC,P6Plate1Phosphate,Pi,Rep2,10 micromolar Pi,f1,Plate1PhosphateF1,Shoot,Shoot_SC_10P,19822,9.89454771096665,10,2.64746723767342,93
Shoot,SC,P19Plate1Phosphate,Pi,Rep1,10 micromolar Pi,f10,Plate1PhosphateF10,Shoot,Shoot_SC_10P,23564,10.0674754026416,10,2.74812660060971,85
Shoot,SC,P32Plate2Phosphate,Pi,Rep1,10 micromolar Pi,c3,Plate2PhosphateC3,Shoot,Shoot_SC_10P,6818,8.82732145269785,10,2.80342257793368,68
Shoot,SC,P22Plate2Phosphate,Pi,Rep2,10 micromolar Pi,d7,Plate2PhosphateD7,Shoot,Shoot_SC_10P,7013,8.85552084853691,10,2.46724219304465,69
Shoot,SC,P88Plate2Phosphate,Pi,Rep1,10 micromolar Pi,h4,Plate2PhosphateH4,Shoot,Shoot_SC_10P,5965,8.69366433453202,10,2.63279108916305,59
Agar,NP,P65Plate1Phosphate,Pi,Rep2,30 micromolar Pi,a9,Plate1PhosphateA9,AgarNoPlant,Agar_NP_30P,15740,9.66396052197139,30,2.45584586677061,78
Agar,NP,P94Plate1Phosphate,Pi,Rep1,30 micromolar Pi,f2,Plate1PhosphateF2,AgarNoPlant,Agar_NP_30P,22908,10.0392414735137,30,2.18401153278533,72
Agar,NP,P80Plate1Phosphate,Pi,Rep2,30 micromolar Pi,f4,Plate1PhosphateF4,AgarNoPlant,Agar_NP_30P,21413,9.97175349320622,30,2.40892828265333,73
Agar,NP,P1Plate1Phosphate,Pi,Rep1,30 micromolar Pi,g3,Plate1PhosphateG3,AgarNoPlant,Agar_NP_30P,16323,9.70033043515403,30,2.13996391848806,67
Agar,NP,P93Plate2Phosphate,Pi,Rep1,30 micromolar Pi,e5,Plate2PhosphateE5,AgarNoPlant,Agar_NP_30P,3696,8.21500643276157,30,1.93200665594788,43
Agar,NP,P56Plate3Phosphate,Pi,Rep2,30 micromolar Pi,e4,Plate3PhosphateE4,AgarNoPlant,Agar_NP_30P,7776,8.95879734614027,30,2.32649984893731,56
Agar,NP,P1Plate3Phosphate,Pi,Rep2,30 micromolar Pi,g3,Plate3PhosphateG3,AgarNoPlant,Agar_NP_30P,3856,8.25738565573044,30,2.50216687972897,54
Agar,SC,P16Plate1Phosphate,Pi,Rep2,30 micromolar Pi,a2,Plate1PhosphateA2,AgarPlant,Agar_SC_30P,15743,9.66415110101463,30,2.56522903498156,75
Agar,SC,P3Plate1Phosphate,Pi,Rep2,30 micromolar Pi,e1,Plate1PhosphateE1,AgarPlant,Agar_SC_30P,11577,9.35677565020573,30,2.5930935305466,68
Agar,SC,P15Plate1Phosphate,Pi,Rep2,30 micromolar Pi,f12,Plate1PhosphateF12,AgarPlant,Agar_SC_30P,19108,9.85786237450985,30,2.7524803874967,82
Agar,SC,P11Plate1Phosphate,Pi,Rep1,30 micromolar Pi,g4,Plate1PhosphateG4,AgarPlant,Agar_SC_30P,18902,9.847023015555,30,2.13665294899416,59
Agar,SC,P46Plate2Phosphate,Pi,Rep1,30 micromolar Pi,f7,Plate2PhosphateF7,AgarPlant,Agar_SC_30P,5608,8.63194942871443,30,1.89558551818154,46
Agar,SC,P85Plate3Phosphate,Pi,Rep1,30 micromolar Pi,d3,Plate3PhosphateD3,AgarPlant,Agar_SC_30P,4296,8.3654396361887,30,2.30835497384397,55
Root,SC,P74Plate1Phosphate,Pi,Rep2,30 micromolar Pi,c10,Plate1PhosphateC10,Root,Root_SC_30P,22794,10.0342526224157,30,2.61635226443749,76
Root,SC,P30Plate1Phosphate,Pi,Rep1,30 micromolar Pi,c4,Plate1PhosphateC4,Root,Root_SC_30P,21250,9.96411217435256,30,2.49342092382646,69
Root,SC,P24Plate1Phosphate,Pi,Rep2,30 micromolar Pi,f6,Plate1PhosphateF6,Root,Root_SC_30P,24770,10.1173885224834,30,2.60965009979687,74
Root,SC,P81Plate1Phosphate,Pi,Rep1,30 micromolar Pi,g1,Plate1PhosphateG1,Root,Root_SC_30P,18185,9.80835235742109,30,2.57314368084146,90
Root,SC,P18Plate2Phosphate,Pi,Rep1,30 micromolar Pi,d10,Plate2PhosphateD10,Root,Root_SC_30P,7339,8.90095787254506,30,2.38746894144837,70
Root,SC,P94Plate2Phosphate,Pi,Rep2,30 micromolar Pi,f2,Plate2PhosphateF2,Root,Root_SC_30P,5527,8.61740045183326,30,2.52443972801821,63
Shoot,SC,P9Plate1Phosphate,Pi,Rep2,30 micromolar Pi,a6,Plate1PhosphateA6,Shoot,Shoot_SC_30P,22910,10.0393287754475,30,2.87877851210162,78
Shoot,SC,P57Plate1Phosphate,Pi,Rep1,30 micromolar Pi,c8,Plate1PhosphateC8,Shoot,Shoot_SC_30P,19908,9.89887693997844,30,2.81401185797236,74
Shoot,SC,P18Plate1Phosphate,Pi,Rep2,30 micromolar Pi,d10,Plate1PhosphateD10,Shoot,Shoot_SC_30P,20414,9.92397621896344,30,2.67040008580914,72
Shoot,SC,P75Plate2Phosphate,Pi,Rep1,30 micromolar Pi,b1,Plate2PhosphateB1,Shoot,Shoot_SC_30P,6050,8.70781355102489,30,2.98059582755152,76
Shoot,SC,P49Plate2Phosphate,Pi,Rep2,30 micromolar Pi,b10,Plate2PhosphateB10,Shoot,Shoot_SC_30P,6856,8.83287946027762,30,2.66388085726562,67
Shoot,SC,P78Plate2Phosphate,Pi,Rep1,30 micromolar Pi,d6,Plate2PhosphateD6,Shoot,Shoot_SC_30P,5918,8.68575383296015,30,2.73550169561269,64
Agar,NP,P23Plate1Phosphate,Pi,Rep1,50 micromolar Pi,c2,Plate1PhosphateC2,AgarNoPlant,Agar_NP_50P,16653,9.72034565935827,50,2.48383299218726,64
Agar,NP,P86Plate2Phosphate,Pi,Rep2,50 micromolar Pi,a11,Plate2PhosphateA11,AgarNoPlant,Agar_NP_50P,4285,8.36287583103188,50,2.5555569704011,53
Agar,NP,P44Plate2Phosphate,Pi,Rep1,50 micromolar Pi,d9,Plate2PhosphateD9,AgarNoPlant,Agar_NP_50P,3314,8.10591119798651,50,2.11145530923494,49
Agar,NP,P1Plate2Phosphate,Pi,Rep2,50 micromolar Pi,g3,Plate2PhosphateG3,AgarNoPlant,Agar_NP_50P,4787,8.47365918939251,50,2.07171907372473,46
Agar,NP,P52Plate2Phosphate,Pi,Rep2,50 micromolar Pi,g6,Plate2PhosphateG6,AgarNoPlant,Agar_NP_50P,4951,8.50734485536142,50,2.35346666808072,47
Agar,NP,P37Plate2Phosphate,Pi,Rep1,50 micromolar Pi,h7,Plate2PhosphateH7,AgarNoPlant,Agar_NP_50P,4114,8.3221510702129,50,2.02073981160026,41
Agar,NP,P38Plate3Phosphate,Pi,Rep1,50 micromolar Pi,c1,Plate3PhosphateC1,AgarNoPlant,Agar_NP_50P,7680,8.94637482614172,50,2.54395832019879,89
Agar,SC,P8Plate1Phosphate,Pi,Rep2,50 micromolar Pi,b3,Plate1PhosphateB3,AgarPlant,Agar_SC_50P,18960,9.85008677580901,50,2.63327465496653,69
Agar,SC,P32Plate1Phosphate,Pi,Rep1,50 micromolar Pi,c3,Plate1PhosphateC3,AgarPlant,Agar_SC_50P,20134,9.91016520728937,50,2.2261616091568,64
Agar,SC,P6Plate2Phosphate,Pi,Rep2,50 micromolar Pi,f1,Plate2PhosphateF1,AgarPlant,Agar_SC_50P,3819,8.24774388722552,50,2.68125879675278,53
Agar,SC,P11Plate2Phosphate,Pi,Rep2,50 micromolar Pi,g4,Plate2PhosphateG4,AgarPlant,Agar_SC_50P,3236,8.08209327817838,50,2.38524811495275,49
Agar,SC,P2Plate2Phosphate,Pi,Rep1,50 micromolar Pi,h8,Plate2PhosphateH8,AgarPlant,Agar_SC_50P,5927,8.68727346178784,50,1.92328702916722,51
Agar,SC,P35Plate3Phosphate,Pi,Rep1,50 micromolar Pi,h1,Plate3PhosphateH1,AgarPlant,Agar_SC_50P,5074,8.53188474015923,50,2.43504428262841,58
Root,SC,P51Plate1Phosphate,Pi,Rep2,50 micromolar Pi,b12,Plate1PhosphateB12,Root,Root_SC_50P,18787,9.8409204202673,50,2.68839102685103,81
Root,SC,P40Plate1Phosphate,Pi,Rep1,50 micromolar Pi,b5,Plate1PhosphateB5,Root,Root_SC_50P,23344,10.0580952707626,50,2.65844580350827,76
Root,SC,P38Plate1Phosphate,Pi,Rep1,50 micromolar Pi,c1,Plate1PhosphateC1,Root,Root_SC_50P,23515,10.0653937943791,50,2.65839797587924,96
Root,SC,P82Plate1Phosphate,Pi,Rep2,50 micromolar Pi,d11,Plate1PhosphateD11,Root,Root_SC_50P,18754,9.83916234197957,50,2.52423105489906,81
Root,SC,P51Plate2Phosphate,Pi,Rep2,50 micromolar Pi,b12,Plate2PhosphateB12,Root,Root_SC_50P,5261,8.56807640173081,50,2.83253905920407,67
Root,SC,P72Plate2Phosphate,Pi,Rep1,50 micromolar Pi,g11,Plate2PhosphateG11,Root,Root_SC_50P,4936,8.50431056558522,50,2.88820412601985,77
Shoot,SC,P31Plate1Phosphate,Pi,Rep1,50 micromolar Pi,b2,Plate1PhosphateB2,Shoot,Shoot_SC_50P,21554,9.97831669315678,50,2.95887235177514,93
Shoot,SC,P36Plate1Phosphate,Pi,Rep1,50 micromolar Pi,b8,Plate1PhosphateB8,Shoot,Shoot_SC_50P,19741,9.89045297026567,50,2.67933649529627,69
Shoot,SC,P67Plate1Phosphate,Pi,Rep2,50 micromolar Pi,e7,Plate1PhosphateE7,Shoot,Shoot_SC_50P,28214,10.2475735876344,50,2.98992414783167,84
Shoot,SC,P84Plate2Phosphate,Pi,Rep1,50 micromolar Pi,a7,Plate2PhosphateA7,Shoot,Shoot_SC_50P,6431,8.76888532613486,50,2.77047374461092,63
Shoot,SC,P36Plate2Phosphate,Pi,Rep2,50 micromolar Pi,b8,Plate2PhosphateB8,Shoot,Shoot_SC_50P,8305,9.0246130220474,50,2.86620060056861,70
Shoot,SC,P90Plate2Phosphate,Pi,Rep2,50 micromolar Pi,h11,Plate2PhosphateH11,Shoot,Shoot_SC_50P,5531,8.61812390999468,50,2.83675600082494,71
Agar,NP,P58Plate1Phosphate,Pi,Rep2,100 micromolar Pi,d8,Plate1PhosphateD8,AgarNoPlant,Agar_NP_100P,19246,9.86505852591635,100,2.53230486829551,70
Agar,NP,P50Plate1Phosphate,Pi,Rep2,100 micromolar Pi,f8,Plate1PhosphateF8,AgarNoPlant,Agar_NP_100P,25513,10.1469434051622,100,2.58087621966455,68
Agar,NP,P72Plate1Phosphate,Pi,Rep2,100 micromolar Pi,g11,Plate1PhosphateG11,AgarNoPlant,Agar_NP_100P,14027,9.54873932271967,100,2.61773722552588,78
Agar,NP,P38Plate2Phosphate,Pi,Rep1,100 micromolar Pi,c1,Plate2PhosphateC1,AgarNoPlant,Agar_NP_100P,4581,8.42967259388674,100,2.22360816310612,52
