DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,CAP4,CAP5,MDS1
Plate3E4,Plate3,E4,E,4,L56,low+Pi-2,Col-0,Plot4,Shoot,low+Pi,Pot56,508063,13.1383607346193,-0.976874532180475,-1.12372208233756,1.67586259982559,2.63571967748253,0.540267222850804,-0.673180924202648
Plate2F1,Plate2,F1,F,1,L57,low+Pi-3,Col-0,Plot7,Shoot,low+Pi,Pot57,90034,11.4079426557501,0.283147263773438,0.167200559997416,1.6832699979051,0.577340412990302,2.05937209379299,0.845028253496108
Plate2A6,Plate2,A6,A,6,L58,low+Pi-4,Col-0,Plot10,Shoot,low+Pi,Pot58,53579,10.888912479244,-0.87908085615716,-0.06037726833075,2.68157103899359,-0.46971917040545,1.85994282314959,-0.647049891272226
Plate3A5,Plate3,A5,A,5,L59,low+Pi-5,Col-0,Plot13,Shoot,low+Pi,Pot59,126587,11.7486850977957,-1.03075248677975,0.111036087546401,2.30327332461226,0.872693298892309,0.679288316371858,-1.0016182739816
Plate2C8,Plate2,C8,C,8,L60,low+Pi-6,Col-0,Plot16,Shoot,low+Pi,Pot60,61879,11.0329361442461,-0.0854698087922658,-0.176228058964563,1.42077788632029,0.842247455154107,1.33818630330137,0.342338350424564
Plate2A5,Plate2,A5,A,5,L64,low+Pi-4,phr1/phl1,Plot10,Shoot,low+Pi,Pot64,173196,12.0621791801556,-1.03141862680446,-1.02998480859607,1.00799788607749,3.8400186983327,0.375233658430065,-0.955919674810755
Plate1H9,Plate1,H9,H,9,L65,low+Pi-5,phr1/phl1,Plot13,Shoot,low+Pi,Pot65,42151,10.649013687941,-1.29460676295088,-1.88674570817093,-0.577278575024635,1.22509406899117,0.914410009360636,-1.43853400757148
Plate1G10,Plate1,G10,G,10,L66,low+Pi-6,phr1/phl1,Plot16,Shoot,low+Pi,Pot66,43305,10.6760233807651,-0.929456924208283,-1.40215539367683,-0.526848295587428,1.54845678168705,-0.0739126085588694,-1.23414108089641
Plate2C7,Plate2,C7,C,7,L69,low+Pi-3,phf1,Plot7,Shoot,low+Pi,Pot69,139493,11.8457696997731,-0.457565173507048,-0.711972811687553,1.42872026086477,1.86780598744518,-2.2541226884126,-0.121389104049442
Plate2B10,Plate2,B10,B,10,L71,low+Pi-5,phf1,Plot13,Shoot,low+Pi,Pot71,49998,10.8197382836103,0.299335056396191,-0.382650497447785,0.74910689242682,1.15506888968184,-0.27287314365879,1.03614719774571
Plate3E1,Plate3,E1,E,1,L72,low+Pi-6,phf1,Plot16,Shoot,low+Pi,Pot72,45920,10.7346560309934,0.845823596979229,0.165682760484093,0.152176590338688,1.69156415344379,-0.0252725836485152,1.75105483109444
Plate1C3,Plate1,C3,C,3,R1,low-1,Col-0,Plot1,Root,low,Pot1,27754,10.231135252931,-1.07779512617574,0.444259558750935,-0.741685091488739,0.34265772100939,1.30106552857886,-0.621053380244908
Plate1C9,Plate1,C9,C,9,R2,low-2,Col-0,Plot4,Root,low,Pot2,41758,10.6396463286893,-1.01717089832307,1.5974226999423,-0.506173666954397,-2.01157059355758,1.50324343916227,0.0555753831512246
Plate3E3,Plate3,E3,E,3,R3,low-3,Col-0,Plot7,Root,low,Pot3,78917,11.2761519462361,-0.630482000753179,1.72323566276535,-0.568313286228078,-1.67692523214792,-1.00871026272328,0.194779676092514
Plate1B2,Plate1,B2,B,2,R4,low-4,Col-0,Plot10,Root,low,Pot4,58782,10.9815909645727,-1.11616836180101,0.109087203459103,-0.978513023092038,-0.613518469991125,1.56019893375617,-0.411135264437614
Plate2G3,Plate2,G3,G,3,R5,low-5,Col-0,Plot13,Root,low,Pot5,36617,10.5082678924259,-0.824269630697843,1.88923399391857,0.794414342487204,-1.05078163824838,0.789402681254087,-0.0578134308136018
Plate1D2,Plate1,D2,D,2,R6,low-6,Col-0,Plot16,Root,low,Pot6,38591,10.560774367645,-0.934691922718259,0.806326860890543,0.277910913113949,-1.82045059920984,2.01855970216328,-0.390014126034492
Plate1A2,Plate1,A2,A,2,R7,low-1,phr1/phl1,Plot1,Root,low,Pot7,11540,9.35357454006209,-0.994385483016732,-0.143324695008107,-2.80514701919628,-0.528974259202277,-0.330056920574734,-0.734977138895804
Plate2F11,Plate2,F11,F,11,R7,low-1,phr1/phl1,Plot1,Root,low,Pot7,65034,11.0826654890438,-1.24487474321125,1.64844271051983,-1.75661640055613,-0.689518239369252,-1.22786453357844,-0.726870216430452
