group,Gene,value,Fraction,Phosphate,Genotype
Root_low_Col_0,AT3G12500,0.44043476945074,Root,low,Col_0
Root_low_Col_0,AT3G13110,-0.10964610104066,Root,low,Col_0
Root_low_Col_0,AT3G14940,0.944006309929258,Root,low,Col_0
Root_low_Col_0,AT3G15990,-0.12286411107663,Root,low,Col_0
Root_low_Col_0,AT3G17790,0.370278509887663,Root,low,Col_0
Root_low_Col_0,AT3G18080,-1.12329361218346,Root,low,Col_0
Root_low_Col_0,AT3G19970,0.698296677649259,Root,low,Col_0
Root_low_Col_0,AT3G20660,0.273355478623433,Root,low,Col_0
Root_low_Col_0,AT3G21560,0.0861042824469043,Root,low,Col_0
Root_low_Col_0,AT3G23870,-0.174433309398622,Root,low,Col_0
Root_low_Col_0,AT3G25790,-0.0716544368595217,Root,low,Col_0
Root_low_Col_0,AT3G27190,0.865422969108191,Root,low,Col_0
Root_low_Col_0,AT3G43110,-0.448156031190847,Root,low,Col_0
Root_low_Col_0,AT3G44510,0.738638472483797,Root,low,Col_0
Root_low_Col_0,AT3G47420,0.35746416521485,Root,low,Col_0
Root_low_Col_0,AT3G48850,1.08813089577709,Root,low,Col_0
Root_low_Col_0,AT3G49350,0.497473228561213,Root,low,Col_0
Root_low_Col_0,AT3G50350,0.681381271338439,Root,low,Col_0
Root_low_Col_0,AT3G51860,0.0743970564024725,Root,low,Col_0
Root_low_Col_0,AT3G52190,1.28082830132481,Root,low,Col_0
Root_low_Col_0,AT3G52720,0.512090419290701,Root,low,Col_0
Root_low_Col_0,AT3G52820,0.659110011972034,Root,low,Col_0
Root_low_Col_0,AT3G53620,0.0477851206848083,Root,low,Col_0
Root_low_Col_0,AT3G56040,0.266390076569455,Root,low,Col_0
Root_low_Col_0,AT3G59140,1.27615177110279,Root,low,Col_0
Root_low_Col_0,AT3G61410,0.944652235494263,Root,low,Col_0
Root_low_Col_0,AT4G00500,-0.131817216340759,Root,low,Col_0
Root_low_Col_0,AT4G00550,0.993906847326398,Root,low,Col_0
Root_low_Col_0,AT4G01480,1.03985343068374,Root,low,Col_0
Root_low_Col_0,AT4G03960,-0.345102385768444,Root,low,Col_0
Root_low_Col_0,AT4G11600,0.135008028754676,Root,low,Col_0
Root_low_Col_0,AT4G13000,-0.0836773652825945,Root,low,Col_0
Root_low_Col_0,AT4G13700,0.0805980476926078,Root,low,Col_0
Root_low_Col_0,AT4G15740,1.07512225862922,Root,low,Col_0
Root_low_Col_0,AT4G17030,1.14236731234823,Root,low,Col_0
Root_low_Col_0,AT4G17615,0.728680180555203,Root,low,Col_0
Root_low_Col_0,AT4G17790,0.341525070519797,Root,low,Col_0
Root_low_Col_0,AT4G18700,-0.730242692854828,Root,low,Col_0
Root_low_Col_0,AT4G19810,-0.770906407565929,Root,low,Col_0
Root_low_Col_0,AT4G21470,0.955605006911807,Root,low,Col_0
Root_low_Col_0,AT4G23000,0.0149800151972406,Root,low,Col_0
Root_low_Col_0,AT4G24890,0.548074045594207,Root,low,Col_0
Root_low_Col_0,AT4G25160,0.579970059030145,Root,low,Col_0
Root_low_Col_0,AT4G26620,-0.742409881365709,Root,low,Col_0
Root_low_Col_0,AT4G28260,-0.443058179763662,Root,low,Col_0
Root_low_Col_0,AT4G31240,-0.179732608414734,Root,low,Col_0
Root_low_Col_0,AT4G33030,-0.0728087096697723,Root,low,Col_0
Root_low_Col_0,AT4G33770,0.233840871742212,Root,low,Col_0
Root_low_Col_0,AT4G34200,0.582392266923544,Root,low,Col_0
Root_low_Col_0,AT4G35750,-0.522751226060522,Root,low,Col_0
Root_low_Col_0,AT4G36350,-0.516038468537787,Root,low,Col_0
Root_low_Col_0,AT4G38320,-0.377811144785549,Root,low,Col_0
Root_low_Col_0,AT5G01220,1.01917634493919,Root,low,Col_0
Root_low_Col_0,AT5G01820,0.259480847879935,Root,low,Col_0
Root_low_Col_0,AT5G02200,-0.549056975955964,Root,low,Col_0
Root_low_Col_0,AT5G06300,0.727121407737497,Root,low,Col_0
Root_low_Col_0,AT5G08030,0.924500327042044,Root,low,Col_0
Root_low_Col_0,AT5G08380,0.652511286484356,Root,low,Col_0
Root_low_Col_0,AT5G09470,-0.40896316822741,Root,low,Col_0
Root_low_Col_0,AT5G09570,0.0880088379900871,Root,low,Col_0
Root_low_Col_0,AT5G10740,1.35079842906182,Root,low,Col_0
Root_low_Col_0,AT5G13820,0.504304231677546,Root,low,Col_0
Root_low_Col_0,AT5G19430,0.10199649702143,Root,low,Col_0
Root_low_Col_0,AT5G20150,0.400885839576575,Root,low,Col_0
Root_low_Col_0,AT5G20400,0.901255601244304,Root,low,Col_0
Root_low_Col_0,AT5G20410,0.505977820761827,Root,low,Col_0
Root_low_Col_0,AT5G20790,0.371452494955009,Root,low,Col_0
Root_low_Col_0,AT5G24600,0.803237875048483,Root,low,Col_0
Root_low_Col_0,AT5G26340,0.21086121243829,Root,low,Col_0
Root_low_Col_0,AT5G36940,0.196781016255355,Root,low,Col_0
Root_low_Col_0,AT5G38710,0.56033639506839,Root,low,Col_0
Root_low_Col_0,AT5G39720,-0.476230701210044,Root,low,Col_0
Root_low_Col_0,AT5G40690,1.10933808707353,Root,low,Col_0
Root_low_Col_0,AT5G41080,0.560771691438012,Root,low,Col_0
Root_low_Col_0,AT5G42800,0.0556213236464114,Root,low,Col_0
Root_low_Col_0,AT5G43150,-0.768454056557679,Root,low,Col_0
Root_low_Col_0,AT5G43360,-0.44010889681463,Root,low,Col_0
Root_low_Col_0,AT5G43370,0.040869500313314,Root,low,Col_0
Root_low_Col_0,AT5G47740,1.63365055817128,Root,low,Col_0
Root_low_Col_0,AT5G51050,0.800837171603692,Root,low,Col_0
Root_low_Col_0,AT5G53420,0.361001366377229,Root,low,Col_0
Root_low_Col_0,AT5G57610,0.287953958906362,Root,low,Col_0
