Phosphate,variable,value
low,Regulon,0.291674734044129
low,Regulon,0.516121357117459
low,Regulon,0.324186886003012
low,Regulon,0.880765597621963
low,Regulon,-0.165019554303505
low,Regulon,0.495890885081652
low,Regulon,-0.256795552079448
low,Regulon,1.01111031992379
low,Regulon,0.604670108909125
low,Regulon,0.946958098594659
low,Regulon,0.507749407431193
low,Regulon,0.0692049555900274
low,Regulon,0.361221962475132
low,Regulon,0.0106796443643759
low,Regulon,-0.247504286261119
low,Regulon,-0.458220930079778
low,Regulon,0.38475422402664
low,Regulon,0.862953020973415
low,Regulon,0.381866600699751
low,Regulon,0.333403043506603
low,Regulon,0.409255547917665
low,Regulon,-0.519014051543944
low,Regulon,-0.576834038486149
low,Regulon,0.311296725663172
low,Regulon,0.466048349388175
low,Regulon,0.922503108759612
low,Regulon,0.526705274460826
low,Regulon,-0.087867538928185
low,Regulon,0.702958870774938
low,Regulon,-0.190341834134137
low,Regulon,0.630492570582698
low,Regulon,0.449078039364398
low,Regulon,0.570980139093247
low,Regulon,0.055701286286189
low,Regulon,-0.474338759169718
low,Regulon,-0.610705982403463
low,Regulon,0.661247012843413
low,Regulon,-0.440031978234933
low,Regulon,-0.516652586832885
low,Regulon,-0.00376824507012326
low,Regulon,0.341557028303195
low,Regulon,0.103224870878499
low,Regulon,-0.316227766016839
low,Regulon,0.164763886407733
low,Regulon,0.946334730151926
low,Regulon,0.321859640597513
low,Regulon,-0.316227766016837
low,Regulon,0.401089997329324
low,Regulon,1.01357865685865
low,Regulon,0.729884783446973
low,Regulon,0.249437660348624
low,Regulon,0.958621163193449
low,Regulon,1.16847977388338
low,Regulon,0.852038768997316
low,Regulon,-0.114570626217199
low,Regulon,0.65433498495714
low,Regulon,-0.535191009676382
low,Regulon,0.125770986833239
low,Regulon,0.650282310841625
low,Regulon,0.24746776677211
low,Regulon,-0.714129642541188
low,Regulon,-0.295151040116679
low,Regulon,0.944535604134705
low,Regulon,0.897468667347739
low,Regulon,-0.156622673249174
low,Regulon,-0.240304128412024
low,Regulon,-0.112292094987545
low,Regulon,-0.221857010695658
low,Regulon,0.00335730640917283
low,Regulon,-0.547350052270872
low,Regulon,0.829848744432135
low,Regulon,0.440126679303383
low,Regulon,0.954564880194056
medium,Regulon,-0.189128371665296
medium,Regulon,-0.316227766016839
medium,Regulon,-0.355932574287615
medium,Regulon,-1.13355315772214
medium,Regulon,0.020918070775099
medium,Regulon,-0.182846980401635
medium,Regulon,-0.980800304844283
medium,Regulon,0.398673855405685
medium,Regulon,0.647697779922382
medium,Regulon,0.0879899520893827
medium,Regulon,1.0222028830273
medium,Regulon,0.374931511471141
medium,Regulon,-0.0147304922651909
medium,Regulon,-0.608650210831618
medium,Regulon,0.161664441463328
medium,Regulon,-0.552024019343249
medium,Regulon,-0.710472197199664
medium,Regulon,-0.469748427423486
medium,Regulon,-0.0673777738722577
medium,Regulon,0.106372691305379
medium,Regulon,0.513896045540248
medium,Regulon,-1.10846780408828
medium,Regulon,0.430157422066403
medium,Regulon,1.07382620339617
medium,Regulon,0.2841091720281
medium,Regulon,-0.485993681397507
medium,Regulon,0.287537965564823
medium,Regulon,0.519756456524531
medium,Regulon,0.192522932427505
medium,Regulon,0.67689971742925
medium,Regulon,0.165495742945631
medium,Regulon,-0.117632855607846
medium,Regulon,-1.08303415287931
medium,Regulon,-0.64835771655914
medium,Regulon,0.610882635369315
medium,Regulon,-0.709472089593744
medium,Regulon,-0.122644088755092
medium,Regulon,-0.679454638671571
medium,Regulon,0.997599492126624
medium,Regulon,0.754861488328711
medium,Regulon,-0.109219429808662
medium,Regulon,0.26456619421557
medium,Regulon,-0.0907819581963505
medium,Regulon,0.52454360123192
medium,Regulon,1.47542286114097
medium,Regulon,-0.0627004972972536
medium,Regulon,-0.221840398900951
medium,Regulon,0.359509217413877
medium,Regulon,-0.391327763290078
medium,Regulon,-0.93468328929309
medium,Regulon,-0.430648232730299
medium,Regulon,0.51013847438484
medium,Regulon,0.24532755975544
