Plot,DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Fraction,Phosphate,Pot,Depth,LDepth,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
Plot16,Plate1G1,Plate1,G1,G,1,R18,low-6,phf1,Root,low,Pot18,17138,9.74905349922906,4.4811303725263,1.25907842029195,0.308681040734879,0.00089622782399481,1.40228378235735,0.146056235184298,0.45413005297241,-0.167421043412846,0.139896615732804,-0.128010443746025,0.265800349205031,-0.0580721089280457,0.0130953421213114
Plot2,Plate1C12,Plate1,C12,C,12,R19,medium-1,Col-0,Root,medium,Pot19,19888,9.89787181375049,-3.20998535422866,-0.823670892725562,2.43362718825805,-1.78032818380912,0.554067053129652,-0.936203703523346,-0.19819232547185,0.108012357376847,0.0969869613859183,-0.0274589851448343,-0.172253318257022,-0.0196605279651497,-0.0187877857678579
Plot5,Plate1H7,Plate1,H7,H,7,R20,medium-2,Col-0,Root,medium,Pot20,40353,10.6054210203767,-2.28171192045609,1.63944494237483,-0.182814225289019,-0.369384112143889,-0.773111678665635,0.163149681523683,-0.00572421694707064,-0.157425407863019,-0.0346669965233882,0.175606169198439,0.186995411362103,0.115276220318012,-0.0736208747475848
Plot8,Plate3A3,Plate3,A3,A,3,R21,medium-3,Col-0,Root,medium,Pot21,105444,11.5659352852838,-1.93271209884418,0.243933406307011,-0.0157591261547439,1.24203594138743,-0.365499548353582,-0.0870780345974018,0.137845018538231,0.281679093773818,0.378282114007509,0.033769215865233,-0.0210125592437876,0.0441966660214481,-0.024330452064157
Plot11,Plate1A4,Plate1,A4,A,4,R22,medium-4,Col-0,Root,medium,Pot22,5202,8.5567984460086,-1.88565971491648,-2.1383408922022,-0.934354744367669,-0.52867756563628,-0.73986981741134,-0.108262839727291,0.61297230399063,0.137032447721782,0.392182153689771,-0.124654931683718,0.1655203720937,0.00770919662223793,0.145498552707668
Plot14,Plate2B1,Plate2,B1,B,1,R23,medium-5,Col-0,Root,medium,Pot23,155156,11.9521863413814,6.27167112067824,0.0351468758500942,1.95271971413406,1.19796596518715,-0.840120963366867,0.302611527173171,-0.512091059700921,-0.07630241388215,0.18620122626002,-0.0348680223090653,-0.128936632035969,-0.0695731055010789,0.0130471223205808
Plot17,Plate1B6,Plate1,B6,B,6,R24,medium-6,Col-0,Root,medium,Pot24,26862,10.198467927469,2.38101444451719,0.650542459227175,-0.577570466446604,-0.0887894518741053,1.09041843644943,-0.285663472367861,0.253323219673318,0.0111059850255274,-0.068328179385576,-0.00384004876018281,0.0793470861519184,0.215821411705126,-0.044769306047144
Plot2,Plate1E10,Plate1,E10,E,10,R25,medium-1,phr1/phl1,Root,medium,Pot25,19879,9.89741917713452,-3.20998535422866,-0.823670892725562,2.43362718825805,-1.78032818380912,0.554067053129652,-0.936203703523346,-0.19819232547185,0.108012357376847,0.0969869613859183,-0.0274589851448343,-0.172253318257022,-0.0196605279651497,-0.0187877857678579
Plot5,Plate1E4,Plate1,E4,E,4,R26,medium-2,phr1/phl1,Root,medium,Pot26,10372,9.24686514665856,-2.28171192045609,1.63944494237483,-0.182814225289019,-0.369384112143889,-0.773111678665635,0.163149681523683,-0.00572421694707064,-0.157425407863019,-0.0346669965233882,0.175606169198439,0.186995411362103,0.115276220318012,-0.0736208747475848
Plot5,Plate1D11,Plate1,D11,D,11,R26,medium-2,phr1/phl1,Root,medium,Pot26,9714,9.18132342290569,-2.28171192045609,1.63944494237483,-0.182814225289019,-0.369384112143889,-0.773111678665635,0.163149681523683,-0.00572421694707064,-0.157425407863019,-0.0346669965233882,0.175606169198439,0.186995411362103,0.115276220318012,-0.0736208747475848
Plot8,Plate2D2,Plate2,D2,D,2,R27,medium-3,phr1/phl1,Root,medium,Pot27,13615,9.51892740510786,-1.93271209884418,0.243933406307011,-0.0157591261547439,1.24203594138743,-0.365499548353582,-0.0870780345974018,0.137845018538231,0.281679093773818,0.378282114007509,0.033769215865233,-0.0210125592437876,0.0441966660214481,-0.024330452064157
Plot11,Plate1E3,Plate1,E3,E,3,R28,medium-4,phr1/phl1,Root,medium,Pot28,3730,8.22416351263786,-1.88565971491648,-2.1383408922022,-0.934354744367669,-0.52867756563628,-0.73986981741134,-0.108262839727291,0.61297230399063,0.137032447721782,0.392182153689771,-0.124654931683718,0.1655203720937,0.00770919662223793,0.145498552707668
Plot14,Plate1C2,Plate1,C2,C,2,R29,medium-5,phr1/phl1,Root,medium,Pot29,10000,9.21034037197618,6.27167112067824,0.0351468758500942,1.95271971413406,1.19796596518715,-0.840120963366867,0.302611527173171,-0.512091059700921,-0.07630241388215,0.18620122626002,-0.0348680223090653,-0.128936632035969,-0.0695731055010789,0.0130471223205808
Plot17,Plate1A9,Plate1,A9,A,9,R30,medium-6,phr1/phl1,Root,medium,Pot30,14071,9.55187122078826,2.38101444451719,0.650542459227175,-0.577570466446604,-0.0887894518741053,1.09041843644943,-0.285663472367861,0.253323219673318,0.0111059850255274,-0.068328179385576,-0.00384004876018281,0.0793470861519184,0.215821411705126,-0.044769306047144
Plot2,Plate2A1,Plate2,A1,A,1,R31,medium-1,phf1,Root,medium,Pot31,216110,12.2835428162971,-3.20998535422866,-0.823670892725562,2.43362718825805,-1.78032818380912,0.554067053129652,-0.936203703523346,-0.19819232547185,0.108012357376847,0.0969869613859183,-0.0274589851448343,-0.172253318257022,-0.0196605279651497,-0.0187877857678579
Plot5,Plate2H1,Plate2,H1,H,1,R32,medium-2,phf1,Root,medium,Pot32,76220,11.2413791744279,-2.28171192045609,1.63944494237483,-0.182814225289019,-0.369384112143889,-0.773111678665635,0.163149681523683,-0.00572421694707064,-0.157425407863019,-0.0346669965233882,0.175606169198439,0.186995411362103,0.115276220318012,-0.0736208747475848
Plot8,Plate1D6,Plate1,D6,D,6,R33,medium-3,phf1,Root,medium,Pot33,12334,9.42011495555144,-1.93271209884418,0.243933406307011,-0.0157591261547439,1.24203594138743,-0.365499548353582,-0.0870780345974018,0.137845018538231,0.281679093773818,0.378282114007509,0.033769215865233,-0.0210125592437876,0.0441966660214481,-0.024330452064157
Plot11,Plate1G11,Plate1,G11,G,11,R34,medium-4,phf1,Root,medium,Pot34,17961,9.79595801959346,-1.88565971491648,-2.1383408922022,-0.934354744367669,-0.52867756563628,-0.73986981741134,-0.108262839727291,0.61297230399063,0.137032447721782,0.392182153689771,-0.124654931683718,0.1655203720937,0.00770919662223793,0.145498552707668
Plot14,Plate2C11,Plate2,C11,C,11,R35,medium-5,phf1,Root,medium,Pot35,26714,10.192943051537,6.27167112067824,0.0351468758500942,1.95271971413406,1.19796596518715,-0.840120963366867,0.302611527173171,-0.512091059700921,-0.07630241388215,0.18620122626002,-0.0348680223090653,-0.128936632035969,-0.0695731055010789,0.0130471223205808
Plot17,Plate1C4,Plate1,C4,C,4,R36,medium-6,phf1,Root,medium,Pot36,6704,8.81045964216192,2.38101444451719,0.650542459227175,-0.577570466446604,-0.0887894518741053,1.09041843644943,-0.285663472367861,0.253323219673318,0.0111059850255274,-0.068328179385576,-0.00384004876018281,0.0793470861519184,0.215821411705126,-0.044769306047144
Plot3,Plate1B1,Plate1,B1,B,1,R37,high-1,Col-0,Root,high,Pot37,59550,10.9945715747834,-1.58666745006293,1.27632681661472,-0.0190770166682386,0.515992379894899,-0.830459600125594,-1.16847236915138,-0.0568804595755499,-0.569155600276979,-0.288246240948695,0.114527495026636,-0.0264942120193871,0.107556485206908,0.0528385192035207
Plot6,Plate1B4,Plate1,B4,B,4,R38,high-2,Col-0,Root,high,Pot38,15950,9.67721410821299,-2.00071233078859,2.93602203745919,-0.205496195746276,0.25874933527023,0.167083223810211,0.0163232466012433,0.543323744622988,0.467227856532411,0.0735729445516059,0.182027422945114,-0.125240756919584,-0.114134006275084,-0.102502290619919
Plot9,Plate2B7,Plate2,B7,B,7,R39,high-3,Col-0,Root,high,Pot39,44463,10.702412661625,-1.4061116410905,0.197565583064527,-0.575811278741985,0.414710059255699,-0.137021658138417,0.143012405959008,-0.326861104458524,0.143363059016123,-0.122572950575795,-0.024784957288367,0.0177847724069802,-0.0396687031968231,0.0296419253133904
Plot12,Plate2C1,Plate2,C1,C,1,R40,high-4,Col-0,Root,high,Pot40,128927,11.7670016316939,-1.46673361103121,1.10595662222182,-0.460514059588196,0.461857898216085,0.12070988676899,0.340846358494098,0.243042011176114,0.722240636782525,-0.26432541407376,-0.206936523501114,-0.166537973893495,0.0835000081251655,0.0749816473971228
Plot15,Plate1A8,Plate1,A8,A,8,R41,high-5,Col-0,Root,high,Pot41,17333,9.76036747794131,5.96266901334953,0.14190029367594,0.0526767732472614,-0.661793850256411,-0.708226697398913,-1.18128188725226,0.09814806741803,0.542116316244908,-0.0995113952996787,0.171181083606662,0.0926205048396377,-0.0852334934751272,0.0450084905358562
Plot18,Plate1C10,Plate1,C10,C,10,R42,high-6,Col-0,Root,high,Pot42,32079,10.3759568894248,1.00848648278335,-1.61473532989853,-0.662944343316463,0.435630561441076,-0.145632477515551,-1.06609236393344,0.0979064394350566,-0.0574542512340505,-0.210040821701978,-0.39641496000487,-0.0433977401787117,-0.00222373317807089,-0.136149027233048
Plot3,Plate3E2,Plate3,E2,E,2,R43,high-1,phr1/phl1,Root,high,Pot43,41648,10.6370086272343,-1.58666745006293,1.27632681661472,-0.0190770166682386,0.515992379894899,-0.830459600125594,-1.16847236915138,-0.0568804595755499,-0.569155600276979,-0.288246240948695,0.114527495026636,-0.0264942120193871,0.107556485206908,0.0528385192035207
Plot6,Plate1C11,Plate1,C11,C,11,R44,high-2,phr1/phl1,Root,high,Pot44,32435,10.3869933656472,-2.00071233078859,2.93602203745919,-0.205496195746276,0.25874933527023,0.167083223810211,0.0163232466012433,0.543323744622988,0.467227856532411,0.0735729445516059,0.182027422945114,-0.125240756919584,-0.114134006275084,-0.102502290619919
Plot9,Plate2D10,Plate2,D10,D,10,R45,high-3,phr1/phl1,Root,high,Pot45,54894,10.9131593319076,-1.4061116410905,0.197565583064527,-0.575811278741985,0.414710059255699,-0.137021658138417,0.143012405959008,-0.326861104458524,0.143363059016123,-0.122572950575795,-0.024784957288367,0.0177847724069802,-0.0396687031968231,0.0296419253133904
