Plot,Plate,Well,row,column,Sample,Soil,Genotype,Fraction,OTU_Header,DADA2_Header,Phosphate,Pot,Depth,LDepth,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
Plot16,Plate2,G12,g,12,R66,low+Pi-6,phr1/phl1,Root,P45Plate2,Plate2_G12,low+Pi,Pot66,53634,10.8899384743159,4.4811303725263,1.25907842029195,0.308681040734879,0.00089622782399481,1.40228378235735,0.146056235184298,0.45413005297241,-0.167421043412846,0.139896615732804,-0.128010443746025,0.265800349205031,-0.0580721089280457,0.0130953421213114
Plot13,Plate2,G3,g,3,R5,low-5,Col-0,Root,P1Plate2,Plate2_G3,low,Pot5,40363,10.6056688027259,3.48985198745525,1.21615534760229,1.03321633215356,-1.42427883910138,-0.747294536110734,1.38047731074219,0.240103756674116,-0.20813285489178,-0.119032585437165,-0.0719257512419759,-0.147834120018504,0.131301943328582,-0.0013394452135983
Plot5,Plate2,H1,h,1,R32,medium-2,phf1,Root,P35Plate2,Plate2_H1,medium,Pot32,51567,10.8506372119963,-2.28171192045609,1.63944494237483,-0.182814225289019,-0.369384112143889,-0.773111678665635,0.163149681523683,-0.00572421694707064,-0.157425407863019,-0.0346669965233882,0.175606169198439,0.186995411362103,0.115276220318012,-0.0736208747475848
Plot16,Plate2,H5,h,5,R72,low+Pi-6,phf1,Root,P10Plate2,Plate2_H5,low+Pi,Pot72,46257,10.7419680828395,4.4811303725263,1.25907842029195,0.308681040734879,0.00089622782399481,1.40228378235735,0.146056235184298,0.45413005297241,-0.167421043412846,0.139896615732804,-0.128010443746025,0.265800349205031,-0.0580721089280457,0.0130953421213114
Plot13,Plate2,H6,h,6,R65,low+Pi-5,phr1/phl1,Root,P91Plate2,Plate2_H6,low+Pi,Pot65,49385,10.8074020133422,3.48985198745525,1.21615534760229,1.03321633215356,-1.42427883910138,-0.747294536110734,1.38047731074219,0.240103756674116,-0.20813285489178,-0.119032585437165,-0.0719257512419759,-0.147834120018504,0.131301943328582,-0.0013394452135983
Plot7,Plate3,A2,a,2,R15,low-3,phf1,Root,P16Plate3,Plate3_A2,low,Pot15,57696,10.962943126003,-2.56583312417989,1.99148276435578,-0.437052351872625,-0.309654376951853,-0.183893778208769,0.506406429215322,-0.468787501895128,-0.211967951860687,-0.0739606584391505,-0.317992009569955,0.148844001693583,-0.191454092514456,-0.0177211839464325
Plot8,Plate3,A3,a,3,R21,medium-3,Col-0,Root,P87Plate3,Plate3_A3,medium,Pot21,55106,10.9170138821346,-1.93271209884418,0.243933406307011,-0.0157591261547439,1.24203594138743,-0.365499548353582,-0.0870780345974018,0.137845018538231,0.281679093773818,0.378282114007509,0.033769215865233,-0.0210125592437876,0.0441966660214481,-0.024330452064157
Plot1,Plate3,C1,c,1,R67,low+Pi-1,phf1,Root,P38Plate3,Plate3_C1,low+Pi,Pot67,36423,10.5029557222121,-2.98893079769553,-1.21500649184482,4.33672991937024,0.657760108687804,0.504054487731093,0.235910423591057,-0.130532730730663,0.119911486268568,-0.112144360310356,0.0436023636933937,0.166750118190101,0.0219217686844957,0.0176592141982247
Plot3,Plate3,E2,e,2,R43,high-1,phr1/phl1,Root,P69Plate3,Plate3_E2,high,Pot43,9036,9.10897187758789,-1.58666745006293,1.27632681661472,-0.0190770166682386,0.515992379894899,-0.830459600125594,-1.16847236915138,-0.0568804595755499,-0.569155600276979,-0.288246240948695,0.114527495026636,-0.0264942120193871,0.107556485206908,0.0528385192035207
Plot7,Plate3,E3,e,3,R3,low-3,Col-0,Root,P59Plate3,Plate3_E3,low,Pot3,37922,10.5432866975941,-2.56583312417989,1.99148276435578,-0.437052351872625,-0.309654376951853,-0.183893778208769,0.506406429215322,-0.468787501895128,-0.211967951860687,-0.0739606584391505,-0.317992009569955,0.148844001693583,-0.191454092514456,-0.0177211839464325
Plot16,Plate3,F1,f,1,R60,low+Pi-6,Col-0,Root,P6Plate3,Plate3_F1,low+Pi,Pot60,50307,10.8258995114152,4.4811303725263,1.25907842029195,0.308681040734879,0.00089622782399481,1.40228378235735,0.146056235184298,0.45413005297241,-0.167421043412846,0.139896615732804,-0.128010443746025,0.265800349205031,-0.0580721089280457,0.0130953421213114
Plot12,Plate3,G2,g,2,R52,high-4,phf1,Root,P33Plate3,Plate3_G2,high,Pot52,23082,10.0468083719804,-1.46673361103121,1.10595662222182,-0.460514059588196,0.461857898216085,0.12070988676899,0.340846358494098,0.243042011176114,0.722240636782525,-0.26432541407376,-0.206936523501114,-0.166537973893495,0.0835000081251655,0.0749816473971228
Plot18,Plate3,G4,g,4,R48,high-6,phr1/phl1,Root,P11Plate3,Plate3_G4,high,Pot48,48044,10.7798725366744,1.00848648278335,-1.61473532989853,-0.662944343316463,0.435630561441076,-0.145632477515551,-1.06609236393344,0.0979064394350566,-0.0574542512340505,-0.210040821701978,-0.39641496000487,-0.0433977401787117,-0.00222373317807089,-0.136149027233048
Plot16,Plate3,H2,h,2,R12,low-6,phr1/phl1,Root,P77Plate3,Plate3_H2,low,Pot12,55563,10.9252727910909,4.4811303725263,1.25907842029195,0.308681040734879,0.00089622782399481,1.40228378235735,0.146056235184298,0.45413005297241,-0.167421043412846,0.139896615732804,-0.128010443746025,0.265800349205031,-0.0580721089280457,0.0130953421213114
