Plate1PhosphateB4,Plate2PhosphateA1,Plate2PhosphateC11,Plate2PhosphateC4,Plate2PhosphateD3,Plate3PhosphateE2,Plate1PhosphateA4,Plate2PhosphateB11,Plate3PhosphateA3,Plate3PhosphateC3,Plate3PhosphateF3,Plate3PhosphateH3,Plate1PhosphateA2,Plate1PhosphateE1,Plate1PhosphateF12,Plate1PhosphateG4,Plate2PhosphateF7,Plate3PhosphateD3,Plate1PhosphateB3,Plate1PhosphateC3,Plate2PhosphateF1,Plate2PhosphateG4,Plate2PhosphateH8,Plate3PhosphateH1,Plate1PhosphateC7,Plate1PhosphateD7,Plate2PhosphateH1,Plate3PhosphateB4,Plate3PhosphateF4,Plate3PhosphateG1,Plate1PhosphateE6,Plate1PhosphateG9,Plate2PhosphateD5,Plate2PhosphateE10,Plate2PhosphateF8,Plate3PhosphateB2
Plate1PhosphateA2,0.238781332458868,0.24456412025697,0.283019642806059,0.291875240114367,0.249225956882093,0.208977150802468,0.238245105221592,0.316024940244545,0.145165382753583,0.151978084214081,0.264929279509557,0.136971525755595,0,0.141039667943969,0.131595514517778,0.275330028122803,0.295198823959348,0.216056135498606,0.144146638342512,0.242699745409624,0.2740960595512,0.133133021939941,0.32035196566376,0.211441096719326,0.261937817043132,0.223205641088289,0.0952329258270761,0.186946137923354,0.251632227265842,0.157238371069468,0.211070175356619,0.0915343976905464,0.230610129951759,0.159979562197484,0.178851719502732,0.181271178163618
Plate1PhosphateE1,0.279692628552061,0.249837533830743,0.320748158392167,0.344596919031399,0.266813606713828,0.23218705724037,0.222904421174606,0.300988122236944,0.20099650615221,0.198723395607172,0.257519137967892,0.20979038813528,0.141039667943969,0,0.112025792335214,0.255016941261213,0.266278325352903,0.24593642615415,0.136768464425864,0.227026847048846,0.239102899327506,0.142739888656518,0.28418188475171,0.245187856163096,0.176894444623673,0.171676538544808,0.121644455774556,0.135756426195061,0.203618244732922,0.186352624352593,0.201728348528038,0.190026346651118,0.264713714569848,0.19273847571334,0.179293410892798,0.180646973206139
Plate1PhosphateF12,0.331172296316409,0.267615340876271,0.373952008590275,0.402912321780318,0.240841294788829,0.246207191398984,0.294524273373687,0.381687364752036,0.222297767800211,0.179420308384474,0.32388016692447,0.190707482503017,0.131595514517778,0.112025792335214,0,0.336223069810822,0.355490765457522,0.305064391409957,0.138568344361034,0.301086998042568,0.228295531366667,0.171827473164703,0.376591801677227,0.300289337235335,0.255622641919001,0.13216689755387,0.132978483184888,0.128186529866243,0.239116152683567,0.251898729959406,0.268752296306478,0.16822196371347,0.332368993916228,0.180892115313107,0.108307685123742,0.238802493629104
Plate1PhosphateG4,0.257273952229251,0.35319288218706,0.248943171539269,0.232773803658184,0.390670558897609,0.352101723383729,0.150453345219757,0.112281261642824,0.248378119690552,0.2971460791311,0.128548144428167,0.314356757971069,0.275330028122803,0.255016941261213,0.336223069810822,0,0.119030079465359,0.151236619458554,0.336652535373436,0.0945530567880629,0.44179850598042,0.220319979743283,0.133835523683674,0.175049412593729,0.138981519772683,0.368951168944278,0.270774743535622,0.340741476434878,0.302788820532975,0.244919965648046,0.118596690167257,0.310700932089755,0.175272151575632,0.389955963709668,0.389454041549773,0.16610994132759
Plate2PhosphateF7,0.299688624600568,0.385057619671088,0.287490977940285,0.265410966261623,0.419706602003904,0.388449550009379,0.233115060056221,0.107106447990012,0.279626641743322,0.319172217554444,0.171583239295676,0.333581054195575,0.295198823959348,0.266278325352903,0.355490765457522,0.119030079465359,0,0.181653902246591,0.360911702390196,0.119166226085512,0.459392587703423,0.229896501378042,0.0751327010727522,0.213465039807426,0.228846558404834,0.383821431568348,0.282103295190003,0.358640443184944,0.331188448334284,0.276158771729823,0.155310992403888,0.320470642633038,0.12681811284528,0.396976331972435,0.399184054573386,0.200784342154958
Plate3PhosphateD3,0.196047251476393,0.300544902280189,0.197725353248048,0.173339657512732,0.34776935985173,0.29982303429974,0.185731934543815,0.165547984086554,0.218114685673923,0.250500561224342,0.114225067503369,0.255138656344457,0.216056135498606,0.24593642615415,0.305064391409957,0.151236619458554,0.181653902246591,0,0.289055465195766,0.0775868949916379,0.381725962952073,0.216590360308724,0.165735018139694,0.0676005362717443,0.188417085964605,0.354488599686003,0.229385233582808,0.258703476380156,0.218299158941617,0.166104019645052,0.12513093108075,0.246812632574213,0.141954524015876,0.338045225965758,0.339887759513738,0.132903022060659
Plate1PhosphateB3,0.30511000396978,0.221216465604796,0.358111010010624,0.366031690051345,0.2682391710572,0.210425457102672,0.305506776238173,0.389058994902416,0.182822639313255,0.183528015808958,0.339229718729372,0.195685747912206,0.144146638342512,0.136768464425864,0.138568344361034,0.336652535373436,0.360911702390196,0.289055465195766,0,0.31032332318613,0.162975677906272,0.196073576275341,0.374779089683982,0.283408549251666,0.276816681010824,0.209065308078485,0.13850517249783,0.128768715012826,0.238551062699067,0.219882685327894,0.269960818318715,0.178859017927457,0.277106007353423,0.140383030663519,0.159496071915637,0.246063814013017
Plate1PhosphateC3,0.209340311199168,0.327826944987177,0.206022922826909,0.19048141757454,0.373593862114557,0.327652772634696,0.170151058993888,0.126903754252034,0.236697049309854,0.270810199523667,0.0908786567623603,0.28124853540625,0.242699745409624,0.227026847048846,0.301086998042568,0.0945530567880629,0.119166226085512,0.0775868949916379,0.31032332318613,0,0.407752842548275,0.19190677712724,0.098500507205737,0.11052806660491,0.157723685951748,0.342118742580288,0.236364159072708,0.294500230900118,0.24542743668142,0.195537926740853,0.0871967061505985,0.274468075603734,0.128543497972302,0.35465139317916,0.356991113510144,0.131970912028742
Plate2PhosphateF1,0.40479939472515,0.325842527500514,0.458288227355343,0.46819238856447,0.347031164950543,0.338400278237548,0.414842237058487,0.49320363347289,0.295715794891242,0.291535575085901,0.446548931754483,0.32074847533378,0.2740960595512,0.239102899327506,0.228295531366667,0.44179850598042,0.459392587703423,0.381725962952073,0.162975677906272,0.407752842548275,0,0.331231989813473,0.466214654132038,0.364311979508717,0.372472170756213,0.20746967168811,0.260303147652964,0.172469314978095,0.243157217427566,0.31526612012743,0.369580445785343,0.313724760914995,0.372191561482279,0.26877072247542,0.232660672358994,0.358830113545084
Plate2PhosphateG4,0.262159545888156,0.299502115389732,0.268274848777308,0.297684325062922,0.313536436229189,0.278684477675757,0.230573870886569,0.26525099652901,0.158328857820781,0.21262058506982,0.229315526929743,0.20993767262217,0.133133021939941,0.142739888656518,0.171827473164703,0.220319979743283,0.229896501378042,0.216590360308724,0.196073576275341,0.19190677712724,0.331231989813473,0,0.243086309889398,0.217861435671713,0.21449906343146,0.258923328672266,0.137688245761564,0.219375396425067,0.291652970021326,0.222783012572296,0.164820665785955,0.126677514580887,0.222107640009961,0.186202456819905,0.203812164990093,0.159873684132599
