DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth
Plate1A12,Plate1,A12,A,12,S4,low-4,Col-0,Plot10,Soil,low,Pot4,52404,10.8667382032736
Plate1G7,Plate1,G7,G,7,S5,low-5,Col-0,Plot13,Soil,low,Pot5,45105,10.7167483840907
Plate2B2,Plate2,B2,B,2,S6,low-6,Col-0,Plot16,Soil,low,Pot6,361119,12.7969628228849
Plate2D12,Plate2,D12,D,12,S7,low-1,phr1/phl1,Plot1,Soil,low,Pot7,277955,12.5352145090667
Plate2G9,Plate2,G9,G,9,S8,low-2,phr1/phl1,Plot4,Soil,low,Pot8,94057,11.451656260455
Plate3C6,Plate3,C6,C,6,S9,low-3,phr1/phl1,Plot7,Soil,low,Pot9,24774,10.1175499951141
Plate1G6,Plate1,G6,G,6,S10,low-4,phr1/phl1,Plot10,Soil,low,Pot10,40868,10.6181026397113
Plate2F2,Plate2,F2,F,2,S11,low-5,phr1/phl1,Plot13,Soil,low,Pot11,168028,12.0318859111647
Plate3B6,Plate3,B6,B,6,S12,low-6,phr1/phl1,Plot16,Soil,low,Pot12,278438,12.5369506923808
Plate2C5,Plate2,C5,C,5,S13,low-1,phf1,Plot1,Soil,low,Pot13,253638,12.4436633325913
Plate2F9,Plate2,F9,F,9,S14,low-2,phf1,Plot4,Soil,low,Pot14,152643,11.935857140577
Plate3D5,Plate3,D5,D,5,S15,low-3,phf1,Plot7,Soil,low,Pot15,131501,11.7867697351338
Plate3B3,Plate3,B3,B,3,S16,low-4,phf1,Plot10,Soil,low,Pot16,3797,8.2419665602318
Plate2B8,Plate2,B8,B,8,S17,low-5,phf1,Plot13,Soil,low,Pot17,273367,12.5185704937191
Plate1B11,Plate1,B11,B,11,S18,low-6,phf1,Plot16,Soil,low,Pot18,41762,10.63974211413
Plate1D1,Plate1,D1,D,1,S19,medium-1,Col-0,Plot2,Soil,medium,Pot19,26743,10.1940280358364
Plate1A11,Plate1,A11,A,11,S20,medium-2,Col-0,Plot5,Soil,medium,Pot20,39147,10.5750790701304
Plate1C5,Plate1,C5,C,5,S21,medium-3,Col-0,Plot8,Soil,medium,Pot21,68885,11.1401937264787
Plate3D4,Plate3,D4,D,4,S22,medium-4,Col-0,Plot11,Soil,medium,Pot22,136726,11.8257342021396
Plate2D7,Plate2,D7,D,7,S23,medium-5,Col-0,Plot14,Soil,medium,Pot23,226369,12.3299216901409
Plate2B6,Plate2,B6,B,6,S24,medium-6,Col-0,Plot17,Soil,medium,Pot24,294299,12.5923515363225
Plate2E6,Plate2,E6,E,6,S25,medium-1,phr1/phl1,Plot2,Soil,medium,Pot25,149816,11.9171631534403
Plate3C3,Plate3,C3,C,3,S26,medium-2,phr1/phl1,Plot5,Soil,medium,Pot26,161247,11.9906926298338
Plate1G9,Plate1,G9,G,9,S27,medium-3,phr1/phl1,Plot8,Soil,medium,Pot27,65708,11.0929759626611
Plate2C3,Plate2,C3,C,3,S28,medium-4,phr1/phl1,Plot11,Soil,medium,Pot28,246168,12.4137695086554
Plate1A10,Plate1,A10,A,10,S29,medium-5,phr1/phl1,Plot14,Soil,medium,Pot29,33777,10.4275353764712
Plate1D10,Plate1,D10,D,10,S30,medium-6,phr1/phl1,Plot17,Soil,medium,Pot30,43840,10.6883019216219
Plate1F4,Plate1,F4,F,4,S31,medium-1,phf1,Plot2,Soil,medium,Pot31,31849,10.3687612633332
Plate2E5,Plate2,E5,E,5,S33,medium-3,phf1,Plot8,Soil,medium,Pot33,150132,11.9192701861054
Plate2F3,Plate2,F3,F,3,S36,medium-6,phf1,Plot17,Soil,medium,Pot36,149465,11.9148175306916
Plate1F6,Plate1,F6,F,6,S37,high-1,Col-0,Plot3,Soil,high,Pot37,39270,10.5782161475721
Plate1F7,Plate1,F7,F,7,S39,high-3,Col-0,Plot9,Soil,high,Pot39,71168,11.1727985581702
Plate3E5,Plate3,E5,E,5,S40,high-4,Col-0,Plot12,Soil,high,Pot40,87545,11.3799082258604
Plate1H5,Plate1,H5,H,5,S41,high-5,Col-0,Plot15,Soil,high,Pot41,26941,10.2014045688003
Plate2H2,Plate2,H2,H,2,S42,high-6,Col-0,Plot18,Soil,high,Pot42,151723,11.9298117688739
Plate1A5,Plate1,A5,A,5,S43,high-1,phr1/phl1,Plot3,Soil,high,Pot43,12039,9.39590665893503
Plate2H8,Plate2,H8,H,8,S44,high-2,phr1/phl1,Plot6,Soil,high,Pot44,85341,11.3544102745079
Plate1C7,Plate1,C7,C,7,S45,high-3,phr1/phl1,Plot9,Soil,high,Pot45,77841,11.2624235636427
Plate3A4,Plate3,A4,A,4,S46,high-4,phr1/phl1,Plot12,Soil,high,Pot46,173797,12.0656432304447
Plate1B10,Plate1,B10,B,10,S47,high-5,phr1/phl1,Plot15,Soil,high,Pot47,29642,10.2969475535169
