Gene,group,value
AT4G23000,Full_1000Pi,-0.841756997780083
AT4G24890,Full_1000Pi,-0.839482827452664
AT4G25160,Full_1000Pi,-0.961409975117198
AT4G26620,Full_1000Pi,-1.15114489945568
AT4G28260,Full_1000Pi,-1.21519865656506
AT4G31240,Full_1000Pi,-0.921938809781015
AT4G33030,Full_1000Pi,-0.812787655890016
AT4G33770,Full_1000Pi,-0.917738702176094
AT4G34200,Full_1000Pi,-0.677882162301979
AT4G35750,Full_1000Pi,-1.25216885025518
AT4G36350,Full_1000Pi,-0.732481438430707
AT4G38320,Full_1000Pi,0.277875018866484
AT5G01220,Full_1000Pi,-0.898454886525321
AT5G01820,Full_1000Pi,-0.0903858336544815
AT5G02200,Full_1000Pi,-0.937913061011075
AT5G06300,Full_1000Pi,-1.15427263190542
AT5G08030,Full_1000Pi,-0.558645883017774
AT5G08380,Full_1000Pi,-0.858544578475841
AT5G09470,Full_1000Pi,-0.697289394338386
AT5G09570,Full_1000Pi,-0.876667941405226
AT5G10740,Full_1000Pi,-0.844802098975545
AT5G13820,Full_1000Pi,-0.894565592829894
AT5G17340,Full_1000Pi,-0.868190374627373
AT5G19430,Full_1000Pi,-0.890397886063325
AT5G20150,Full_1000Pi,-0.997539708585002
AT5G20400,Full_1000Pi,-0.868062184338318
AT5G20410,Full_1000Pi,-0.866048931495041
AT5G20790,Full_1000Pi,-0.936010251964525
AT5G24600,Full_1000Pi,-0.7906584360452
AT5G26340,Full_1000Pi,-0.751899003981157
AT5G36940,Full_1000Pi,-0.832648472845826
AT5G38710,Full_1000Pi,-0.982377641964787
AT5G39720,Full_1000Pi,-0.881488550762071
AT5G40690,Full_1000Pi,-1.2288545508558
AT5G41080,Full_1000Pi,-1.29628136903866
AT5G42800,Full_1000Pi,-0.76973033443829
AT5G43150,Full_1000Pi,-0.775759568485815
AT5G43360,Full_1000Pi,-0.695821851610578
AT5G43370,Full_1000Pi,-0.840235772830698
AT5G47740,Full_1000Pi,-0.86432858705626
AT5G51050,Full_1000Pi,-0.6877664193909
AT5G53420,Full_1000Pi,-0.736273852617518
AT5G57610,Full_1000Pi,-0.645958074207045
AT5G61510,Full_1000Pi,-0.936325195938795
AT5G61550,Full_1000Pi,-0.866315591555298
AT5G63130,Full_1000Pi,-0.824440169094616
AT5G63680,Full_1000Pi,-0.94517958858414
AT5G64000,Full_1000Pi,-0.852935350056932
AT5G67080,Full_1000Pi,-0.861900060141223
AT1G02310,Full_50Pi,1.32276497361464
AT1G03020,Full_50Pi,1.3129901613624
AT1G03250,Full_50Pi,1.39605879234582
AT1G05000,Full_50Pi,1.30858197728437
AT1G08310,Full_50Pi,1.19242838117424
AT1G08650,Full_50Pi,1.4063561407741
AT1G13300,Full_50Pi,0.637593733148938
AT1G13750,Full_50Pi,1.34109801648558
AT1G17710,Full_50Pi,1.28017605908937
AT1G17745,Full_50Pi,1.32649239303584
AT1G17830,Full_50Pi,1.49943338182981
AT1G19200,Full_50Pi,1.44385859635714
AT1G22150,Full_50Pi,1.42682562644622
AT1G22170,Full_50Pi,1.37231556257643
AT1G22410,Full_50Pi,1.33112042286445
AT1G22990,Full_50Pi,1.35664087197787
AT1G23120,Full_50Pi,1.33558632233927
AT1G23140,Full_50Pi,1.28757000515301
AT1G24575,Full_50Pi,1.38377074043548
AT1G27760,Full_50Pi,1.35312726124346
AT1G30500,Full_50Pi,1.48691113699875
AT1G31120,Full_50Pi,1.41928474824499
AT1G32900,Full_50Pi,0.89208858007071
AT1G35720,Full_50Pi,1.28421194093786
AT1G48370,Full_50Pi,1.2769668734967
AT1G50110,Full_50Pi,1.19321436852992
AT1G53310,Full_50Pi,1.23854940900875
AT1G56600,Full_50Pi,1.35019137448628
AT1G56650,Full_50Pi,1.39328533946212
AT1G61800,Full_50Pi,1.36681036347138
AT1G62540,Full_50Pi,1.4695293877233
AT1G62710,Full_50Pi,1.49647144177949
AT1G64590,Full_50Pi,1.16759968811482
AT1G66390,Full_50Pi,1.53965668976038
AT1G67600,Full_50Pi,1.32770152896621
AT1G67810,Full_50Pi,1.18351047408361
AT1G67920,Full_50Pi,1.36475240019312
AT1G68620,Full_50Pi,1.42567023878196
AT1G68670,Full_50Pi,1.4381353391376
AT1G68740,Full_50Pi,1.31582343042303
AT1G69930,Full_50Pi,0.962531815834999
AT1G70900,Full_50Pi,1.35967676907064
AT1G71130,Full_50Pi,1.46768957018829
AT1G72070,Full_50Pi,1.30454533918342
AT1G72520,Full_50Pi,0.818717661294283
AT1G72890,Full_50Pi,1.48248907982253
AT1G73010,Full_50Pi,1.30829316800311
AT1G73220,Full_50Pi,1.19296340488064
AT1G74210,Full_50Pi,1.33054278992596
AT1G76410,Full_50Pi,-0.179537481813773
AT1G76430,Full_50Pi,1.33013616502869
AT1G76520,Full_50Pi,0.830212911731831
AT2G01880,Full_50Pi,1.14547762248993
AT2G02990,Full_50Pi,1.22413159972396
AT2G03020,Full_50Pi,0.835769026634701
AT2G04040,Full_50Pi,1.37230102171134
AT2G04160,Full_50Pi,1.42860911856927
AT2G11810,Full_50Pi,1.30887422116412
AT2G16430,Full_50Pi,1.4367460063413
AT2G17280,Full_50Pi,1.32431550406464
AT2G18660,Full_50Pi,1.50183497279056
AT2G22080,Full_50Pi,1.18111328797959
AT2G26660,Full_50Pi,1.26391530387581
AT2G27190,Full_50Pi,1.26781887362228
AT2G28660,Full_50Pi,1.15168146976409
AT2G29460,Full_50Pi,1.30996340802931
AT2G29670,Full_50Pi,-0.544994996800087
AT2G30540,Full_50Pi,1.41109397586892
AT2G30550,Full_50Pi,1.4927470636383
AT2G32830,Full_50Pi,1.36560848445747
AT2G34810,Full_50Pi,1.49585145016929
AT2G36970,Full_50Pi,1.41168481568517
AT2G37890,Full_50Pi,1.4471372451645
AT2G37980,Full_50Pi,1.33858317654158
AT2G38740,Full_50Pi,1.36298062638751
AT2G38940,Full_50Pi,1.27309312123364
AT2G40710,Full_50Pi,0.682677988896665
AT2G40750,Full_50Pi,1.39745638042991
AT2G41070,Full_50Pi,1.43470044515957
AT2G42690,Full_50Pi,1.4474503341044
AT2G43535,Full_50Pi,1.32185058437594
AT2G44260,Full_50Pi,1.25950606438766
AT2G45130,Full_50Pi,1.33772352076084
AT2G46880,Full_50Pi,1.45233658165312
AT2G47130,Full_50Pi,1.34601410250409
AT3G01830,Full_50Pi,1.30283579514632
AT3G02040,Full_50Pi,1.26104968884327
AT3G02870,Full_50Pi,1.35369492631149
AT3G02980,Full_50Pi,1.42866363238381
AT3G03310,Full_50Pi,1.33690428227614
AT3G03540,Full_50Pi,0.152021499578997
AT3G03790,Full_50Pi,1.50518557903859
AT3G04350,Full_50Pi,1.20296797794129
AT3G04530,Full_50Pi,1.45077926696835
AT3G05630,Full_50Pi,1.29274211714522
AT3G05690,Full_50Pi,1.30624294763049
AT3G07350,Full_50Pi,1.39086565095737
AT3G08720,Full_50Pi,1.31894398054023
AT3G10420,Full_50Pi,1.53953554183057
AT3G11230,Full_50Pi,1.43654535249828
AT3G11670,Full_50Pi,1.47691997843169
AT3G12350,Full_50Pi,1.48365142877994
AT3G12500,Full_50Pi,1.18825437967505
AT3G13110,Full_50Pi,1.32722970352968
AT3G14940,Full_50Pi,1.14280306286501
AT3G15990,Full_50Pi,1.37988511311248
AT3G17790,Full_50Pi,1.30580580263878
AT3G18080,Full_50Pi,1.45472757624248
AT3G19970,Full_50Pi,1.31027249266332
AT3G20660,Full_50Pi,1.22784385397214
AT3G21560,Full_50Pi,1.45360888416697
AT3G23870,Full_50Pi,1.37018044676754
AT3G25790,Full_50Pi,1.23528642471084
AT3G27190,Full_50Pi,1.18633943628285
AT3G43110,Full_50Pi,1.43197738350772
AT3G44510,Full_50Pi,1.34660848640958
AT3G47420,Full_50Pi,1.25452123430692
AT3G48850,Full_50Pi,1.3148901956244
AT3G49350,Full_50Pi,1.39342220833226
AT3G50350,Full_50Pi,1.16708167617693
AT3G51860,Full_50Pi,1.3389556642648
AT3G52190,Full_50Pi,1.29606333939194
AT3G52720,Full_50Pi,1.20531854380159
AT3G52820,Full_50Pi,1.40143519631631
AT3G53620,Full_50Pi,1.35048167439079
AT3G56040,Full_50Pi,1.48291065657318
AT3G59140,Full_50Pi,1.23891827653212
AT3G61410,Full_50Pi,1.31140040044677
AT4G00500,Full_50Pi,1.4807857695841
AT4G00550,Full_50Pi,1.32836359888926
AT4G01480,Full_50Pi,1.24364522748183
AT4G03960,Full_50Pi,1.22216709418636
AT4G10960,Full_50Pi,NA
AT4G11600,Full_50Pi,1.30565725672017
AT4G13000,Full_50Pi,1.35046970235357
AT4G13700,Full_50Pi,1.37849940361057
AT4G15740,Full_50Pi,1.24683407335611
AT4G17030,Full_50Pi,1.47940314365387
AT4G17615,Full_50Pi,1.46087417379837
AT4G17790,Full_50Pi,1.33586107447424
AT4G18700,Full_50Pi,1.35774547391738
AT4G19810,Full_50Pi,1.22039769633289
AT4G21470,Full_50Pi,1.38323158783503
AT4G23000,Full_50Pi,1.26819449695063
AT4G24890,Full_50Pi,1.42763120033913
AT4G25160,Full_50Pi,1.26760697827951
AT4G26620,Full_50Pi,1.30025130211045
AT4G28260,Full_50Pi,1.29275276817941
AT4G31240,Full_50Pi,1.28980182347519
AT4G33030,Full_50Pi,1.40763819285735
AT4G33770,Full_50Pi,1.17072316094375
AT4G34200,Full_50Pi,1.26537584791113
AT4G35750,Full_50Pi,1.06312626184576
AT4G36350,Full_50Pi,1.45345260916872
AT4G38320,Full_50Pi,0.336435755404815
AT5G01220,Full_50Pi,1.3304140548527
AT5G01820,Full_50Pi,1.37297100640124
AT5G02200,Full_50Pi,1.3013563803723
AT5G06300,Full_50Pi,1.19680473981834
AT5G08030,Full_50Pi,1.54584636525225
AT5G08380,Full_50Pi,1.31433536279279
AT5G09470,Full_50Pi,1.48226194913959
AT5G09570,Full_50Pi,1.40818789244779
AT5G10740,Full_50Pi,1.4017066473095
AT5G13820,Full_50Pi,1.3483103174815
AT5G17340,Full_50Pi,1.417815353116
AT5G19430,Full_50Pi,1.40734402079228
AT5G20150,Full_50Pi,1.22350542068497
AT5G20400,Full_50Pi,1.31906143206693
AT5G20410,Full_50Pi,1.36761875322385
AT5G20790,Full_50Pi,1.28302433973536
AT5G24600,Full_50Pi,1.14377805653792
AT5G26340,Full_50Pi,0.570776044502038
AT5G36940,Full_50Pi,1.45773817867384
AT5G38710,Full_50Pi,1.12160173032424
AT5G39720,Full_50Pi,1.28532863208417
AT5G40690,Full_50Pi,1.18062035560719
AT5G41080,Full_50Pi,0.617125507033443
AT5G42800,Full_50Pi,1.31242354990042
AT5G43150,Full_50Pi,1.42543558720182
AT5G43360,Full_50Pi,1.37066184680725
AT5G43370,Full_50Pi,1.2705672779666
AT5G47740,Full_50Pi,1.23616398716449
AT5G51050,Full_50Pi,1.33008801641798
AT5G53420,Full_50Pi,1.39207132149964
AT5G57610,Full_50Pi,1.41621532726138
AT5G61510,Full_50Pi,1.48456632284247
AT5G61550,Full_50Pi,1.31936593034662
AT5G63130,Full_50Pi,1.35480297828579
AT5G63680,Full_50Pi,1.33017845619487
AT5G64000,Full_50Pi,1.4145858011742
