Plate1_A1,Plate1_A2,Plate1_A4,Plate1_A8,Plate1_A9,Plate1_B1,Plate1_B12,Plate1_B2,Plate1_B3,Plate1_B4,Plate1_B6,Plate1_B8,Plate1_B9,Plate1_C10,Plate1_C11,Plate1_C12,Plate1_C2,Plate1_C3,Plate1_C4,Plate1_C9,Plate1_D11,Plate1_D2,Plate1_D3,Plate1_D5,Plate1_D6,Plate1_E10,Plate1_E3,Plate1_E4,Plate1_E6,Plate1_F3,Plate1_G1,Plate1_G11,Plate1_G12,Plate1_G3,Plate1_G5,Plate1_H1,Plate1_H3,Plate1_H7,Plate2_A1,Plate2_A10,Plate2_A4,Plate2_B1,Plate2_B5,Plate2_B7,Plate2_C1,Plate2_C11,Plate2_C2,Plate2_C4,Plate2_D10,Plate2_D2,Plate2_D8,Plate2_E12,Plate2_E7,Plate2_F10,Plate2_F11,Plate2_F7,Plate2_G12,Plate2_G3,Plate2_H1,Plate2_H5,Plate2_H6,Plate3_A2,Plate3_A3,Plate3_C1,Plate3_E2,Plate3_E3,Plate3_F1,Plate3_G2,Plate3_G4,Plate3_H2
Plate1_B6,0.854666666666667,0.903333333333333,0.844,0.747,0.897666666666667,0.893,0.903333333333333,0.803,0.719333333333333,0.900333333333333,0,0.722666666666667,0.911,0.592666666666667,0.888333333333333,0.896333333333333,0.792333333333333,0.887666666666667,0.671333333333333,0.888333333333333,0.928333333333333,0.665666666666667,0.644333333333333,0.763333333333333,0.932666666666667,0.975666666666667,0.867333333333333,0.885333333333333,0.916333333333333,0.885,0.651,0.823666666666667,0.712666666666667,0.908666666666667,0.831333333333333,0.914,0.663666666666667,0.884666666666667,0.899333333333333,0.925333333333333,0.897,0.735333333333333,0.909666666666667,0.847,0.91,0.738,0.905666666666667,0.909,0.891,0.915333333333333,0.88,0.892666666666667,0.919666666666667,0.904333333333333,0.864666666666667,0.858,0.675,0.734,0.908333333333333,0.658,0.692333333333333,0.920333333333333,0.924,0.894666666666667,0.97,0.916666666666667,0.667,0.916666666666667,0.654,0.661666666666667
Plate1_B8,0.845333333333333,0.941,0.828,0.802,0.904333333333333,0.882,0.877,0.782333333333333,0.731,0.858,0.722666666666667,0,0.865333333333333,0.688666666666667,0.858666666666667,0.847333333333333,0.83,0.849333333333333,0.646,0.836333333333333,0.930333333333333,0.73,0.670666666666667,0.807,0.927,0.967333333333333,0.819666666666667,0.880666666666667,0.914666666666667,0.865,0.614666666666667,0.798666666666667,0.638333333333333,0.878,0.818333333333333,0.911333333333333,0.626,0.845666666666667,0.899,0.904,0.863,0.765333333333333,0.866666666666667,0.831666666666667,0.892333333333333,0.724,0.861333333333333,0.899,0.842333333333333,0.867333333333333,0.857666666666667,0.848,0.906333333333333,0.898666666666667,0.836666666666667,0.854333333333333,0.697,0.678333333333333,0.924333333333333,0.676,0.632666666666667,0.897666666666667,0.878666666666667,0.884666666666667,0.967666666666667,0.891,0.694333333333333,0.880666666666667,0.605333333333333,0.608333333333333
Plate1_B9,0.74,0.881,0.659,0.968,0.982,0.594666666666667,0.512666666666667,0.643333333333333,0.916333333333333,0.529333333333333,0.911,0.865333333333333,0,0.848,0.732666666666667,0.555333333333333,0.944666666666667,0.532,0.882666666666667,0.474,0.953666666666667,0.917666666666667,0.812,0.945333333333333,0.742666666666667,0.941,0.722333333333333,0.809333333333333,0.691333333333333,0.505333333333333,0.906,0.633,0.875666666666667,0.766333333333333,0.732333333333333,0.658,0.894666666666667,0.530333333333333,0.674333333333333,0.576666666666667,0.587666666666667,0.947666666666667,0.412,0.545666666666667,0.554,0.958,0.468,0.551333333333333,0.565,0.522333333333333,0.649666666666667,0.551333333333333,0.531,0.827666666666667,0.693666666666667,0.731,0.938333333333333,0.919333333333333,0.778,0.922,0.884333333333333,0.422333333333333,0.496,0.633333333333333,0.853,0.449,0.914666666666667,0.529,0.845,0.900666666666667
Plate1_C10,0.742666666666667,0.897,0.803,0.788333333333333,0.914333333333333,0.833,0.835666666666667,0.684,0.751666666666667,0.802666666666667,0.592666666666667,0.688666666666667,0.848,0,0.828333333333333,0.794666666666667,0.813333333333333,0.779,0.675666666666667,0.798666666666667,0.923,0.699,0.480666666666667,0.775333333333333,0.888,0.960666666666667,0.807666666666667,0.830333333333333,0.888333333333333,0.796333333333333,0.651,0.723,0.681666666666667,0.852,0.780333333333333,0.891333333333333,0.612666666666667,0.818666666666667,0.809666666666667,0.882666666666667,0.819333333333333,0.768333333333333,0.834,0.751666666666667,0.836333333333333,0.785666666666667,0.830333333333333,0.815333333333333,0.845,0.850666666666667,0.836333333333333,0.805,0.866,0.878666666666667,0.808666666666667,0.794,0.723666666666667,0.756333333333333,0.886333333333333,0.691666666666667,0.727666666666667,0.877666666666667,0.868,0.835,0.966333333333333,0.874666666666667,0.706,0.844333333333333,0.51,0.655333333333333
Plate1_C11,0.85,0.883666666666667,0.746333333333333,0.935,0.934333333333333,0.82,0.742666666666667,0.754333333333333,0.899666666666667,0.702666666666667,0.888333333333333,0.858666666666667,0.732666666666667,0.828333333333333,0,0.704666666666667,0.734333333333333,0.766666666666667,0.886,0.735666666666667,0.842666666666667,0.841333333333333,0.822,0.820333333333333,0.790333333333333,0.593666666666667,0.807,0.848,0.844333333333333,0.723666666666667,0.907666666666667,0.737666666666667,0.781,0.801666666666667,0.822333333333333,0.844333333333333,0.887,0.680333333333333,0.826333333333333,0.794333333333333,0.812333333333333,0.932333333333333,0.732666666666667,0.770333333333333,0.744333333333333,0.935666666666667,0.743333333333333,0.742,0.723666666666667,0.765,0.779666666666667,0.819333333333333,0.743,0.866,0.858333333333333,0.853,0.921,0.901,0.841666666666667,0.916666666666667,0.901666666666667,0.743333333333333,0.726,0.754666666666667,0.905666666666667,0.746666666666667,0.918,0.693333333333333,0.861333333333333,0.898
Plate1_C12,0.659333333333333,0.885,0.703333333333333,0.961666666666667,0.974,0.670333333333333,0.618666666666667,0.579333333333333,0.901,0.556,0.896333333333333,0.847333333333333,0.555333333333333,0.794666666666667,0.704666666666667,0,0.929333333333333,0.542333333333333,0.881,0.530333333333333,0.917666666666667,0.903,0.727666666666667,0.938333333333333,0.804666666666667,0.927333333333333,0.684666666666667,0.774333333333333,0.750333333333333,0.577666666666667,0.874666666666667,0.530333333333333,0.830666666666667,0.684333333333333,0.721666666666667,0.796666666666667,0.865666666666667,0.61,0.719,0.696666666666667,0.569333333333333,0.942,0.545,0.546666666666667,0.550666666666667,0.948666666666667,0.568333333333333,0.584666666666667,0.630333333333333,0.580666666666667,0.686333333333333,0.548333333333333,0.634,0.793666666666667,0.719,0.718,0.920666666666667,0.925,0.831333333333333,0.905,0.871666666666667,0.653666666666667,0.592,0.712666666666667,0.890333333333333,0.592,0.899333333333333,0.622666666666667,0.818333333333333,0.871666666666667
Plate1_C2,0.929333333333333,0.923,0.902666666666667,0.731666666666667,0.910666666666667,0.931333333333333,0.885666666666667,0.897,0.729333333333333,0.932,0.792333333333333,0.83,0.944666666666667,0.813333333333333,0.734333333333333,0.929333333333333,0,0.900333333333333,0.823666666666667,0.914666666666667,0.866333333333333,0.673666666666667,0.840666666666667,0.604,0.904666666666667,0.708,0.904,0.886333333333333,0.919333333333333,0.866333333333333,0.724666666666667,0.899333333333333,0.709,0.928666666666667,0.909333333333333,0.932666666666667,0.778333333333333,0.892,0.925666666666667,0.950333333333333,0.928666666666667,0.719666666666667,0.939666666666667,0.908666666666667,0.944666666666667,0.714333333333333,0.948,0.928666666666667,0.921666666666667,0.927666666666667,0.920333333333333,0.935666666666667,0.951666666666667,0.913,0.921,0.919,0.728,0.807333333333333,0.911333333333333,0.749666666666667,0.764333333333333,0.933333333333333,0.945,0.933,0.955333333333333,0.942,0.725,0.905666666666667,0.837,0.744333333333333
Plate1_C3,0.656666666666667,0.883,0.740666666666667,0.96,0.975333333333333,0.616333333333333,0.512,0.561333333333333,0.904666666666667,0.502,0.887666666666667,0.849333333333333,0.532,0.779,0.766666666666667,0.542333333333333,0.900333333333333,0,0.876,0.467666666666667,0.935666666666667,0.895,0.731333333333333,0.912666666666667,0.721,0.91,0.666,0.779,0.776,0.489333333333333,0.867,0.551333333333333,0.812333333333333,0.736333333333333,0.675,0.668333333333333,0.849,0.664,0.645333333333333,0.608666666666667,0.544,0.935666666666667,0.498,0.503666666666667,0.572666666666667,0.949333333333333,0.497,0.52,0.694666666666667,0.542,0.679333333333333,0.505,0.563,0.815666666666667,0.668333333333333,0.681333333333333,0.924,0.918666666666667,0.756666666666667,0.901333333333333,0.885666666666667,0.604,0.551,0.726333333333333,0.852333333333333,0.570666666666667,0.909,0.691,0.806,0.869666666666667
Plate1_C4,0.881,0.933,0.821333333333333,0.799333333333333,0.914,0.885333333333333,0.871,0.836333333333333,0.767666666666667,0.905333333333333,0.671333333333333,0.646,0.882666666666667,0.675666666666667,0.886,0.881,0.823666666666667,0.876,0,0.878,0.930666666666667,0.721666666666667,0.626666666666667,0.766,0.929,0.957333333333333,0.836666666666667,0.877333333333333,0.877,0.889333333333333,0.596666666666667,0.812333333333333,0.653333333333333,0.914666666666667,0.769333333333333,0.893666666666667,0.625333333333333,0.889,0.896333333333333,0.91,0.875,0.746,0.897333333333333,0.877333333333333,0.895666666666667,0.76,0.865,0.913,0.858,0.886666666666667,0.853,0.849,0.926666666666667,0.868,0.759,0.800666666666667,0.625333333333333,0.686,0.915,0.602666666666667,0.625666666666667,0.901333333333333,0.895,0.902,0.958,0.910666666666667,0.604,0.892333333333333,0.56,0.645333333333333
Plate1_C9,0.697333333333333,0.890666666666667,0.621,0.941,0.877333333333333,0.618666666666667,0.525333333333333,0.593666666666667,0.906,0.475666666666667,0.888333333333333,0.836333333333333,0.474,0.798666666666667,0.735666666666667,0.530333333333333,0.914666666666667,0.467666666666667,0.878,0,0.901666666666667,0.893,0.749333333333333,0.919666666666667,0.743666666666667,0.918,0.677666666666667,0.769,0.77,0.478666666666667,0.881666666666667,0.573,0.841666666666667,0.737,0.718,0.676,0.876333333333333,0.589,0.654666666666667,0.58,0.602,0.941,0.430666666666667,0.52,0.568,0.944666666666667,0.478,0.522666666666667,0.662,0.537,0.677666666666667,0.551666666666667,0.546666666666667,0.82,0.690333333333333,0.722666666666667,0.920333333333333,0.907666666666667,0.747333333333333,0.909333333333333,0.890666666666667,0.563666666666667,0.541333333333333,0.687,0.870666666666667,0.506333333333333,0.918,0.646666666666667,0.823666666666667,0.878666666666667
