DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,MDS1,MDS2,MDS3
Plate2C1,Plate2,C1,C,1,R40,high-4,Col-0,Plot12,Root,high,Pot40,128927,11.7670016316939,-0.358844012176847,1.04204573348469,-0.401469735601109,0.471883918296056,0.587476945108985,0.0378459773638931
Plate1A8,Plate1,A8,A,8,R41,high-5,Col-0,Plot15,Root,high,Pot41,17333,9.76036747794131,-1.0804168215553,0.513044483159292,-0.346904458649565,-0.978087869500718,-0.596131798180744,-1.14220469316099
Plate1C10,Plate1,C10,C,10,R42,high-6,Col-0,Plot18,Root,high,Pot42,32079,10.3759568894248,-0.0433340982869219,1.26691280173505,-1.08641513861493,-0.2103100196819,1.00676131331781,0.885140368152198
Plate3E2,Plate3,E2,E,2,R43,high-1,phr1/phl1,Plot3,Root,high,Pot43,41648,10.6370086272343,2.0998743327204,-0.960109857016264,-0.255339428851091,1.22603275952375,-0.127409896978632,0.165164771268246
Plate1C11,Plate1,C11,C,11,R44,high-2,phr1/phl1,Plot6,Root,high,Pot44,32435,10.3869933656472,0.873720034091329,-1.12191401337826,0.17793927764073,-0.595549600374993,-0.532255580613471,0.660452706977381
Plate2D10,Plate2,D10,D,10,R45,high-3,phr1/phl1,Plot9,Root,high,Pot45,54894,10.9131593319076,2.0020659127966,-0.794247432983304,-0.566915996042073,1.46056585872035,-0.674148202961128,0.173910706351103
Plate2D8,Plate2,D8,D,8,R46,high-4,phr1/phl1,Plot12,Root,high,Pot46,34669,10.4536011948826,0.358844012176846,-1.04204573348469,0.401469735601109,-0.471883918296056,-0.587476945108984,-0.0378459773638936
Plate1D5,Plate1,D5,D,5,R47,high-5,phr1/phl1,Plot15,Root,high,Pot47,12351,9.42149231043801,0.861516059230122,0.0386390237862139,-0.178011948451813,-0.0192560462876919,0.837461763464535,0.62718244066889
Plate1B12,Plate1,B12,B,12,R49,high-1,phf1,Plot3,Root,high,Pot49,30132,10.3133430089456,-1.35350322954713,0.739182628595233,0.972497669149648,-0.726698094061679,1.4535229387748,0.215716240391689
Plate2C4,Plate2,C4,C,4,R50,high-2,phf1,Plot6,Root,high,Pot50,94839,11.4599359960495,-0.77087495788758,0.237393535413328,0.63869154935003,-0.00565047607261591,-0.0453051584054174,-0.828239037033788
Plate2C2,Plate2,C2,C,2,R51,high-3,phf1,Plot9,Root,high,Pot51,56383,10.9399229736108,-1.00253841568079,-0.242752883575265,0.718857069392088,-0.188468341422079,1.27480375710137,-0.808432281662762
Plate1B3,Plate1,B3,B,3,R53,high-5,phf1,Plot15,Root,high,Pot53,10242,9.2342521920225,0.218900762325182,-0.551683506945506,0.524916407101378,0.99734391578841,-0.241329965283791,0.515022252492102
Plate1D3,Plate1,D3,D,3,R54,high-6,phf1,Plot18,Root,high,Pot54,29332,10.2864343492137,0.0433340982869218,-1.26691280173505,1.08641513861493,0.2103100196819,-1.00676131331781,-0.885140368152198
Plate2E12,Plate2,E12,E,12,R55,low+Pi-1,Col-0,Plot1,Root,low+Pi,Pot55,54794,10.9113359778906,1.19654279702757,1.69431823410119,0.0130251748184976,1.23825723822677,0.4714719675092,-0.189925079694729
Plate1F3,Plate1,F3,F,3,R56,low+Pi-2,Col-0,Plot4,Root,low+Pi,Pot56,18550,9.82822506803558,-0.476509411628404,0.812613963825464,0.203241780267842,-0.199760620102929,-0.157294791632658,-1.09523467063701
Plate2E7,Plate2,E7,E,7,R57,low+Pi-3,Col-0,Plot7,Root,low+Pi,Pot57,53813,10.8932703526484,0.0176864649730096,1.97587796349824,-0.183318154836138,-1.06627566086444,-0.733859901338269,0.838694066171555
