Gene,group,value,Cluster,Genotype,Phosphate
AT1G62380,phf1_low,-0.213678973085903,Cluster1,phf1,low
AT1G62380,Col_0_low,1.33039635460172,Cluster1,Col_0,low
AT1G62480,phr1_phl1_low_Pi,0.0392413456554912,Cluster1,phr1_phl1,low_Pi
AT1G62480,phf1_low,-0.933480133034944,Cluster1,phf1,low
AT1G62480,Col_0_low_Pi,-0.58316186215732,Cluster1,Col_0,low_Pi
AT1G62480,phf1_low_Pi,0.222710151608745,Cluster1,phf1,low_Pi
AT1G62480,phr1_phl1_low,-0.417401127258821,Cluster1,phr1_phl1,low
AT1G62480,Col_0_low,1.43896824302137,Cluster1,Col_0,low
AT1G63570,phf1_low_Pi,-0.663742572540052,Cluster1,phf1,low_Pi
AT1G63570,phr1_phl1_low,-0.532682822254746,Cluster1,phr1_phl1,low
AT1G63570,phr1_phl1_low_Pi,0.178270683247988,Cluster1,phr1_phl1,low_Pi
AT1G63570,phf1_low,0.0704937643220548,Cluster1,phf1,low
AT1G63570,Col_0_low,1.20166235279168,Cluster1,Col_0,low
AT1G63570,Col_0_low_Pi,-0.800944122499801,Cluster1,Col_0,low_Pi
AT1G64950,phr1_phl1_low_Pi,-1.07676737689465,Cluster1,phr1_phl1,low_Pi
AT1G64950,Col_0_low_Pi,-0.566225304946178,Cluster1,Col_0,low_Pi
AT1G64950,phr1_phl1_low,-0.347193793952495,Cluster1,phr1_phl1,low
AT1G64950,phf1_low_Pi,-0.328425083534825,Cluster1,phf1,low_Pi
AT1G64950,phf1_low,-0.34006936231608,Cluster1,phf1,low
AT1G64950,Col_0_low,1.52688794290329,Cluster1,Col_0,low
AT1G66200,phf1_low,-0.345702962097543,Cluster1,phf1,low
AT1G66200,Col_0_low,0.989903998439753,Cluster1,Col_0,low
AT1G66200,phf1_low_Pi,-0.399744442037992,Cluster1,phf1,low_Pi
AT1G66200,phr1_phl1_low_Pi,-0.390617436893403,Cluster1,phr1_phl1,low_Pi
AT1G66200,Col_0_low_Pi,-0.278016177958663,Cluster1,Col_0,low_Pi
AT1G66200,phr1_phl1_low,-0.296985261432801,Cluster1,phr1_phl1,low
AT1G69490,phf1_low_Pi,-0.260160105695196,Cluster1,phf1,low_Pi
AT1G69490,phf1_low,-0.75923761987736,Cluster1,phf1,low
AT1G69490,phr1_phl1_low_Pi,-0.172321223124188,Cluster1,phr1_phl1,low_Pi
AT1G69490,phr1_phl1_low,-0.499816858021344,Cluster1,phr1_phl1,low
AT1G69490,Col_0_low_Pi,-0.329026995201872,Cluster1,Col_0,low_Pi
AT1G69490,Col_0_low,1.54268066686436,Cluster1,Col_0,low
AT1G71695,phf1_low_Pi,-0.163493177845712,Cluster1,phf1,low_Pi
AT1G71695,phr1_phl1_low,-1.33350604973257,Cluster1,phr1_phl1,low
AT1G71695,phr1_phl1_low_Pi,-0.612239432433409,Cluster1,phr1_phl1,low_Pi
AT1G71695,Col_0_low,1.29048953124939,Cluster1,Col_0,low
AT1G71695,Col_0_low_Pi,-0.46961272900742,Cluster1,Col_0,low_Pi
AT1G71695,phf1_low,0.224664917285545,Cluster1,phf1,low
AT1G72520,phf1_low,-0.331148381764581,Cluster1,phf1,low
AT1G72520,phr1_phl1_low_Pi,0.0308572677288383,Cluster1,phr1_phl1,low_Pi
AT1G72520,phr1_phl1_low,-0.941293625440681,Cluster1,phr1_phl1,low
AT1G72520,phf1_low_Pi,-0.309862017008813,Cluster1,phf1,low_Pi
AT1G72520,Col_0_low_Pi,-0.535386021722177,Cluster1,Col_0,low_Pi
AT1G72520,Col_0_low,1.51189040196941,Cluster1,Col_0,low
AT1G74250,phf1_low_Pi,-0.345444699381811,Cluster1,phf1,low_Pi
AT1G74250,phr1_phl1_low,-0.519497214779109,Cluster1,phr1_phl1,low
AT1G74250,Col_0_low,1.29529685302398,Cluster1,Col_0,low
AT1G74250,phf1_low,-0.679927196816417,Cluster1,phf1,low
AT1G74250,Col_0_low_Pi,0.745179763819541,Cluster1,Col_0,low_Pi
AT1G74250,phr1_phl1_low_Pi,-1.60658466793995,Cluster1,phr1_phl1,low_Pi
AT2G04050,phf1_low_Pi,-0.616226447070035,Cluster1,phf1,low_Pi
