Gene,group,value,Cluster,Genotype,Phosphate
AT5G47220,phf1_low,-0.213115143231655,Cluster1,phf1,low
AT5G47220,phf1_low_Pi,0.471920863763436,Cluster1,phf1,low_Pi
AT5G47740,phr1_phl1_low_Pi,-0.377749021462589,Cluster1,phr1_phl1,low_Pi
AT5G47740,Col_0_low_Pi,-0.650256113727931,Cluster1,Col_0,low_Pi
AT5G47740,Col_0_low,1.63214139648613,Cluster1,Col_0,low
AT5G47740,phf1_low,-0.176335575630129,Cluster1,phf1,low
AT5G47740,phf1_low_Pi,-0.716108960623033,Cluster1,phf1,low_Pi
AT5G47740,phr1_phl1_low,-0.628469146201746,Cluster1,phr1_phl1,low
AT5G51440,phr1_phl1_low,-0.477457334963447,Cluster1,phr1_phl1,low
AT5G51440,phr1_phl1_low_Pi,-1.07416575176261,Cluster1,phr1_phl1,low_Pi
AT5G51440,Col_0_low,1.57405262161174,Cluster1,Col_0,low
AT5G51440,phf1_low_Pi,-0.307272948826539,Cluster1,phf1,low_Pi
AT5G51440,Col_0_low_Pi,-0.281517169553709,Cluster1,Col_0,low_Pi
AT5G51440,phf1_low,-0.505165735461741,Cluster1,phf1,low
AT5G51870,phr1_phl1_low,-0.292336790991753,Cluster1,phr1_phl1,low
AT5G51870,Col_0_low,0.72091376190042,Cluster1,Col_0,low
AT5G51870,phr1_phl1_low_Pi,-0.285623539603338,Cluster1,phr1_phl1,low_Pi
AT5G51870,Col_0_low_Pi,-1.64927646548915,Cluster1,Col_0,low_Pi
AT5G51870,phf1_low_Pi,0.407177351376377,Cluster1,phf1,low_Pi
AT5G51870,phf1_low,0.397251354703709,Cluster1,phf1,low
AT5G52640,phf1_low,-0.705809236836058,Cluster1,phf1,low
AT5G52640,Col_0_low_Pi,0.264804335165578,Cluster1,Col_0,low_Pi
AT5G52640,phr1_phl1_low,-0.300590565228617,Cluster1,phr1_phl1,low
AT5G52640,phf1_low_Pi,-0.53164891819413,Cluster1,phf1,low_Pi
AT5G52640,Col_0_low,1.4039390616762,Cluster1,Col_0,low
AT5G52640,phr1_phl1_low_Pi,-0.959519178006077,Cluster1,phr1_phl1,low_Pi
AT5G53120,phf1_low,0.430302591144927,Cluster1,phf1,low
AT5G53120,Col_0_low,0.513313487118502,Cluster1,Col_0,low
AT5G53120,phf1_low_Pi,-1.01074573152593,Cluster1,phf1,low_Pi
AT5G53120,Col_0_low_Pi,1.26179791925205,Cluster1,Col_0,low_Pi
AT5G53120,phr1_phl1_low,-1.20157655557762,Cluster1,phr1_phl1,low
AT5G53120,phr1_phl1_low_Pi,-0.929799499087274,Cluster1,phr1_phl1,low_Pi
AT5G58940,phr1_phl1_low,-0.364643551858326,Cluster1,phr1_phl1,low
AT5G58940,phf1_low,0.405733512081737,Cluster1,phf1,low
AT5G58940,Col_0_low_Pi,-1.34297224473747,Cluster1,Col_0,low_Pi
AT5G58940,Col_0_low,1.34678765542288,Cluster1,Col_0,low
AT5G58940,phr1_phl1_low_Pi,-0.734978642652954,Cluster1,phr1_phl1,low_Pi
AT5G58940,phf1_low_Pi,-0.553676633334649,Cluster1,phf1,low_Pi
AT5G62480,phr1_phl1_low_Pi,-0.993005425743362,Cluster1,phr1_phl1,low_Pi
AT5G62480,phf1_low,-0.642107236436023,Cluster1,phf1,low
AT5G62480,Col_0_low_Pi,-0.715937639176836,Cluster1,Col_0,low_Pi
AT5G62480,phr1_phl1_low,0.390561961527735,Cluster1,phr1_phl1,low
AT5G62480,phf1_low_Pi,-0.33789081461739,Cluster1,phf1,low_Pi
AT5G62480,Col_0_low,1.41528670652813,Cluster1,Col_0,low
AT5G64810,phr1_phl1_low,-0.876415920877897,Cluster1,phr1_phl1,low
AT5G64810,Col_0_low,1.39143365973989,Cluster1,Col_0,low
AT5G64810,phr1_phl1_low_Pi,-0.14996978617073,Cluster1,phr1_phl1,low_Pi
AT5G64810,phf1_low,-0.181503327160106,Cluster1,phf1,low
AT5G64810,Col_0_low_Pi,-1.16952615671224,Cluster1,Col_0,low_Pi
AT5G64810,phf1_low_Pi,0.306031471805821,Cluster1,phf1,low_Pi
AT5G65140,phr1_phl1_low_Pi,-1.22869473968271,Cluster1,phr1_phl1,low_Pi
AT5G65140,Col_0_low_Pi,0.558094140765537,Cluster1,Col_0,low_Pi
AT5G65140,phr1_phl1_low,-0.732434255329481,Cluster1,phr1_phl1,low
AT5G65140,phf1_low,-0.0309875347844678,Cluster1,phf1,low
AT5G65140,Col_0_low,1.16364488423644,Cluster1,Col_0,low
AT5G65140,phf1_low_Pi,-0.910298539772653,Cluster1,phf1,low_Pi
AT5G65380,phf1_low,-0.528142128247956,Cluster1,phf1,low
AT5G65380,phr1_phl1_low,-0.209323931259533,Cluster1,phr1_phl1,low
AT5G65380,phf1_low_Pi,-0.742468701528185,Cluster1,phf1,low_Pi
AT5G65380,Col_0_low_Pi,-0.576802996072414,Cluster1,Col_0,low_Pi
AT5G65380,Col_0_low,1.50089523648399,Cluster1,Col_0,low
AT5G65380,phr1_phl1_low_Pi,0.138931933012168,Cluster1,phr1_phl1,low_Pi
AT1G07920,phf1_low,0.782628403020735,Cluster2,phf1,low
AT1G07920,phr1_phl1_low_Pi,0.707228758497396,Cluster2,phr1_phl1,low_Pi
AT1G07920,phr1_phl1_low,0.625401356692955,Cluster2,phr1_phl1,low
AT1G07920,phf1_low_Pi,0.663141377733453,Cluster2,phf1,low_Pi
AT1G07920,Col_0_low_Pi,-1.13480981440281,Cluster2,Col_0,low_Pi
AT1G07920,Col_0_low,-1.12085993586893,Cluster2,Col_0,low
AT1G15030,phf1_low_Pi,1.09626228208858,Cluster2,phf1,low_Pi
AT1G15030,phf1_low,0.29106024988968,Cluster2,phf1,low
AT1G15030,phr1_phl1_low,0.101532828760349,Cluster2,phr1_phl1,low
AT1G15030,Col_0_low,-1.09869297182651,Cluster2,Col_0,low
AT1G15030,phr1_phl1_low_Pi,1.67772063953022,Cluster2,phr1_phl1,low_Pi
AT1G15030,Col_0_low_Pi,-0.825206347708793,Cluster2,Col_0,low_Pi
AT1G31850,phr1_phl1_low_Pi,0.92008712126676,Cluster2,phr1_phl1,low_Pi
AT1G31850,phf1_low_Pi,0.677806412097745,Cluster2,phf1,low_Pi
AT1G31850,phr1_phl1_low,-0.234379333072026,Cluster2,phr1_phl1,low
AT1G31850,phf1_low,0.217906830310079,Cluster2,phf1,low
AT1G31850,Col_0_low,-1.41976699195161,Cluster2,Col_0,low
AT1G31850,Col_0_low_Pi,0.95624112311232,Cluster2,Col_0,low_Pi
AT1G33470,phr1_phl1_low_Pi,0.985211810332843,Cluster2,phr1_phl1,low_Pi
AT1G33470,phr1_phl1_low,-0.194751273320599,Cluster2,phr1_phl1,low
AT1G33470,phf1_low,0.444992455152597,Cluster2,phf1,low
AT1G33470,phf1_low_Pi,0.578826031158313,Cluster2,phf1,low_Pi
AT1G33470,Col_0_low_Pi,0.654375362450211,Cluster2,Col_0,low_Pi
AT1G33470,Col_0_low,-1.30826910614192,Cluster2,Col_0,low
AT1G68330,phr1_phl1_low,-0.489123623576991,Cluster2,phr1_phl1,low
AT1G68330,phr1_phl1_low_Pi,1.47596076935495,Cluster2,phr1_phl1,low_Pi
AT1G68330,Col_0_low,-1.17300223482946,Cluster2,Col_0,low
AT1G68330,Col_0_low_Pi,0.510753690279183,Cluster2,Col_0,low_Pi
AT1G68330,phf1_low_Pi,0.86836412984996,Cluster2,phf1,low_Pi
AT1G68330,phf1_low,0.0876858473430466,Cluster2,phf1,low
AT1G78830,phr1_phl1_low,-0.35122472507363,Cluster2,phr1_phl1,low
AT1G78830,phf1_low,0.0452784915017553,Cluster2,phf1,low
AT1G78830,phr1_phl1_low_Pi,1.61308547105185,Cluster2,phr1_phl1,low_Pi
AT1G78830,Col_0_low,-1.00326456021762,Cluster2,Col_0,low
AT1G78830,phf1_low_Pi,0.991166590314766,Cluster2,phf1,low_Pi
AT1G78830,Col_0_low_Pi,0.195801335495562,Cluster2,Col_0,low_Pi
AT1G79700,phr1_phl1_low_Pi,1.78750579406289,Cluster2,phr1_phl1,low_Pi
AT1G79700,phf1_low_Pi,1.15220140498083,Cluster2,phf1,low_Pi
AT1G79700,Col_0_low_Pi,-0.634276616939612,Cluster2,Col_0,low_Pi
AT1G79700,phr1_phl1_low,0.420700510407081,Cluster2,phr1_phl1,low
AT1G79700,phf1_low,-0.274010151850419,Cluster2,phf1,low
AT1G79700,Col_0_low,-0.947575311802746,Cluster2,Col_0,low
AT2G05350,phf1_low_Pi,1.35909337150258,Cluster2,phf1,low_Pi
AT2G05350,phr1_phl1_low,-0.251745829909936,Cluster2,phr1_phl1,low
AT2G05350,phf1_low,-1.18831471799686,Cluster2,phf1,low
AT2G05350,phr1_phl1_low_Pi,1.46223937397641,Cluster2,phr1_phl1,low_Pi
AT2G05350,Col_0_low,-0.01670773234868,Cluster2,Col_0,low
AT2G05350,Col_0_low_Pi,-0.0309335530625362,Cluster2,Col_0,low_Pi
AT2G21650,phf1_low,0.795588037812299,Cluster2,phf1,low
AT2G21650,phr1_phl1_low,-0.395460533925003,Cluster2,phr1_phl1,low
AT2G21650,phr1_phl1_low_Pi,0.324529006081251,Cluster2,phr1_phl1,low_Pi
AT2G21650,Col_0_low,-1.52354319102479,Cluster2,Col_0,low
AT2G21650,Col_0_low_Pi,0.829449316837713,Cluster2,Col_0,low_Pi
AT2G21650,phf1_low_Pi,0.55029900570711,Cluster2,phf1,low_Pi
AT2G43030,phf1_low,-0.381625553873046,Cluster2,phf1,low
AT2G43030,Col_0_low,-1.08065084408379,Cluster2,Col_0,low
AT2G43030,phr1_phl1_low_Pi,1.24222609926136,Cluster2,phr1_phl1,low_Pi
AT2G43030,phf1_low_Pi,0.748952125063323,Cluster2,phf1,low_Pi
AT2G43030,phr1_phl1_low,1.1882913966476,Cluster2,phr1_phl1,low
AT2G43030,Col_0_low_Pi,-0.364941974406357,Cluster2,Col_0,low_Pi
AT3G13175,phr1_phl1_low,-0.351595939350821,Cluster2,phr1_phl1,low
AT3G13175,Col_0_low,-1.23560887720303,Cluster2,Col_0,low
AT3G13175,phr1_phl1_low_Pi,1.20010364992499,Cluster2,phr1_phl1,low_Pi
AT3G13175,Col_0_low_Pi,0.705096654980953,Cluster2,Col_0,low_Pi
AT3G13175,phf1_low,-0.136986414236667,Cluster2,phf1,low
AT3G13175,phf1_low_Pi,1.10534039656693,Cluster2,phf1,low_Pi
AT3G13750,Col_0_low,-0.957382678233165,Cluster2,Col_0,low
AT3G13750,phr1_phl1_low,0.218963141397427,Cluster2,phr1_phl1,low
AT3G13750,phr1_phl1_low_Pi,1.68219402957835,Cluster2,phr1_phl1,low_Pi
AT3G13750,Col_0_low_Pi,0.088359359269967,Cluster2,Col_0,low_Pi
AT3G13750,phf1_low,-0.431372304974183,Cluster2,phf1,low
AT3G13750,phf1_low_Pi,0.934712959354448,Cluster2,phf1,low_Pi
AT3G15680,phr1_phl1_low,-0.526053732117217,Cluster2,phr1_phl1,low
AT3G15680,phr1_phl1_low_Pi,1.39532914090137,Cluster2,phr1_phl1,low_Pi
AT3G15680,Col_0_low,-0.991749111890223,Cluster2,Col_0,low
AT3G15680,phf1_low,-0.0256591936040006,Cluster2,phf1,low
AT3G15680,Col_0_low_Pi,-0.142094788835959,Cluster2,Col_0,low_Pi
AT3G15680,phf1_low_Pi,1.49659640874382,Cluster2,phf1,low_Pi
AT3G27940,phf1_low,0.483984460086105,Cluster2,phf1,low
AT3G27940,Col_0_low_Pi,-0.0256143321834398,Cluster2,Col_0,low_Pi
AT3G27940,phr1_phl1_low,-1.13167427739747,Cluster2,phr1_phl1,low
AT3G27940,phf1_low_Pi,1.14614209499844,Cluster2,phf1,low_Pi
AT3G27940,phr1_phl1_low_Pi,0.95563070262707,Cluster2,phr1_phl1,low_Pi
AT3G27940,Col_0_low,-0.79509701790681,Cluster2,Col_0,low
AT4G22290,phf1_low,-0.316813978596907,Cluster2,phf1,low
AT4G22290,phf1_low_Pi,1.11012833543745,Cluster2,phf1,low_Pi
AT4G22290,Col_0_low,-1.39063723902114,Cluster2,Col_0,low
AT4G22290,phr1_phl1_low_Pi,0.86893184252533,Cluster2,phr1_phl1,low_Pi
AT4G22290,phr1_phl1_low,0.380688100981086,Cluster2,phr1_phl1,low
AT4G22290,Col_0_low_Pi,0.635894468745866,Cluster2,Col_0,low_Pi
AT4G36850,phf1_low,-0.327779670359906,Cluster2,phf1,low
AT4G36850,Col_0_low_Pi,-0.817538106657494,Cluster2,Col_0,low_Pi
AT4G36850,phf1_low_Pi,0.951964023392677,Cluster2,phf1,low_Pi
AT4G36850,Col_0_low,-0.673296999541573,Cluster2,Col_0,low
AT4G36850,phr1_phl1_low_Pi,2.07484941731789,Cluster2,phr1_phl1,low_Pi
AT4G36850,phr1_phl1_low,0.329764379458094,Cluster2,phr1_phl1,low
AT5G02160,phf1_low_Pi,1.00364919927351,Cluster2,phf1,low_Pi
AT5G02160,phr1_phl1_low,-0.143592720080068,Cluster2,phr1_phl1,low
AT5G02160,phr1_phl1_low_Pi,2.1645842195316,Cluster2,phr1_phl1,low_Pi
AT5G02160,Col_0_low,-0.728649670991052,Cluster2,Col_0,low
AT5G02160,Col_0_low_Pi,-0.421270332354716,Cluster2,Col_0,low_Pi
AT5G02160,phf1_low,-0.28540250007863,Cluster2,phf1,low
AT5G11590,phr1_phl1_low_Pi,1.47696902539688,Cluster2,phr1_phl1,low_Pi
AT5G11590,phf1_low_Pi,0.657773933544779,Cluster2,phf1,low_Pi
AT5G11590,Col_0_low_Pi,0.62067247601355,Cluster2,Col_0,low_Pi
AT5G11590,phr1_phl1_low,-0.382275738297727,Cluster2,phr1_phl1,low
AT5G11590,phf1_low,0.201605534910016,Cluster2,phf1,low
AT5G11590,Col_0_low,-1.29137565754938,Cluster2,Col_0,low
AT5G62890,phr1_phl1_low_Pi,0.842936196428356,Cluster2,phr1_phl1,low_Pi
AT5G62890,phf1_low,0.210738141919335,Cluster2,phf1,low
AT5G62890,phr1_phl1_low,-0.0117656844021535,Cluster2,phr1_phl1,low
AT5G62890,phf1_low_Pi,0.757592570152423,Cluster2,phf1,low_Pi
AT5G62890,Col_0_low_Pi,0.82444477922825,Cluster2,Col_0,low_Pi
AT5G62890,Col_0_low,-1.53643532217134,Cluster2,Col_0,low
AT1G01060,Col_0_low,0.0420846143882973,Cluster4,Col_0,low
AT1G01060,phr1_phl1_low_Pi,-1.42322037124997,Cluster4,phr1_phl1,low_Pi
AT1G01060,phr1_phl1_low,1.07813797579175,Cluster4,phr1_phl1,low
AT1G01060,phf1_low,-0.291344844287183,Cluster4,phf1,low
AT1G01060,Col_0_low_Pi,1.04646984411305,Cluster4,Col_0,low_Pi
AT1G01060,phf1_low_Pi,-1.03910728943149,Cluster4,phf1,low_Pi
AT1G06040,phf1_low,-0.150267365072419,Cluster4,phf1,low
AT1G06040,Col_0_low,-0.377464122204589,Cluster4,Col_0,low
AT1G06040,phr1_phl1_low_Pi,-1.17186775394759,Cluster4,phr1_phl1,low_Pi
AT1G06040,phr1_phl1_low,0.938828056143815,Cluster4,phr1_phl1,low
AT1G06040,phf1_low_Pi,-0.848624570799046,Cluster4,phf1,low_Pi
AT1G06040,Col_0_low_Pi,1.28732762254454,Cluster4,Col_0,low_Pi
AT1G64110,phf1_low,-0.163845947144623,Cluster4,phf1,low
AT1G64110,phr1_phl1_low,1.24112910112178,Cluster4,phr1_phl1,low
AT1G64110,phr1_phl1_low_Pi,-0.93507011159668,Cluster4,phr1_phl1,low_Pi
AT1G64110,phf1_low_Pi,-1.46653433517,Cluster4,phf1,low_Pi
AT1G64110,Col_0_low,0.331961588697738,Cluster4,Col_0,low
AT1G64110,Col_0_low_Pi,0.457102149830907,Cluster4,Col_0,low_Pi
AT1G68880,phr1_phl1_low_Pi,-0.436706674702656,Cluster4,phr1_phl1,low_Pi
AT1G68880,phf1_low_Pi,-0.250358993308728,Cluster4,phf1,low_Pi
AT1G68880,Col_0_low_Pi,-0.579104639946065,Cluster4,Col_0,low_Pi
AT1G68880,Col_0_low,0.0871626168086138,Cluster4,Col_0,low
AT1G68880,phr1_phl1_low,1.91524405364736,Cluster4,phr1_phl1,low
AT1G68880,phf1_low,-0.665447338836105,Cluster4,phf1,low
AT2G16890,phf1_low_Pi,-1.2201103679251,Cluster4,phf1,low_Pi
AT2G16890,phr1_phl1_low,0.830221508259341,Cluster4,phr1_phl1,low
AT2G16890,phr1_phl1_low_Pi,-0.56599991142826,Cluster4,phr1_phl1,low_Pi
AT2G16890,Col_0_low,0.785708955131902,Cluster4,Col_0,low
AT2G16890,Col_0_low_Pi,0.739351879665914,Cluster4,Col_0,low_Pi
AT2G16890,phf1_low,-0.830017664655916,Cluster4,phf1,low
AT2G20450,Col_0_low_Pi,0.381241133679591,Cluster4,Col_0,low_Pi
AT2G20450,phf1_low,-1.33043796746836,Cluster4,phf1,low
AT2G20450,phr1_phl1_low_Pi,-0.457678163594019,Cluster4,phr1_phl1,low_Pi
AT2G20450,phr1_phl1_low,0.979893863044736,Cluster4,phr1_phl1,low
AT2G20450,phf1_low_Pi,-0.467588112976468,Cluster4,phf1,low_Pi
AT2G20450,Col_0_low,0.887299432834461,Cluster4,Col_0,low
AT2G40700,phr1_phl1_low,1.40572662041622,Cluster4,phr1_phl1,low
AT2G40700,Col_0_low_Pi,0.0306157181042907,Cluster4,Col_0,low_Pi
AT2G40700,Col_0_low,0.551618073556015,Cluster4,Col_0,low
AT2G40700,phr1_phl1_low_Pi,-1.84457621264305,Cluster4,phr1_phl1,low_Pi
AT2G40700,phf1_low,-0.344358069673336,Cluster4,phf1,low
AT2G40700,phf1_low_Pi,-0.686905034855143,Cluster4,phf1,low_Pi
AT2G46830,Col_0_low,-0.157340962433401,Cluster4,Col_0,low
AT2G46830,phr1_phl1_low,1.22372435083266,Cluster4,phr1_phl1,low
AT2G46830,phf1_low,-0.292952189860985,Cluster4,phf1,low
AT2G46830,Col_0_low_Pi,1.00915532553084,Cluster4,Col_0,low_Pi
AT2G46830,phr1_phl1_low_Pi,-1.24145042473132,Cluster4,phr1_phl1,low_Pi
AT2G46830,phf1_low_Pi,-0.936714735556264,Cluster4,phf1,low_Pi
AT3G26460,Col_0_low_Pi,0.296192649792677,Cluster4,Col_0,low_Pi
AT3G26460,Col_0_low,0.654048736371812,Cluster4,Col_0,low
AT3G26460,phf1_low,-1.13126334492277,Cluster4,phf1,low
AT3G26460,phr1_phl1_low_Pi,-0.968462172134623,Cluster4,phr1_phl1,low_Pi
AT3G26460,phf1_low_Pi,-0.555563461297155,Cluster4,phf1,low_Pi
AT3G26460,phr1_phl1_low,1.45942381039822,Cluster4,phr1_phl1,low
AT5G17230,phr1_phl1_low,1.94547944691917,Cluster4,phr1_phl1,low
AT5G17230,Col_0_low,-0.290599983203815,Cluster4,Col_0,low
AT5G17230,phf1_low_Pi,-0.273189447196762,Cluster4,phf1,low_Pi
AT5G17230,phf1_low,-0.880908904556382,Cluster4,phf1,low
AT5G17230,phr1_phl1_low_Pi,-0.699658899202605,Cluster4,phr1_phl1,low_Pi
AT5G17230,Col_0_low_Pi,0.434802781519193,Cluster4,Col_0,low_Pi
AT5G37260,phr1_phl1_low_Pi,-0.866443918321551,Cluster4,phr1_phl1,low_Pi
AT5G37260,phf1_low_Pi,-0.55178320160724,Cluster4,phf1,low_Pi
AT5G37260,phr1_phl1_low,1.78735957149798,Cluster4,phr1_phl1,low
AT5G37260,Col_0_low_Pi,-0.124029416443769,Cluster4,Col_0,low_Pi
AT5G37260,Col_0_low,-0.240817688601146,Cluster4,Col_0,low
AT5G37260,phf1_low,-0.211398974256317,Cluster4,phf1,low
AT5G39660,phr1_phl1_low,1.82845182718855,Cluster4,phr1_phl1,low
AT5G39660,phr1_phl1_low_Pi,-0.784688058823469,Cluster4,phr1_phl1,low_Pi
AT5G39660,phf1_low_Pi,-0.592353187849933,Cluster4,phf1,low_Pi
AT5G39660,Col_0_low_Pi,0.47979462857234,Cluster4,Col_0,low_Pi
AT5G39660,phf1_low,-0.530690157073911,Cluster4,phf1,low
AT5G39660,Col_0_low,-0.351676001925571,Cluster4,Col_0,low
AT5G44780,phr1_phl1_low_Pi,-1.24213445430731,Cluster4,phr1_phl1,low_Pi
AT5G44780,phr1_phl1_low,0.603512754402688,Cluster4,phr1_phl1,low
AT5G44780,Col_0_low_Pi,1.14131590709711,Cluster4,Col_0,low_Pi
AT5G44780,Col_0_low,0.694292014932548,Cluster4,Col_0,low
AT5G44780,phf1_low,-0.556625626034862,Cluster4,phf1,low
AT5G44780,phf1_low_Pi,-1.33026101769267,Cluster4,phf1,low_Pi
AT1G04660,phr1_phl1_low_Pi,-0.109996022943052,Cluster5,phr1_phl1,low_Pi
AT1G04660,phr1_phl1_low,-0.781271263646205,Cluster5,phr1_phl1,low
AT1G04660,phf1_low,-0.25968017655014,Cluster5,phf1,low
AT1G04660,Col_0_low_Pi,1.58286764676175,Cluster5,Col_0,low_Pi
AT1G04660,phf1_low_Pi,0.524191812247073,Cluster5,phf1,low_Pi
AT1G04660,Col_0_low,-0.587513279377256,Cluster5,Col_0,low
AT1G20990,phf1_low,0.37557301623541,Cluster5,phf1,low
AT1G20990,phf1_low_Pi,0.114214435400634,Cluster5,phf1,low_Pi
AT1G20990,phr1_phl1_low_Pi,-0.625826017314876,Cluster5,phr1_phl1,low_Pi
AT1G20990,phr1_phl1_low,-0.162318761077592,Cluster5,phr1_phl1,low
AT1G20990,Col_0_low_Pi,1.47879439232214,Cluster5,Col_0,low_Pi
AT1G20990,Col_0_low,-1.11184780564143,Cluster5,Col_0,low
AT1G48100,phr1_phl1_low,-0.671127138287868,Cluster5,phr1_phl1,low
AT1G48100,Col_0_low_Pi,1.66264336368659,Cluster5,Col_0,low_Pi
AT1G48100,phf1_low_Pi,-0.0510114821626937,Cluster5,phf1,low_Pi
AT1G48100,Col_0_low,-0.835915669777965,Cluster5,Col_0,low
AT1G48100,phr1_phl1_low_Pi,0.101890659969275,Cluster5,phr1_phl1,low_Pi
AT1G48100,phf1_low,0.174948954297523,Cluster5,phf1,low
AT1G70830,phr1_phl1_low,1.12189757650198,Cluster5,phr1_phl1,low
AT1G70830,phf1_low_Pi,0.356781931994541,Cluster5,phf1,low_Pi
AT1G70830,Col_0_low,-1.39108543220267,Cluster5,Col_0,low
AT1G70830,phr1_phl1_low_Pi,0.32787792755499,Cluster5,phr1_phl1,low_Pi
AT1G70830,Col_0_low_Pi,0.574014500266122,Cluster5,Col_0,low_Pi
AT1G70830,phf1_low,0.000870825589216898,Cluster5,phf1,low
AT1G78060,phr1_phl1_low,-0.319476941646707,Cluster5,phr1_phl1,low
AT1G78060,Col_0_low,-1.05794826493826,Cluster5,Col_0,low
AT1G78060,phf1_low_Pi,-0.0868943176387928,Cluster5,phf1,low_Pi
AT1G78060,phf1_low,0.219669622483903,Cluster5,phf1,low
AT1G78060,phr1_phl1_low_Pi,-0.0713563674592364,Cluster5,phr1_phl1,low_Pi
AT1G78060,Col_0_low_Pi,1.69946740669665,Cluster5,Col_0,low_Pi
AT1G78490,phr1_phl1_low_Pi,-0.492336426566365,Cluster5,phr1_phl1,low_Pi
AT1G78490,phr1_phl1_low,0.901463126170286,Cluster5,phr1_phl1,low
AT1G78490,phf1_low_Pi,-0.405052227996336,Cluster5,phf1,low_Pi
AT1G78490,Col_0_low_Pi,1.25170382489085,Cluster5,Col_0,low_Pi
AT1G78490,Col_0_low,-1.16206068399734,Cluster5,Col_0,low
AT1G78490,phf1_low,0.201919422230963,Cluster5,phf1,low
AT2G01420,phr1_phl1_low,1.11474595092974,Cluster5,phr1_phl1,low
AT2G01420,phf1_low,0.401955624016527,Cluster5,phf1,low
AT2G01420,Col_0_low,-1.54613631222248,Cluster5,Col_0,low
AT2G01420,phf1_low_Pi,0.0412656575333486,Cluster5,phf1,low_Pi
AT2G01420,phr1_phl1_low_Pi,0.834935924669751,Cluster5,phr1_phl1,low_Pi
AT2G01420,Col_0_low_Pi,0.14596455762631,Cluster5,Col_0,low_Pi
AT2G23120,phr1_phl1_low_Pi,-0.287537500517855,Cluster5,phr1_phl1,low_Pi
AT2G23120,Col_0_low,-0.109812248485927,Cluster5,Col_0,low
AT2G23120,phr1_phl1_low,-0.0344158483790144,Cluster5,phr1_phl1,low
AT2G23120,Col_0_low_Pi,1.80523147282382,Cluster5,Col_0,low_Pi
AT2G23120,phf1_low_Pi,-0.302571392066896,Cluster5,phf1,low_Pi
AT2G23120,phf1_low,-0.773171406260061,Cluster5,phf1,low
AT2G26690,Col_0_low_Pi,1.67835937510352,Cluster5,Col_0,low_Pi
AT2G26690,phf1_low,0.129946151298895,Cluster5,phf1,low
AT2G26690,Col_0_low,-0.661474895890109,Cluster5,Col_0,low
AT2G26690,phr1_phl1_low_Pi,-0.511773747009802,Cluster5,phr1_phl1,low_Pi
AT2G26690,phf1_low_Pi,-0.630647745709184,Cluster5,phf1,low_Pi
AT2G26690,phr1_phl1_low,0.00546836099738585,Cluster5,phr1_phl1,low
AT2G28550,phf1_low,0.302181956238795,Cluster5,phf1,low
AT2G28550,Col_0_low,-1.40235819410312,Cluster5,Col_0,low
AT2G28550,phr1_phl1_low_Pi,0.189076033641721,Cluster5,phr1_phl1,low_Pi
AT2G28550,phf1_low_Pi,0.224978044223295,Cluster5,phf1,low_Pi
AT2G28550,Col_0_low_Pi,1.01085243318188,Cluster5,Col_0,low_Pi
AT2G28550,phr1_phl1_low,0.432326742985155,Cluster5,phr1_phl1,low
AT2G33770,phr1_phl1_low_Pi,0.162989847365308,Cluster5,phr1_phl1,low_Pi
AT2G33770,phr1_phl1_low,1.93269354753975,Cluster5,phr1_phl1,low
AT2G33770,Col_0_low_Pi,0.0850099645576858,Cluster5,Col_0,low_Pi
AT2G33770,phf1_low,-0.917416771046152,Cluster5,phf1,low
AT2G33770,Col_0_low,-0.461743411215356,Cluster5,Col_0,low
AT2G33770,phf1_low_Pi,-0.0304581623878219,Cluster5,phf1,low_Pi
AT2G36570,phr1_phl1_low,0.419120204801809,Cluster5,phr1_phl1,low
AT2G36570,Col_0_low_Pi,1.17295292575634,Cluster5,Col_0,low_Pi
AT2G36570,Col_0_low,-1.3687377187308,Cluster5,Col_0,low
AT2G36570,phr1_phl1_low_Pi,0.59830300272085,Cluster5,phr1_phl1,low_Pi
AT2G36570,phf1_low,-0.169888820132071,Cluster5,phf1,low
AT2G36570,phf1_low_Pi,0.416715176375739,Cluster5,phf1,low_Pi
AT2G37900,phf1_low,-0.532052425439966,Cluster5,phf1,low
AT2G37900,phr1_phl1_low_Pi,0.221138751302115,Cluster5,phr1_phl1,low_Pi
AT2G37900,phf1_low_Pi,0.00581373052253922,Cluster5,phf1,low_Pi
AT2G37900,phr1_phl1_low,0.706404861308358,Cluster5,phr1_phl1,low
AT2G37900,Col_0_low_Pi,1.38790505886947,Cluster5,Col_0,low_Pi
AT2G37900,Col_0_low,-0.941742925460982,Cluster5,Col_0,low
AT2G46710,phr1_phl1_low_Pi,0.680574978665631,Cluster5,phr1_phl1,low_Pi
AT2G46710,phr1_phl1_low,0.569878331109229,Cluster5,phr1_phl1,low
AT2G46710,Col_0_low,-1.21904427380075,Cluster5,Col_0,low
AT2G46710,Col_0_low_Pi,1.33558363028593,Cluster5,Col_0,low_Pi
AT2G46710,phf1_low,-0.374105108898603,Cluster5,phf1,low
AT2G46710,phf1_low_Pi,0.250692381104058,Cluster5,phf1,low_Pi
AT3G18490,phr1_phl1_low,-0.105241918728886,Cluster5,phr1_phl1,low
AT3G18490,Col_0_low_Pi,1.55754834833235,Cluster5,Col_0,low_Pi
AT3G18490,phf1_low,0.208977754342469,Cluster5,phf1,low
