Tissue,type,OTU_Header,experiment,Rep,condition,position,ID_Matrix,typebyTissue,TTC,Depth,LDepth,Pi,USeq
Agar,NP,P56Plate3Phosphate,Pi,Rep2,30 micromolar Pi,e4,Plate3PhosphateE4,Agar_NP,Agar_NP_30P,7776,8.95879734614027,30,0.0217335390946502
Agar,NP,P1Plate3Phosphate,Pi,Rep2,30 micromolar Pi,g3,Plate3PhosphateG3,Agar_NP,Agar_NP_30P,3856,8.25738565573044,30,0.0352697095435685
Agar,SC,P16Plate1Phosphate,Pi,Rep2,30 micromolar Pi,a2,Plate1PhosphateA2,Agar_SC,Agar_SC_30P,15743,9.66415110101463,30,0.0278218890935654
Agar,SC,P3Plate1Phosphate,Pi,Rep2,30 micromolar Pi,e1,Plate1PhosphateE1,Agar_SC,Agar_SC_30P,11577,9.35677565020573,30,0.0385246609657079
Agar,SC,P15Plate1Phosphate,Pi,Rep2,30 micromolar Pi,f12,Plate1PhosphateF12,Agar_SC,Agar_SC_30P,19108,9.85786237450985,30,0.0401925894913125
Agar,SC,P11Plate1Phosphate,Pi,Rep1,30 micromolar Pi,g4,Plate1PhosphateG4,Agar_SC,Agar_SC_30P,18902,9.847023015555,30,0.0183049412760554
Agar,SC,P46Plate2Phosphate,Pi,Rep1,30 micromolar Pi,f7,Plate2PhosphateF7,Agar_SC,Agar_SC_30P,5608,8.63194942871443,30,0.00838088445078459
Agar,SC,P85Plate3Phosphate,Pi,Rep1,30 micromolar Pi,d3,Plate3PhosphateD3,Agar_SC,Agar_SC_30P,4296,8.3654396361887,30,0.0379422718808194
Root,SC,P74Plate1Phosphate,Pi,Rep2,30 micromolar Pi,c10,Plate1PhosphateC10,Root_SC,Root_SC_30P,22794,10.0342526224157,30,0.0126787751162587
Root,SC,P30Plate1Phosphate,Pi,Rep1,30 micromolar Pi,c4,Plate1PhosphateC4,Root_SC,Root_SC_30P,21250,9.96411217435256,30,0.0141176470588235
Root,SC,P24Plate1Phosphate,Pi,Rep2,30 micromolar Pi,f6,Plate1PhosphateF6,Root_SC,Root_SC_30P,24770,10.1173885224834,30,0.0121517965280581
Root,SC,P81Plate1Phosphate,Pi,Rep1,30 micromolar Pi,g1,Plate1PhosphateG1,Root_SC,Root_SC_30P,18185,9.80835235742109,30,0.0124828155072862
Root,SC,P18Plate2Phosphate,Pi,Rep1,30 micromolar Pi,d10,Plate2PhosphateD10,Root_SC,Root_SC_30P,7339,8.90095787254506,30,0.0100831175909524
Root,SC,P94Plate2Phosphate,Pi,Rep2,30 micromolar Pi,f2,Plate2PhosphateF2,Root_SC,Root_SC_30P,5527,8.61740045183326,30,0.00886556902478741
Shoot,SC,P9Plate1Phosphate,Pi,Rep2,30 micromolar Pi,a6,Plate1PhosphateA6,Shoot_SC,Shoot_SC_30P,22910,10.0393287754475,30,0.00947184635530336
Shoot,SC,P57Plate1Phosphate,Pi,Rep1,30 micromolar Pi,c8,Plate1PhosphateC8,Shoot_SC,Shoot_SC_30P,19908,9.89887693997844,30,0.012607996785212
Shoot,SC,P18Plate1Phosphate,Pi,Rep2,30 micromolar Pi,d10,Plate1PhosphateD10,Shoot_SC,Shoot_SC_30P,20414,9.92397621896344,30,0.00749485647104928
Shoot,SC,P75Plate2Phosphate,Pi,Rep1,30 micromolar Pi,b1,Plate2PhosphateB1,Shoot_SC,Shoot_SC_30P,6050,8.70781355102489,30,0.00925619834710744
Shoot,SC,P49Plate2Phosphate,Pi,Rep2,30 micromolar Pi,b10,Plate2PhosphateB10,Shoot_SC,Shoot_SC_30P,6856,8.83287946027762,30,0.00408401400233372
Shoot,SC,P78Plate2Phosphate,Pi,Rep1,30 micromolar Pi,d6,Plate2PhosphateD6,Shoot_SC,Shoot_SC_30P,5918,8.68575383296015,30,0.00963163230821223
Agar,NP,P23Plate1Phosphate,Pi,Rep1,50 micromolar Pi,c2,Plate1PhosphateC2,Agar_NP,Agar_NP_50P,16653,9.72034565935827,50,0.0251005824776317
Agar,NP,P86Plate2Phosphate,Pi,Rep2,50 micromolar Pi,a11,Plate2PhosphateA11,Agar_NP,Agar_NP_50P,4285,8.36287583103188,50,0.0457409568261377
Agar,NP,P44Plate2Phosphate,Pi,Rep1,50 micromolar Pi,d9,Plate2PhosphateD9,Agar_NP,Agar_NP_50P,3314,8.10591119798651,50,0.0196137598068799
Agar,NP,P1Plate2Phosphate,Pi,Rep2,50 micromolar Pi,g3,Plate2PhosphateG3,Agar_NP,Agar_NP_50P,4787,8.47365918939251,50,0.0185920200543138
Agar,NP,P52Plate2Phosphate,Pi,Rep2,50 micromolar Pi,g6,Plate2PhosphateG6,Agar_NP,Agar_NP_50P,4951,8.50734485536142,50,0.0258533629569784
Agar,NP,P37Plate2Phosphate,Pi,Rep1,50 micromolar Pi,h7,Plate2PhosphateH7,Agar_NP,Agar_NP_50P,4114,8.3221510702129,50,0.0119105493437044
Agar,NP,P38Plate3Phosphate,Pi,Rep1,50 micromolar Pi,c1,Plate3PhosphateC1,Agar_NP,Agar_NP_50P,7680,8.94637482614172,50,0.0395833333333333
Agar,SC,P8Plate1Phosphate,Pi,Rep2,50 micromolar Pi,b3,Plate1PhosphateB3,Agar_SC,Agar_SC_50P,18960,9.85008677580901,50,0.0419831223628692
Agar,SC,P32Plate1Phosphate,Pi,Rep1,50 micromolar Pi,c3,Plate1PhosphateC3,Agar_SC,Agar_SC_50P,20134,9.91016520728937,50,0.026770636733883
Agar,SC,P6Plate2Phosphate,Pi,Rep2,50 micromolar Pi,f1,Plate2PhosphateF1,Agar_SC,Agar_SC_50P,3819,8.24774388722552,50,0.0748887143231212
Agar,SC,P11Plate2Phosphate,Pi,Rep2,50 micromolar Pi,g4,Plate2PhosphateG4,Agar_SC,Agar_SC_50P,3236,8.08209327817838,50,0.0315203955500618
