Representative	USeq	Kingdom	Phylum	Class	Order	Family	Genus	PhylaColor	NLabels
2643221498	Sequence_78	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	#FF8000	USeq78 Variovorax
2546825542	Sequence_16	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	#FF8000	USeq16 Burkholderia
2521172625	Sequence_30	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	#FF8000	USeq30 Burkholderia
2558309150	Sequence_40	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Ralstoniaceae	Ralstonia	#FF8000	USeq40 Ralstonia
2639762581	Sequence_20	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	#FF8000	USeq20 Stenotrophomonas
2593339196	Sequence_45	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	#FF8000	USeq45 Dyella
2593339238	Sequence_94	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	#FF8000	USeq94 Luteibacter
2519899668	Sequence_49	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	#FF8000	USeq49 Luteibacter
2558860101	Sequence_15	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	#FF8000	USeq15 Acinetobacter
2593339129	Sequence_59	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	#FF8000	USeq59 Acinetobacter
2643221503	Sequence_51	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	#FF8000	USeq51 Pseudomonas
2513237142	Sequence_82	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	#FF8000	USeq82 Pseudomonas
2519899642	Sequence_60	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	#FF8000	USeq60 Pseudomonas
2556921015	Sequence_96	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	#FF8000	USeq96 Pseudomonas
2510065054	Sequence_72	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	#FF8000	USeq72 Pseudomonas
2636416057	Sequence_87	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	#FF8000	USeq87 Pseudomonas
2636416058	Sequence_50	Bacteria	Actinobacteria	Actinobacteria	Corynebacterineae	Mycobacteriaceae	Mycobacterium	#0000C0	USeq50 Mycobacterium
2639762525	Sequence_11	Bacteria	Actinobacteria	Actinobacteria	Corynebacterineae	Mycobacteriaceae	Mycobacterium	#0000C0	USeq11 Mycobacterium
2643221531	Sequence_23	Bacteria	Actinobacteria	Actinobacteria	Corynebacterineae	Mycobacteriaceae	Mycobacterium	#0000C0	USeq23 Mycobacterium
2593339259	Sequence_52	Bacteria	Actinobacteria	Actinobacteria	Corynebacterineae	Mycobacteriaceae	Mycobacterium	#0000C0	USeq52 Mycobacterium
2639762559	Sequence_47	Bacteria	Actinobacteria	Actinobacteria	Corynebacterineae	Mycobacteriaceae	Mycobacterium	#0000C0	USeq47 Mycobacterium
2521172629	Sequence_8	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Nocardia	#0000C0	USeq8 Nocardia
2593339195	Sequence_92	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	#0000C0	USeq92 Rhodococcus
2563366512	Sequence_85	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	#0000C0	USeq85 Rhodococcus
2643221491	Sequence_31	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	#0000C0	USeq31 Rhodococcus
2563366510	Sequence_90	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	#0000C0	USeq90 Rhodococcus
2519899643	Sequence_65	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	#0000C0	USeq65 Rhodococcus
2582580751	Sequence_68	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	#0000C0	USeq68 Nocardioides
2563366515	Sequence_24	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	#0000C0	USeq24 Streptomyces
2521172626	Sequence_37	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	#0000C0	USeq37 Streptomyces
2521172628	Sequence_54	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	#0000C0	USeq54 Streptomyces
2521172643	Sequence_46	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	#0000C0	USeq46 Streptomyces
2522125155	Sequence_7	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Terracoccus	#0000C0	USeq7 Terracoccus
2522572130	Sequence_10	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Promicromonosporaceae	Promicromonospora	#0000C0	USeq10 Promicromonospora
2548877166	Sequence_36	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Leucobacter	#0000C0	USeq36 Leucobacter
2563366719	Sequence_67	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium	#0000C0	USeq67 Curtobacterium
2521172612	Sequence_13	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium	#0000C0	USeq13 Curtobacterium
2595698215	Sequence_32	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium	#0000C0	USeq32 Curtobacterium
2639762526	Sequence_86	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Leifsonia	#0000C0	USeq86 Leifsonia
2639762580	Sequence_88	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	#0000C0	USeq88 Microbacterium
2519899511	Sequence_93	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	#0000C0	USeq93 Microbacterium
2579779165	Sequence_18	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	#0000C0	USeq18 Microbacterium
2522125170	Sequence_73	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	#0000C0	USeq73 Microbacterium
2517572123	Sequence_9	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	#0000C0	USeq9 Arthrobacter
2517572214	Sequence_75	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	#0000C0	USeq75 Arthrobacter
2563366511	Sequence_66	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	#0000C0	USeq66 Arthrobacter
2556921097	Sequence_34	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	#0000C0	USeq34 Arthrobacter
2519899686	Sequence_79	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	#0000C0	USeq79 Arthrobacter
2523533508	Sequence_19	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	#0000C0	USeq19 Arthrobacter
2593339130	Sequence_76	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	#0000C0	USeq76 Arthrobacter
