ASV_Id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	Kingdom	Phylum	Class	Order	Family	Genus
ASV1015	7.78254023292602	21.9944438704613	3.28030048004007	6.70500888692751	2.01394110581719e-11	3.71372181015448e-10	Root-Soil	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV1015	7.78254023292602	2.48024162298693	2.18741236655131	1.1338701659154	0.256849013189038	0.446776852506345	Root-Shoot	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV1016	7.59422457778496	26.6444434605875	4.67241821996215	5.70249541163791	NA	NA	Shoot-Soil	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA
ASV1016	7.59422457778496	-12.1210674439626	3.11442904875726	-3.89190675215389	NA	NA	Root-Shoot	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA
ASV1016	7.59422457778496	14.5233760166249	4.65442192107149	3.12033938111083	NA	NA	Root-Soil	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA
ASV1017	7.6861806195662	-1.13846684674908	1.80113216032172	-0.632084014615406	0.52733198010455	0.697515469128411	Shoot-Soil	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
ASV1017	7.6861806195662	3.60755375284341	1.20759267883684	2.98739286521531	0.00281367892553476	0.0131118455535318	Root-Shoot	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
ASV1017	7.6861806195662	2.46908690609433	1.7858175023929	1.3826087507743	0.166784864416886	0.334218192536793	Root-Soil	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
ASV1018	7.55658811955596	10.0265314694264	3.10695637918455	3.22712334701589	0.00125041544720187	0.00655276178431973	Root-Shoot	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis
ASV1018	7.55658811955596	19.59726155838	4.67155854644875	4.19501572409438	2.72852658831512e-05	0.000214046058389287	Shoot-Soil	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis
ASV1018	7.55658811955596	29.6237930278064	4.64795750500153	6.37350771729929	1.84752975615362e-10	2.99439256704898e-09	Root-Soil	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis
