Useq,Freezer_Id,taxon_oid,Genome_Name,Genome_Classification
USeq86,MF157,2642422515,Leifsonia sp. 157MF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia
USeq86,MF197A,2639762662,Leifsonia sp. 197AMF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia
USeq86,MF21,2639762661,Leifsonia sp. 21MFCrub1.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia
USeq86,MF340,2522125173,Cryocola sp. 340MFSha3.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Cryocola
USeq86,MF340_27f,2522125173,Cryocola sp. 340MFSha3.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Cryocola
USeq86,MF466,2639762589,Leifsonia sp. 466MF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia
USeq86,MF467,2639763199,Leifsonia sp. 467MF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia
USeq86,MF501A_27f,2643221504,Mycobacterium sp. 501AMF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq86,MF509,2639763200,Leifsonia sp. 509MF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia
USeq86,MF98A,2639762620,Leifsonia sp. 98AMF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia
USeq87,MF48,2636416057,Pseudomonas sp. 48MFCvi1.1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
USeq88,CL127,2639762580,Microbacterium sp. CL127,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq88,CL127_2,2639762580,Microbacterium sp. CL127,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq88,CL12A,2639762578,Microbacterium sp. CL12A,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq88,CL12A_2,2639762578,Microbacterium sp. CL12A,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq88,CL140,2639762579,Microbacterium sp. CL140,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq88,CL140_2,2639762579,Microbacterium sp. CL140,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq88,CL140_3,2639762579,Microbacterium sp. CL140,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq88,CL152,2639762630,Microbacterium sp. CL152,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq88,CL152_2,2639762630,Microbacterium sp. CL152,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq88,CL152_3,2639762630,Microbacterium sp. CL152,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq88,CL89,2643221511,Microbacterium azadirachtae CL89,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq89,MF212,2643221487,Bacillus sp. 212MF,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq89,MF69,2574179747,Bacillus sp. UNC69MF,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq90,MF23,2563366510,Rhodococcus sp. UNC23MFCrub1.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus
USeq91,CL81,2593339131,Bacillus sp. UNCCL81,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq92,MF164,2593339195,Rhodococcus sp. 164Chir2E,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus
USeq92,MF339,2643221496,Rhodococcus erythropolis 339MFSha3.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus
USeq93,MF292,2519899511,Microbacterium sp. 292MF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq94,MF138,2593339266,Luteibacter sp. UNC138MFCol5.1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Luteibacter
USeq94,MF329,2639762521,Luteibacter sp. 329MFSha,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Luteibacter
USeq94,MF329_2,2639762521,Luteibacter sp. 329MFSha,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Luteibacter
USeq94,MF331,2593339239,Luteibacter sp. UNCMF331Sha3.1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Luteibacter
USeq94,MF366,2593339238,Luteibacter sp. UNCMF366Tsu5.1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Luteibacter
USeq95,CL117,2593339198,Paenibacillus sp. UNCCL117,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
USeq96,CL58,2556921015,Pseudomonas umsongensis UNC430CL58Col,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
USeq96,MF113,2643221484,Pseudomonas sp. 113MF,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
USeq96,MF50,2228664007,Pseudomonas sp. KD5,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
USeq97,MF33,2561511224,Agrobacterium sp. 33MFTa1.1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
USeq97,MF33_27f,2561511224,Agrobacterium sp. 33MFTa1.1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
