Plate	Well	row	column	Sample	Soil	Genotype	Plot	Fraction	OTU_Header	DADA2_Header	Phosphate	Pot	Depth	LDepth	Shannon	Richness
Plate2	A6	a	6	L58	low+Pi-4	Col-0	Plot10	Shoot	P9Plate2	Plate2_A6	low+Pi	Pot58	41668	10.6374887271043	3.79841544753419	353
Plate2	A7	a	7	S77	low-5	No_Plant	Plot13	BulkSoil	P84Plate2	Plate2_A7	low	Pot77	5331	8.58129411682276	5.29517579860626	348
Plate2	A9	a	9	L27	medium-3	phr1/phl1	Plot8	Shoot	P65Plate2	Plate2_A9	medium	Pot27	46974	10.757349536136	4.32246944152386	332
Plate2	B1	b	1	R23	medium-5	Col-0	Plot14	Root	P75Plate2	Plate2_B1	medium	Pot23	94729	11.4587754624959	5.03368755478476	505
Plate2	B10	b	10	L71	low+Pi-5	phf1	Plot13	Shoot	P49Plate2	Plate2_B10	low+Pi	Pot71	29821	10.302968122297	5.22300566681888	469
Plate2	B3	b	3	L20	medium-2	Col-0	Plot5	Shoot	P8Plate2	Plate2_B3	medium	Pot20	37135	10.5223152001034	4.81477118416257	541
Plate2	B4	b	4	L35	medium-5	phf1	Plot14	Shoot	P17Plate2	Plate2_B4	medium	Pot35	38207	10.5507740238805	4.69755313752545	357
Plate2	B5	b	5	R69	low+Pi-3	phf1	Plot7	Root	P40Plate2	Plate2_B5	low+Pi	Pot69	55583	10.9256326780903	4.47281903815819	360
Plate2	B6	b	6	S24	medium-6	Col-0	Plot17	Soil	P5Plate2	Plate2_B6	medium	Pot24	20533	9.9297886269555	5.8750946386016	613
Plate2	B7	b	7	R39	high-3	Col-0	Plot9	Root	P92Plate2	Plate2_B7	high	Pot39	43406	10.6783529593809	4.79364489555389	377
Plate2	B9	b	9	S35	medium-5	phf1	Plot14	Soil	P7Plate2	Plate2_B9	medium	Pot35	34391	10.445550181224	6.2058437105322	807
Plate2	C1	c	1	R40	high-4	Col-0	Plot12	Root	P38Plate2	Plate2_C1	high	Pot40	59720	10.9974222516531	4.48786708703056	330
Plate2	C11	c	11	R35	medium-5	phf1	Plot14	Root	P43Plate2	Plate2_C11	medium	Pot35	42556	10.6585761346363	5.19124121288089	512
Plate2	C12	c	12	L34	medium-4	phf1	Plot11	Shoot	P14Plate2	Plate2_C12	medium	Pot34	45363	10.7224520737808	4.81169820285457	368
Plate2	C2	c	2	R51	high-3	phf1	Plot9	Root	P23Plate2	Plate2_C2	high	Pot51	53950	10.8958129706863	4.55458728388577	347
Plate2	C3	c	3	S28	medium-4	phr1/phl1	Plot11	Soil	P32Plate2	Plate2_C3	medium	Pot28	37366	10.5285164790198	6.18589626016123	830
Plate2	C4	c	4	R50	high-2	phf1	Plot6	Root	P30Plate2	Plate2_C4	high	Pot50	57269	10.9555147440865	4.75068756355947	417
Plate2	C6	c	6	L10	low-4	phr1/phl1	Plot10	Shoot	P41Plate2	Plate2_C6	low	Pot10	50736	10.8343909967781	4.58851872382831	350
Plate2	C7	c	7	L69	low+Pi-3	phf1	Plot7	Shoot	P27Plate2	Plate2_C7	low+Pi	Pot69	39716	10.5895094081535	4.55204399184729	395
Plate2	C8	c	8	L60	low+Pi-6	Col-0	Plot16	Shoot	P57Plate2	Plate2_C8	low+Pi	Pot60	52892	10.8760073776767	3.73779758487568	357
Plate2	C9	c	9	L52	high-4	phf1	Plot12	Shoot	P39Plate2	Plate2_C9	high	Pot52	47233	10.7628480798227	4.82224042202488	446
Plate2	D1	d	1	L7	low-1	phr1/phl1	Plot1	Shoot	P61Plate2	Plate2_D1	low	Pot7	52101	10.8609394214152	3.8328963178041	318
Plate2	D10	d	10	R45	high-3	phr1/phl1	Plot9	Root	P18Plate2	Plate2_D10	high	Pot45	52228	10.8633740285279	4.69602286406669	429
Plate2	D2	d	2	R27	medium-3	phr1/phl1	Plot8	Root	P25Plate2	Plate2_D2	medium	Pot27	54601	10.9078074765836	4.95276045089119	416
Plate2	D3	d	3	S52	high-4	phf1	Plot12	Soil	P85Plate2	Plate2_D3	high	Pot52	61428	11.0256210362456	6.48904676291661	1071
Plate2	D4	d	4	L3	low-3	Col-0	Plot7	Shoot	P12Plate2	Plate2_D4	low	Pot3	44307	10.6988979570944	5.08578100691375	488
