Id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV11	2570.65598542834	-3.76838599076711	0.526284970488703	-7.16035266457986	8.04697749166898e-13	3.16617614383745e-11	Root-Shoot	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_coccodes
ASV111	53.8537088698225	-1.56993414932153	0.624381065134682	-2.51438462340765	0.0119240311306596	0.0359831381907516	Root-Soil	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	Rhizophlyctis_rosea
ASV111	53.8537088698225	-1.68161074930243	0.64151074945365	-2.62132902797747	0.00875876830603188	0.0280884638779643	Shoot-Soil	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	Rhizophlyctis_rosea
ASV111	53.8537088698225	0.111676599980898	0.644038340407749	0.17340054616965	0.862336595827147	0.918606285075702	Root-Shoot	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	Rhizophlyctis_rosea
ASV112	59.9600513375493	0.478400836031041	0.532289597988095	0.898760445139754	0.368780273145914	0.505561586527237	Root-Shoot	Fungi	Fungi_unclassified	Fungi_unclassified	Fungi_unclassified	Fungi_unclassified	Fungi_unclassified	Fungi_unclassified
ASV112	59.9600513375493	-1.08069662694374	0.515750296303733	-2.09538731182289	0.0361365765154193	0.0917313096160644	Root-Soil	Fungi	Fungi_unclassified	Fungi_unclassified	Fungi_unclassified	Fungi_unclassified	Fungi_unclassified	Fungi_unclassified
ASV112	59.9600513375493	-1.55909746297478	0.530185903274323	-2.94066185718274	0.00327511843900724	0.0123560482758636	Shoot-Soil	Fungi	Fungi_unclassified	Fungi_unclassified	Fungi_unclassified	Fungi_unclassified	Fungi_unclassified	Fungi_unclassified
ASV113	74.1602258136588	-2.19334091423408	0.85784658949864	-2.5567985477636	0.0105640376650226	0.0327485167615702	Root-Soil	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_marchalianum
ASV113	74.1602258136588	-0.00553103490171215	0.878827644161587	-0.00629365147814487	0.994978425805336	0.99888413110781	Shoot-Soil	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_marchalianum
ASV113	74.1602258136588	-2.18780987933237	0.881247318898486	-2.48262869277948	0.0130416949675661	0.0388969502968517	Root-Shoot	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_marchalianum
