Gene,pvalue,padj,Significance,Cluster,PSR_Regulon
AT2G21640,0.000893826149049682,0.0893386562419002,Significant,Cluster1,No
AT2G31060,0.000919631368430771,0.091395754244401,Significant,Cluster1,No
AT3G09940,0.000924710291751859,0.091395754244401,Significant,Cluster1,No
AT5G58940,0.000934394294664206,0.091395754244401,Significant,Cluster1,No
AT5G65380,0.00093176283903313,0.091395754244401,Significant,Cluster1,No
AT5G47110,0.000951111463856587,0.0925360626883023,Significant,Cluster1,No
AT3G07720,0.000957564814197042,0.0926709947961804,Significant,Cluster1,No
AT4G00755,0.000990353231257535,0.0929805077768146,Significant,Cluster1,No
AT1G63570,0.00102645258554912,0.0946949405820291,Significant,Cluster1,No
AT4G15330,0.00101667997064291,0.0946949405820291,Significant,Cluster1,No
AT5G25250,0.00102706786254031,0.0946949405820291,Significant,Cluster1,No
AT5G22790,0.00104638146411862,0.0956968168009684,Significant,Cluster1,No
AT3G47290,0.0010784842443781,0.098142066238407,Significant,Cluster1,No
AT4G19760,0.00113052165758244,0.0994350236281088,Significant,Cluster1,No
AT5G19890,0.0011337029783081,0.0994350236281088,Significant,Cluster1,No
AT5G42980,0.00110802837626146,0.0994350236281088,Significant,Cluster1,No
AT2G21650,4.1153475833081e-21,7.52738226462885e-17,Significant,Cluster2,No
AT1G07920,2.70330842969456e-06,0.0013605612633419,Significant,Cluster2,No
AT1G79700,4.7852867518056e-06,0.002035527441332,Significant,Cluster2,No
AT4G36850,8.47280586110036e-06,0.0030387469020664,Significant,Cluster2,No
AT5G02160,1.74047644940048e-05,0.00505318329142605,Significant,Cluster2,No
AT3G15680,6.79506419881206e-05,0.0136580790396122,Significant,Cluster2,No
AT3G13175,0.000179159824633361,0.0269922823087943,Significant,Cluster2,No
AT4G22290,0.000268970119308425,0.0365742356402513,Significant,Cluster2,No
AT5G11590,0.000267930231410331,0.0365742356402513,Significant,Cluster2,No
AT3G27940,0.000442505673625414,0.0550603488182479,Significant,Cluster2,No
AT1G15030,0.000454181413992871,0.0561312989415109,Significant,Cluster2,No
AT1G31850,0.000584984764964811,0.0672953228677444,Significant,Cluster2,No
AT1G78830,0.000655283313372261,0.0721399832170376,Significant,Cluster2,No
AT3G13750,0.000648063012303855,0.0721399832170376,Significant,Cluster2,No
AT2G05350,0.000816324050411093,0.0848374045799392,Significant,Cluster2,No
AT1G68330,0.000980393233444124,0.0929805077768146,Significant,Cluster2,No
AT1G33470,0.00109388857409548,0.0990510688553484,Significant,Cluster2,No
AT2G43030,0.00114161910020791,0.0994350236281088,Significant,Cluster2,No
AT5G62890,0.00111839334966585,0.0994350236281088,Significant,Cluster2,No
AT5G35760,8.41631983051056e-21,7.69714530099343e-17,Significant,Cluster3,No
AT1G22710,1.07323189348288e-07,0.000103318339808923,Significant,Cluster3,No
AT1G22770,1.2604926324196e-05,0.00435012655463905,Significant,Cluster3,No
AT1G05000,3.05578993906998e-05,0.00755316942912553,Significant,Cluster3,Yes
AT2G44840,5.52516087813777e-05,0.0121021434434809,Significant,Cluster3,No
AT1G29910,5.7479620267725e-05,0.0122251131897321,Significant,Cluster3,No
AT4G13300,9.90384477598699e-05,0.0172524975997693,Significant,Cluster3,No
AT4G37220,9.7365279905757e-05,0.0172524975997693,Significant,Cluster3,No
AT4G28610,0.0001058961329836,0.0181023006392806,Significant,Cluster3,No
AT1G68050,0.000134107146847004,0.022299580208896,Significant,Cluster3,No
AT5G49360,0.000161631860463322,0.0252684475190993,Significant,Cluster3,No
AT4G35770,0.000197357758872838,0.0293485428255534,Significant,Cluster3,No
AT5G02020,0.000233918598122169,0.0331674812267643,Significant,Cluster3,No
AT3G23240,0.000546102104599599,0.064030471764303,Significant,Cluster3,No
AT4G30110,0.000550665808006196,0.0641543203454862,Significant,Cluster3,No
AT5G57655,0.000658881209222302,0.0721399832170376,Significant,Cluster3,No
AT2G41100,0.000715816087124309,0.0761220467999461,Significant,Cluster3,No
AT4G38580,0.000712941651226038,0.0761220467999461,Significant,Cluster3,No
AT3G43190,0.000778537558801163,0.0813727456458976,Significant,Cluster3,No
AT2G05070,0.000991263409134484,0.0929805077768146,Significant,Cluster3,No
AT3G46970,0.000987554840745401,0.0929805077768146,Significant,Cluster3,No
AT3G52360,0.00111231564575706,0.0994350236281088,Significant,Cluster3,No
AT3G26460,2.67496217671679e-08,3.49483808388049e-05,Significant,Cluster4,No
AT5G39660,6.87644557224483e-07,0.00052407110817471,Significant,Cluster4,No
AT5G17230,5.92190931677346e-05,0.0124503038290923,Significant,Cluster4,No
AT2G16890,7.47653771103454e-05,0.0145482288587801,Significant,Cluster4,No
AT1G68880,8.85924694808543e-05,0.0163681298916597,Significant,Cluster4,No
AT1G01060,0.000128453706236251,0.0215554746859382,Significant,Cluster4,No
AT5G44780,0.000276499040263333,0.0371870878342399,Significant,Cluster4,No
AT1G64110,0.000503553654908813,0.0614033326795806,Significant,Cluster4,No
AT2G46830,0.000539068690637543,0.0638517157192321,Significant,Cluster4,No
AT2G40700,0.00063753211504948,0.0721399832170376,Significant,Cluster4,No
AT2G20450,0.000883571551204516,0.0887989408960539,Significant,Cluster4,No
AT5G37260,0.000972050643350508,0.0929805077768146,Significant,Cluster4,No
AT1G06040,0.00103024947656354,0.0946949405820291,Significant,Cluster4,No
AT2G33770,1.51387124363846e-12,4.34870292043618e-09,Significant,Cluster5,No
AT5G25810,9.25697624516938e-07,0.000677277410001573,Significant,Cluster5,No
AT5G53370,1.85852396754357e-06,0.00109658909323676,Significant,Cluster5,No
AT3G18490,4.37904665301231e-06,0.00190707481738686,Significant,Cluster5,No
AT4G30460,5.89665377050507e-06,0.00224699362742309,Significant,Cluster5,No
AT5G10140,5.87807152803914e-06,0.00224699362742309,Significant,Cluster5,No
AT4G01985,1.39097629665727e-05,0.00462588135311966,Significant,Cluster5,No
AT1G78490,1.44929947482934e-05,0.00465072573580763,Significant,Cluster5,No
AT2G01420,1.43616170303298e-05,0.00465072573580763,Significant,Cluster5,No
AT1G78060,2.87165962693215e-05,0.00729521197725222,Significant,Cluster5,No
AT2G46710,2.98265959597242e-05,0.00747340091368925,Significant,Cluster5,No
AT1G48100,3.28122988235864e-05,0.00789697049713446,Significant,Cluster5,No
AT1G70830,4.63990272205096e-05,0.0106085575861293,Significant,Cluster5,No
AT4G10060,5.68882706940686e-05,0.0122251131897321,Significant,Cluster5,No
AT5G21105,7.24069369174086e-05,0.0143956009038731,Significant,Cluster5,No
AT2G36570,8.48256238182707e-05,0.0158320967883672,Significant,Cluster5,No
AT1G20990,0.000109550461221459,0.018553587835201,Significant,Cluster5,No
AT5G28520,0.000158563064919832,0.0250760738866231,Significant,Cluster5,No
AT5G38980,0.000248971121186646,0.0350302367509611,Significant,Cluster5,No
